"Daily Weather Observations for Adelaide (Kent Town), South Australia for January 2018"
"Prepared at 16:02 UTC on Tuesday  7 August 2018   IDCJDW5002.201801"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The "official" Adelaide site is now at West Terrace / ngayirdapira."
"The "official" Adelaide weather observations site is now at West Terrace / ngayirdapira {site number 023000}. This Kent Town site is about 2 km east of the city centre."
"Observations were drawn from Adelaide (Kent Town) {station 023090}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-01-1,16.2,25.7,0,,,WNW,31,14:49,19.5,60,,SW,9,1012.0,24.0,43,,W,13,1010.7
,2018-01-2,15.0,24.1,0,,,WSW,39,15:37,19.2,58,,SW,11,1013.1,22.0,46,,SW,19,1013.8
,2018-01-3,16.5,25.1,0,,,WSW,35,13:20,18.9,52,,S,6,1018.9,23.2,44,,SW,22,1017.4
,2018-01-4,13.4,32.2,0,,,SW,28,11:34,21.5,50,,ENE,2,1017.8,30.7,21,,SW,7,1015.8
,2018-01-5,15.4,38.7,0,,,W,24,11:45,25.5,32,,NNE,7,1014.7,37.2,12,,W,7,1011.6
,2018-01-6,24.6,42.6,0,,,SW,46,13:39,35.5,13,,N,13,1008.3,35.4,18,,SW,26,1007.7
,2018-01-7,18.0,32.4,0,,,WSW,43,21:44,20.8,55,,N,6,1014.3,30.0,35,,WSW,13,1012.1
,2018-01-8,17.4,27.4,0,,,WSW,39,18:06,20.0,54,,S,6,1014.9,26.1,41,,WSW,17,1013.4
,2018-01-9,14.6,27.4,0,,,WSW,37,12:24,20.7,54,,SSE,11,1019.2,26.2,32,,SSE,17,1017.8
,2018-01-10,14.6,29.9,0,,,N,22,15:13,20.8,37,,E,7,1016.9,28.0,25,,NNE,7,1013.9
,2018-01-11,17.4,37.2,0,,,NE,28,10:51,27.4,35,,NE,7,1011.1,35.4,23,,WSW,9,1007.6
,2018-01-12,22.9,23.8,2.8,,,WSW,44,09:55,23.4,80,,N,11,1008.1,20.8,73,,SW,13,1008.3
,2018-01-13,17.4,22.9,0.6,,,SW,48,11:23,19.6,61,,W,22,1010.9,21.6,44,,SW,28,1012.0
,2018-01-14,14.4,26.2,0.4,,,S,41,14:03,18.0,55,,ESE,9,1021.4,26.1,26,,S,13,1019.6
,2018-01-15,15.2,30.0,0,,,SE,26,23:18,20.8,52,,ESE,6,1022.5,29.0,38,,ESE,13,1019.5
,2018-01-16,18.3,32.1,0,,,WSW,30,14:37,23.1,56,,SW,7,1019.9,30.3,37,,SW,17,1017.4
,2018-01-17,18.4,39.7,0,,,NE,33,11:37,30.4,19,,NE,11,1015.4,37.3,14,,SW,13,1013.2
,2018-01-18,23.3,42.8,0,,,WSW,31,12:42,32.6,14,,NE,9,1013.4,41.4,30,,WSW,17,1010.4
,2018-01-19,23.3,43.7,0,,,NNW,37,09:44,35.8,9,,NE,9,1010.7,41.6,13,,SW,15,1009.5
,2018-01-20,25.3,39.4,0,,,SE,39,17:08,28.8,43,,E,6,1010.9,36.6,17,,SE,20,1010.3
,2018-01-21,24.5,39.0,0,,,SW,30,14:03,30.5,35,, ,Calm,1009.8,36.1,26,,WSW,19,1007.0
,2018-01-22,22.8,32.7,0.2,,,SSW,31,13:05,26.5,52,,SW,2,1009.7,31.5,31,,SSW,17,1008.6
,2018-01-23,15.4,31.6,0,,,S,30,16:25,20.4,54,,SSW,2,1013.7,30.2,26,,NE,9,1009.6
,2018-01-24,15.8,33.9,0,,,WSW,26,11:33,21.8,52,,SE,4,1011.0,33.6,24,,SW,11,1007.2
,2018-01-25,16.6,36.0,0,,,WSW,33,15:27,23.7,48,, ,Calm,1008.7,32.6,33,,WSW,17,1007.1
,2018-01-26,21.3,34.2,0,,,SSW,26,14:28,25.0,41,, ,Calm,1009.5,33.2,29,,NW,6,1009.7
,2018-01-27,21.8,39.6,0.4,,,WSW,24,14:38,31.2,33,, ,Calm,1008.2,35.6,26,,SW,13,1005.5
,2018-01-28,26.5,44.1,0,,,SW,41,16:54,35.6,28,, ,Calm,1004.4,42.0,17,,WSW,17,1002.2
,2018-01-29,24.5,29.3,1.0,,,SW,31,10:12,25.3,70,,SW,13,1009.2,22.3,76,,SSE,13,1009.9
,2018-01-30,16.7,22.5,1.8,,,SSE,43,15:11,17.9,55,,SSE,9,1015.2,20.9,45,,SE,15,1014.5
,2018-01-31,14.6,22.9,0,,,SSE,43,14:05,16.3,53,,SE,11,1018.1,20.5,41,,ESE,13,1016.6
