"Daily Weather Observations for Adelaide (Kent Town), South Australia for March 2018"
"Prepared at 13:02 UTC on Sunday 19 August 2018   IDCJDW5002.201803"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The "official" Adelaide site is now at West Terrace / ngayirdapira."
"The "official" Adelaide weather observations site is now at West Terrace / ngayirdapira {site number 023000}. This Kent Town site is about 2 km east of the city centre."
"Observations were drawn from Adelaide (Kent Town) {station 023090}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-03-1,16.5,29.3,0,,,ESE,30,14:55,18.5,59,,SSE,6,1019.1,28.4,30,,E,11,1015.2
,2018-03-2,18.5,33.4,0,,,W,33,13:24,24.0,37,,NE,7,1011.8,32.9,20,,W,11,1009.8
,2018-03-3,16.8,26.6,0,,,WSW,41,14:08,20.0,65,,SSW,13,1012.7,25.4,46,,SW,22,1011.8
,2018-03-4,16.8,23.5,0,,,SW,39,12:43,20.3,61,,SE,6,1018.2,22.4,49,,SW,15,1017.2
,2018-03-5,12.9,24.2,0,,,SE,37,14:29,17.9,49,,SSE,9,1021.9,23.2,35,,SSE,17,1021.0
,2018-03-6,14.3,26.3,0,,,E,41,03:54,16.8,57,,ESE,7,1024.8,25.4,28,,SE,13,1021.1
,2018-03-7,16.3,34.6,0,,,SE,39,19:53,24.9,39,,N,11,1021.1,33.9,21,,NE,11,1018.6
,2018-03-8,22.5,34.9,0,,,SE,39,19:12,27.4,22,,ENE,9,1021.9,33.5,15,,SSE,9,1019.2
,2018-03-9,23.2,35.8,0,,,NE,33,10:07,28.2,20,,ENE,11,1023.1,34.9,12,,E,11,1019.9
,2018-03-10,18.4,36.4,0,,,N,30,10:28,28.4,26,,NE,7,1022.5,35.5,14,,W,11,1021.1
,2018-03-11,18.7,33.2,0,,,SSE,30,17:48,23.1,52,,N,2,1024.2,32.2,31,,SSW,15,1022.3
,2018-03-12,14.2,25.3,0,,,SSE,35,16:23,17.6,59,,SSE,11,1026.6,24.7,35,,SSE,13,1024.0
,2018-03-13,14.1,24.8,0,,,SSW,31,15:07,17.5,57,,SSE,7,1025.9,24.4,37,,SSE,13,1022.9
,2018-03-14,13.9,25.1,0,,,SSW,33,15:14,17.7,65,,NW,2,1022.2,23.7,42,,SW,15,1018.3
,2018-03-15,12.6,25.4,0,,,WSW,33,14:52,16.3,65,,ENE,4,1017.7,23.7,39,,SSW,9,1015.6
,2018-03-16,14.1,27.0,0,,,WNW,28,14:20,19.9,50,,NE,2,1014.0,21.8,59,,WNW,13,1014.5
,2018-03-17,16.8,30.2,1.4,,,NNE,33,05:19,26.8,27,,NE,11,1008.2,29.8,16,,N,17,1005.5
,2018-03-18,16.8,21.2,1.0,,,SW,50,10:36,17.8,51,,WSW,17,1015.9,20.5,34,,SSW,20,1017.3
,2018-03-19,16.6,23.4,0,,,WSW,37,04:23,18.4,65,,W,13,1020.4,22.5,61,,SW,13,1020.0
,2018-03-20,16.3,22.5,0,,,SSE,35,13:26,18.0,57,,SE,17,1027.0,21.3,37,,SE,15,1026.3
,2018-03-21,11.2,23.8,0,,,SE,44,23:32,13.4,60,,ESE,9,1026.5,21.6,39,,WSW,19,1021.0
,2018-03-22,13.2,30.1,0,,,SW,24,11:31,19.7,53,, ,Calm,1018.4,27.6,36,,WSW,13,1016.2
,2018-03-23,18.4,33.8,,,,,,,24.8,48,,NE,7,1016.2,32.8,26,,W,17,1013.0
,2018-03-24,21.3,34.7,0,,,NW,41,12:12,25.1,42,,NE,7,1012.2,34.1,23,,W,28,1008.1
,2018-03-25,17.3,22.1,0.4,,,WSW,52,16:13,17.5,75,,WSW,20,1010.8,21.9,49,,WSW,22,1009.8
,2018-03-26,11.5,20.2,3.0,,,SW,41,23:03,15.0,51,,S,11,1016.8,20.0,44,,WSW,15,1016.3
,2018-03-27,11.9,28.1,0,,,NNE,35,10:18,16.4,46,,NE,11,1015.0,26.9,22,,WNW,11,1011.0
,2018-03-28,16.4,23.3,0,,,WSW,31,12:39,19.4,76,,SW,11,1016.0,22.1,56,,WSW,17,1016.6
,2018-03-29,12.9,23.2,0,,,WSW,28,15:43,16.5,70,, ,Calm,1020.1,21.8,47,,SW,15,1018.1
,2018-03-30,15.4,23.0,0,,,WSW,30,09:54,16.5,79,,NNE,7,1020.0,22.5,46,,WSW,13,1019.6
,2018-03-31,11.5,27.0,0,,,WNW,24,14:27,15.8,66,,E,4,1019.5,26.3,37,,W,15,1015.8
