"Daily Weather Observations for Adelaide (Kent Town), South Australia for April 2018"
"Prepared at 13:02 UTC on Saturday 18 August 2018   IDCJDW5002.201804"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The "official" Adelaide site is now at West Terrace / ngayirdapira."
"The "official" Adelaide weather observations site is now at West Terrace / ngayirdapira {site number 023000}. This Kent Town site is about 2 km east of the city centre."
"Observations were drawn from Adelaide (Kent Town) {station 023090}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-04-1,13.8,28.6,,,,,,,20.0,51,,NNE,2,1014.7,25.7,42,,WSW,13,1013.9
,2018-04-2,15.5,22.7,0,,,SW,39,14:34,18.5,54,,S,11,1022.8,20.8,51,,SW,22,1021.3
,2018-04-3,13.7,23.5,0,,,WSW,31,15:06,18.7,58,,ESE,7,1025.3,21.9,49,,WSW,19,1021.9
,2018-04-4,10.7,,0,,,,,,18.3,62,,S,7,1021.1,,,,,,
,2018-04-5,10.9,25.0,,,,WSW,28,14:07,19.5,51,, ,Calm,1018.2,22.9,49,,WSW,13,1016.7
,2018-04-6,11.4,26.4,0,,,WSW,26,15:09,18.4,60,, ,Calm,1022.2,25.9,35,,SW,7,1018.8
,2018-04-7,13.7,31.9,0,,,WNW,22,13:36,22.5,42,,ENE,2,1019.7,30.7,20,,W,13,1015.3
,2018-04-8,14.2,34.2,0,,,N,41,11:38,27.3,19,,NE,4,1016.0,31.4,19,,SW,17,1014.6
,2018-04-9,19.2,36.6,0,,,NNW,37,15:22,29.2,23,,NE,9,1016.8,36.1,10,,NNW,17,1013.5
,2018-04-10,20.6,36.5,0,,,N,31,11:18,30.0,17,,NE,9,1017.0,32.7,23,,SW,11,1015.0
,2018-04-11,17.6,36.9,0,,,W,56,21:19,30.5,20,,N,6,1013.7,35.5,12,,NNW,24,1008.7
,2018-04-12,17.8,23.8,0,,,WNW,37,12:13,19.9,63,,WNW,13,1014.7,23.0,45,,WNW,20,1013.0
,2018-04-13,14.0,23.6,0,,,SW,61,14:46,17.9,69,,NNW,15,1011.2,15.4,87,,WSW,33,1007.2
,2018-04-14,13.9,18.9,9.2,,,W,61,10:11,16.4,89,,W,26,1006.0,18.0,56,,WSW,26,1007.4
,2018-04-15,14.1,19.6,3.6,,,WNW,43,07:36,17.6,86,,W,17,1012.9,18.9,81,,WSW,17,1013.5
,2018-04-16,16.6,19.0,5.0,,,SW,31,10:13,17.4,89,,WSW,13,1019.2,18.5,70,,SW,13,1019.7
,2018-04-17,11.7,21.6,0.6,,,ESE,24,10:54,16.3,57,,ENE,9,1025.9,21.0,42,,WSW,6,1022.7
,2018-04-18,12.0,26.8,0,,,E,26,00:15,19.7,38,,NE,11,1020.3,25.8,38,,W,7,1016.1
,2018-04-19,13.1,30.3,0,,,NNE,20,10:32,22.9,43,,NE,7,1018.1,29.4,29,,SSW,4,1015.6
,2018-04-20,17.5,32.2,0,,,SW,33,23:45,25.3,34,,NE,2,1019.8,31.1,24,,NE,6,1016.6
,2018-04-21,17.9,30.9,1.0,,,WSW,50,05:28,24.8,39,,ENE,11,1020.8,30.4,26,,W,11,1018.9
,2018-04-22,15.2,31.9,0.2,,,E,28,22:12,21.9,58,, ,Calm,1021.1,31.7,17,,NNW,7,1017.5
,2018-04-23,18.8,31.5,0,,,NW,33,12:41,25.5,24,,NNE,6,1017.5,29.6,26,,W,9,1014.9
,2018-04-24,19.6,23.1,1.0,,,WNW,24,13:11,20.4,89,, ,Calm,1018.5,22.6,59,,W,9,1017.1
,2018-04-25,13.1,22.8,1.6,,,W,24,14:11,17.6,67,,N,7,1019.1,21.5,44,,SW,11,1016.8
,2018-04-26,11.3,21.2,0,,,WSW,30,13:45,16.7,70,, ,Calm,1023.8,20.4,53,,WSW,15,1022.2
,2018-04-27,9.9,23.1,0,,,SSW,22,17:14,17.2,53,,ENE,9,1026.8,22.6,42,,S,9,1024.2
,2018-04-28,10.1,22.8,0,,,WSW,30,13:49,17.9,51,, ,Calm,1026.9,21.4,45,,SW,15,1025.2
,2018-04-29,10.4,23.1,0,,,ENE,19,12:36,16.6,57,,NW,7,1030.8,22.5,35,,S,6,1028.1
,2018-04-30,8.7,23.0,0,,,SW,20,15:25,16.1,62,, ,Calm,1029.3,22.4,45,,WSW,13,1025.6
