"Daily Weather Observations for Adelaide (Kent Town), South Australia for October 2018"
"Prepared at 13:02 UTC on Saturday 10 August 2019   IDCJDW5002.201810"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The "official" Adelaide site is now at West Terrace / ngayirdapira."
"The "official" Adelaide weather observations site is now at West Terrace / ngayirdapira {site number 023000}. This Kent Town site is about 2 km east of the city centre."
"Observations were drawn from Adelaide (Kent Town) {station 023090}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-10-1,14.9,25.5,,,,,,,,,,NE,13,,23.3,21,,NW,2,1020.1
,2018-10-2,15.8,30.5,0,,,NW,33,12:03,25.3,12,,N,15,1017.5,27.8,20,,W,13,1014.1
,2018-10-3,14.4,19.7,4.6,,,SE,35,12:46,16.2,70,,SSE,15,1019.1,19.0,53,,SE,13,1017.8
,2018-10-4,11.3,16.3,0.2,,,SE,43,17:21,13.5,59,,SSE,13,1025.6,14.9,49,,SSE,19,1024.1
,2018-10-5,8.9,21.4,0,,,SE,26,00:46,13.8,51,,WNW,6,1026.7,19.7,45,,WSW,9,1021.4
,2018-10-6,9.1,23.6,0,,,N,17,12:23,17.4,48,,NE,2,1021.4,22.3,27,,N,4,1018.6
,2018-10-7,13.7,30.1,0.2,,,E,26,22:25,17.5,57,, ,Calm,1019.6,29.9,18,,W,11,1016.1
,2018-10-8,17.5,29.2,0,,,N,50,10:43,25.4,21,,NNE,15,1013.9,22.5,49,,NW,17,1013.6
,2018-10-9,13.4,15.3,0,,,WSW,31,08:35,13.7,89,,WSW,13,1016.7,15.0,93,,WSW,9,1016.5
,2018-10-10,9.6,18.7,0.8,,,SE,41,00:38,10.8,57,,SE,9,1023.6,17.5,43,,SSE,11,1020.4
,2018-10-11,8.0,22.4,0,,,ESE,35,23:46,14.1,55,,NW,6,1022.5,20.2,42,,WSW,13,1020.2
,2018-10-12,14.0,26.1,0,,,E,31,11:55,20.3,40,,ENE,11,1020.3,24.4,31,,ENE,9,1017.0
,2018-10-13,15.2,28.8,0,,,ENE,41,22:11,23.5,37,,ENE,9,1015.9,27.2,24,,ENE,7,1012.2
,2018-10-14,21.8,28.6,0,,,NNE,44,04:14,22.9,39,,NNE,9,1011.3,27.3,34,,ENE,15,1007.6
,2018-10-15,18.8,26.6,4.8,,,NE,65,08:23,24.2,43,,NE,19,1003.4,21.3,53,,WNW,13,1005.8
,2018-10-16,13.6,16.4,2.6,,,W,46,11:32,13.7,92,,W,15,1013.9,15.7,80,,WSW,20,1014.5
,2018-10-17,12.2,14.5,6.0,,,WSW,31,11:31,12.5,95,,WSW,13,1019.4,14.3,77,,WSW,15,1018.4
,2018-10-18,11.2,23.6,2.4,,,W,20,14:39,12.0,92,,NW,6,1019.0,18.2,57,,WSW,9,1016.4
,2018-10-19,11.8,25.3,0,,,WSW,52,16:02,23.6,25,,NNE,11,1009.1,23.7,28,,NE,6,1005.6
,2018-10-20,11.3,19.0,0,,,WSW,33,07:29,15.0,55,,SW,13,1019.8,18.7,44,,W,19,1020.4
,2018-10-21,7.6,24.3,0.2,,,W,24,12:23,15.4,58,,NNE,9,1021.7,22.5,27,,W,13,1017.1
,2018-10-22,13.0,30.4,0,,,W,35,08:51,23.2,22,,NNW,11,1012.0,30.0,15,,WNW,17,1009.7
,2018-10-23,11.8,19.4,0,,,WSW,33,08:57,15.7,51,,WSW,15,1018.9,19.0,35,,WSW,13,1019.3
,2018-10-24,9.4,22.6,0,,,E,30,09:24,13.4,44,,E,13,1024.1,20.7,22,,E,9,1020.0
,2018-10-25,10.3,25.0,0,,,WSW,30,15:29,20.9,21,,NNE,11,1017.8,23.7,37,,W,15,1018.6
,2018-10-26,9.2,25.6,0,,,WSW,31,15:22,15.7,57,,SSW,6,1023.1,24.0,32,,NW,15,1020.2
,2018-10-27,10.2,26.9,0,,,SSE,28,15:07,16.9,50,,W,6,1020.1,26.4,33,,SW,11,1018.7
,2018-10-28,13.9,23.1,0,,,WNW,28,12:51,16.5,58,,SSW,4,1020.6,21.7,41,,WSW,11,1018.2
,2018-10-29,9.8,24.2,0,,,WSW,24,15:08,16.0,52,,W,2,1020.0,21.9,36,,SW,11,1017.0
,2018-10-30,8.3,29.4,0,,,W,28,16:11,19.5,30,,WSW,7,1018.2,28.4,18,,WSW,15,1015.8
,2018-10-31,13.7,35.6,0,,,E,28,20:30,24.1,35,,NNE,2,1017.1,34.1,19,,W,11,1014.2
