"Daily Weather Observations for Adelaide (Kent Town), South Australia for November 2018"
"Prepared at 13:02 UTC on Friday  9 August 2019   IDCJDW5002.201811"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The "official" Adelaide site is now at West Terrace / ngayirdapira."
"The "official" Adelaide weather observations site is now at West Terrace / ngayirdapira {site number 023000}. This Kent Town site is about 2 km east of the city centre."
"Observations were drawn from Adelaide (Kent Town) {station 023090}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-11-1,24.1,33.9,0,,,N,48,11:26,28.7,32,,NNW,11,1012.6,32.5,31,,NW,15,1010.3
,2018-11-2,19.9,25.3,2.0,,,WSW,43,13:20,22.7,75,,WSW,13,1012.2,23.6,27,,WSW,20,1015.2
,2018-11-3,15.2,22.4,0.2,,,WSW,33,02:03,16.7,56,,SW,9,1021.2,21.1,41,,WNW,13,1020.0
,2018-11-4,12.6,29.4,0,,,WSW,28,17:22,20.3,49,,NNE,7,1014.8,27.2,30,,WSW,6,1011.0
,2018-11-5,17.0,26.0,4.6,,,W,33,07:35,19.5,81,,NW,15,1007.9,25.3,52,,NW,13,1006.4
,2018-11-6,15.8,19.9,8.0,,,W,43,13:04,16.2,89,,WSW,13,1007.7,18.9,44,,WSW,17,1010.3
,2018-11-7,9.8,17.3,1.0,,,W,48,08:49,13.7,49,,WSW,15,1015.3,16.4,42,,WSW,19,1016.7
,2018-11-8,7.8,20.8,0.8,,,W,33,11:32,13.3,58,,N,7,1023.9,19.1,35,,SW,7,1022.5
,2018-11-9,8.5,24.3,0.2,,,W,28,11:12,17.0,43,,N,7,1020.9,23.9,19,,WSW,13,1018.9
,2018-11-10,9.8,27.0,0,,,W,26,13:26,18.5,45,, ,Calm,1020.6,25.2,19,,WSW,13,1018.6
,2018-11-11,11.4,32.1,0,,,WSW,26,14:18,21.3,35,,NE,7,1019.6,30.5,16,,N,9,1015.9
,2018-11-12,21.3,35.9,0,,,SW,37,15:29,28.1,12,,NE,11,1013.4,35.0,9,,WNW,17,1010.5
,2018-11-13,20.1,25.9,0,,,W,39,12:18,24.7,47,,NNE,6,1010.3,22.1,59,,SSW,13,1012.0
,2018-11-14,,22.5,,,,,,,16.8,67,,WSW,9,1018.5,22.1,44,,WSW,13,1019.0
,2018-11-15,11.9,24.4,0,,,WSW,31,14:30,16.9,69,,ESE,9,1025.8,23.3,42,,W,15,1022.6
,2018-11-16,10.3,23.7,0,,,WSW,35,13:41,18.4,47,,WSW,6,1022.4,22.6,36,,WSW,20,1021.1
,2018-11-17,11.9,24.9,0,,,ESE,33,04:48,16.0,47,,ESE,9,1024.6,24.3,20,,SE,11,1021.0
,2018-11-18,15.7,31.6,0,,,ESE,39,00:17,24.2,22,,ENE,9,1018.0,30.9,10,,NE,9,1013.8
,2018-11-19,22.7,36.6,0,,,NW,57,17:43,30.2,9,,NE,11,1010.1,34.6,10,,NW,13,1005.6
,2018-11-20,14.8,19.9,0.6,,,WSW,37,20:41,14.8,88,,SW,11,1009.1,17.7,47,,WSW,11,1006.9
,2018-11-21,12.6,16.7,5.2,,,W,72,18:40,14.5,61,,N,20,1001.1,12.5,75,,WNW,19,1000.3
,2018-11-22,9.5,18.1,16.0,,,WSW,67,01:03,13.3,63,,WSW,20,1007.9,17.0,44,,WSW,22,1011.1
,2018-11-23,10.7,18.8,0.4,,,WSW,37,13:57,14.6,47,,SW,13,1015.7,17.2,52,,WSW,20,1015.8
,2018-11-24,7.4,21.7,0.2,,,NE,22,12:15,14.1,57,,N,2,1013.7,21.2,47,,WNW,9,1010.1
,2018-11-25,12.1,24.2,3.2,,,WSW,31,14:01,17.0,63,,SE,6,1010.3,23.3,49,,WSW,13,1009.3
,2018-11-26,9.2,23.6,0,,,W,28,14:08,17.1,54,,SSE,7,1009.8,22.2,44,,WSW,13,1007.7
,2018-11-27,14.0,19.2,0.2,,,S,35,16:23,16.0,72,,NNW,6,1007.4,16.5,67,,SSW,13,1007.8
,2018-11-28,13.4,20.9,6.0,,,WSW,43,14:23,15.7,64,,SSW,13,1015.2,19.3,47,,WSW,17,1014.9
,2018-11-29,9.7,22.4,0,,,W,26,13:17,17.3,57,,NNE,7,1017.0,22.1,44,,WSW,13,1015.0
,2018-11-30,10.0,28.7,0,,,W,22,10:00,17.3,50,,WSW,6,1016.2,24.2,31,,SW,9,1014.4
