"Daily Weather Observations for Adelaide (Kent Town), South Australia for December 2018"
"Prepared at 13:02 UTC on Thursday  8 August 2019   IDCJDW5002.201812"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The "official" Adelaide site is now at West Terrace / ngayirdapira."
"The "official" Adelaide weather observations site is now at West Terrace / ngayirdapira {site number 023000}. This Kent Town site is about 2 km east of the city centre."
"Observations were drawn from Adelaide (Kent Town) {station 023090}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-12-1,17.2,33.3,0,,,NW,57,14:12,28.7,20,,N,20,1005.8,29.3,24,,N,28,1001.1
,2018-12-2,13.7,20.2,1.2,,,WSW,48,13:40,16.0,54,,W,19,1012.4,19.1,36,,WSW,24,1013.4
,2018-12-3,15.1,23.3,0,,,W,30,00:37,18.1,63,,W,15,1017.0,21.3,55,,SW,13,1017.2
,2018-12-4,12.6,28.0,0,,,WSW,26,15:38,16.4,76,,NE,6,1020.3,26.9,44,,WSW,11,1017.9
,2018-12-5,16.2,35.6,0,,,WNW,30,14:01,27.2,26,,E,11,1016.9,34.7,14,,W,19,1014.0
,2018-12-6,22.8,40.1,0,,,NNE,31,08:19,32.8,16,,NNE,9,1013.3,39.5,10,,W,11,1010.1
,2018-12-7,23.0,39.6,0,,,NW,48,11:34,30.4,29,,W,7,1011.6,37.5,19,,NW,22,1009.6
,2018-12-8,19.7,24.6,0.4,,,WNW,33,06:57,20.8,85,,SE,7,1016.9,23.4,72,,ESE,2,1017.7
,2018-12-9,16.7,32.4,3.0,,,SSW,28,15:02,20.5,68,,S,7,1016.4,32.2,39,,W,15,1013.3
,2018-12-10,14.8,27.8,0,,,ESE,33,22:49,21.8,41,,W,11,1018.4,26.5,28,,ESE,13,1017.0
,2018-12-11,18.4,34.0,0,,,,,,26.3,32,,E,9,1015.2,33.8,20,,SE,9,1010.7
,2018-12-12,21.3,36.7,,,,WNW,43,14:49,28.8,35,,NE,6,1005.8,35.3,19,,WSW,13,1002.4
,2018-12-13,13.8,17.6,3.4,,,WSW,61,10:10,16.5,47,,SW,15,1008.0,13.8,68,,SW,19,1009.5
,2018-12-14,11.4,21.5,8.8,,,SW,39,23:45,16.6,93,,SW,9,1004.0,20.3,70,,S,17,1004.9
,2018-12-15,14.1,26.1,0.4,,,WSW,26,18:01,20.0,67,,N,4,1006.6,25.8,47,,WNW,11,1004.3
,2018-12-16,16.7,22.1,2.4,,,WSW,26,04:15,17.4,93,,WSW,11,1008.4,20.0,78,,SW,11,1009.1
,2018-12-17,15.7,27.4,0.2,,,E,28,22:11,19.4,70,,WSW,2,1013.2,26.1,52,,SSW,9,1012.0
,2018-12-18,19.3,28.6,0,,,E,35,22:53,22.0,65,,SSW,2,1013.1,27.0,52,,ESE,9,1012.4
,2018-12-19,,34.9,,,,,,,23.3,59,,N,11,1008.9,33.3,30,,E,17,1005.9
,2018-12-20,18.0,24.4,0,,,S,37,14:17,19.8,66,,S,13,1013.7,22.9,47,,S,17,1013.4
,2018-12-21,14.3,21.8,0,,,W,39,12:32,17.8,57,,S,11,1017.4,20.2,41,,SW,17,1016.9
,2018-12-22,12.1,25.2,0,,,WSW,43,15:19,18.1,55,,SE,11,1022.4,23.9,34,,W,20,1020.6
,2018-12-23,11.5,30.8,0,,,WSW,28,12:38,19.5,51,,NNW,2,1022.2,29.3,24,,W,13,1018.8
,2018-12-24,15.6,37.0,0,,,WNW,30,11:56,27.3,23,,N,9,1016.6,36.2,9,,W,13,1013.9
,2018-12-25,17.0,37.9,0,,,SW,24,13:56,26.4,36,,WSW,6,1016.0,36.3,10,,WSW,13,1014.4
,2018-12-26,17.8,39.5,0,,,WSW,24,14:31,28.0,31,,SW,2,1014.2,39.0,8,,WSW,9,1011.1
,2018-12-27,19.7,43.7,0,,,W,52,13:59,30.6,21,,NNE,7,1008.3,37.4,42,,W,28,1004.8
,2018-12-28,24.3,36.8,0,,,SE,43,22:41,30.6,62,,WNW,4,1006.9,34.6,22,,SW,11,1004.1
,2018-12-29,24.0,31.0,0,,,ESE,30,23:04,24.0,52,,E,13,1010.2,29.5,39,,N,11,1009.3
,2018-12-30,17.7,28.9,0,,,S,31,16:46,21.7,54,,SSE,11,1014.1,26.9,41,,ESE,9,1011.4
,2018-12-31,16.7,31.4,0,,,WSW,33,14:58,22.4,46,,N,2,1013.2,29.0,36,,WSW,17,1010.3
