"Daily Weather Observations for Adelaide (Kent Town), South Australia for January 2019"
"Prepared at 16:02 UTC on Wednesday  7 August 2019   IDCJDW5002.201901"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The "official" Adelaide site is now at West Terrace / ngayirdapira."
"The "official" Adelaide weather observations site is now at West Terrace / ngayirdapira {site number 023000}. This Kent Town site is about 2 km east of the city centre."
"Observations were drawn from Adelaide (Kent Town) {station 023090}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-01-1,14.6,33.7,0,,,S,33,16:40,22.9,32,, ,Calm,1013.6,32.1,26,,S,15,1011.6
,2019-01-2,16.9,33.4,0,,,E,24,12:31,23.3,62,,WSW,4,1013.3,31.7,26,,ESE,7,1010.1
,2019-01-3,21.3,42.3,0,,,WSW,31,14:38,31.4,27,,E,2,1009.3,41.5,9,,NE,6,1005.4
,2019-01-4,26.4,29.6,0,,,WSW,46,12:39,29.5,46,,W,13,1006.4,25.3,51,,WSW,17,1010.1
,2019-01-5,16.4,24.0,0,,,W,39,11:34,18.9,54,,SW,9,1018.4,22.8,45,,WSW,15,1017.8
,2019-01-6,14.3,27.7,0,,,W,39,14:49,19.7,99,,SSE,9,1022.5,23.7,98,,WSW,17,1019.1
,2019-01-7,13.9,29.4,0,,,WSW,28,14:01,20.1,79,, ,Calm,1019.2,28.7,30,,WSW,15,1015.0
,2019-01-8,14.2,26.9,0,,,WSW,39,14:03,20.7,52,,N,4,1014.1,24.9,46,,WSW,19,1013.8
,2019-01-9,15.3,26.3,0,,,SSE,33,13:57,19.6,48,,S,13,1018.9,25.4,28,,S,13,1017.0
,2019-01-10,13.1,31.1,0,,,ESE,30,22:58,16.7,46,,E,7,1018.7,29.5,18,,NNW,9,1014.9
,2019-01-11,16.6,38.9,0,,,N,31,10:03,28.1,18,,NNE,9,1012.9,37.3,10,,NW,11,1010.8
,2019-01-12,22.2,32.7,0,,,ESE,48,07:03,25.6,31,,SE,17,1013.1,29.8,22,,SSE,17,1016.0
,2019-01-13,15.6,34.8,0,,,SSE,26,10:59,21.1,45,,NW,9,1019.7,33.2,18,,ESE,11,1014.7
,2019-01-14,17.9,41.0,0,,,WSW,31,16:25,27.3,36,, ,Calm,1011.8,40.1,13,,WSW,15,1010.0
,2019-01-15,21.5,42.3,0,,,WSW,37,11:25,31.5,59,,NNE,2,1009.1,41.1,9,,SSW,11,1008.8
,2019-01-16,22.8,41.3,0,,,NNW,35,16:43,26.7,40,,E,2,1010.1,39.5,12,,NNE,7,1006.3
,2019-01-17,25.3,40.4,0,,,W,43,14:46,30.6,40,,SSW,4,1009.3,38.1,19,,SW,13,1006.8
,2019-01-18,24.0,27.4,0,,,S,39,20:36,24.3,74,,SSW,7,1011.2,26.0,59,,W,15,1013.3
,2019-01-19,16.4,28.7,0,,,SE,30,14:58,21.1,56,,SSW,9,1022.1,27.8,30,,SE,13,1020.3
,2019-01-20,17.4,32.8,0,,,WSW,28,14:34,23.0,34,,WNW,7,1021.2,31.0,25,,WSW,15,1017.9
,2019-01-21,21.1,36.4,0,,,WSW,26,11:31,23.7,62,,SE,2,1015.5,35.0,27,,WSW,15,1012.9
,2019-01-22,22.7,39.9,0,,,W,31,15:36,28.2,56,, ,Calm,1012.7,38.2,16,,WSW,11,1011.0
,2019-01-23,24.2,42.0,0,,,ESE,30,18:17,30.8,28,, ,Calm,1013.0,39.4,22,,SW,11,1010.1
,2019-01-24,30.8,47.7,0,,,NNE,35,09:14,35.8,14,,ENE,13,1007.6,47.4,9,,WNW,15,1003.6
,2019-01-25,24.2,31.9,0,,,WSW,35,05:14,27.8,42,,WSW,7,1009.0,26.7,54,,WSW,11,1010.7
,2019-01-26,18.2,28.6,0,,,WSW,35,18:33,22.0,60,,WSW,2,1012.2,27.5,39,,WNW,13,1010.9
,2019-01-27,15.8,26.8,0,,,WSW,31,10:28,20.2,55,,SSE,6,1015.4,25.3,37,,WSW,9,1015.0
,2019-01-28,15.5,30.6,0,,,W,28,12:41,21.3,60,,SSE,2,1015.7,27.7,37,,WSW,13,1013.3
,2019-01-29,16.3,34.3,0,,,WSW,28,17:00,22.8,50,,NNW,6,1012.4,31.1,23,,W,9,1009.9
,2019-01-30,17.3,40.2,0,,,WSW,48,13:58,28.7,21,,NNE,11,1006.9,35.7,20,,WSW,24,1004.0
,2019-01-31,16.5,25.6,0,,,NNE,39,22:57,20.4,51,,SSW,11,1016.7,24.5,33,,SSE,17,1016.7
