"Daily Weather Observations for Adelaide (Kent Town), South Australia for February 2019"
"Prepared at 13:02 UTC on Tuesday 20 August 2019   IDCJDW5002.201902"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The "official" Adelaide site is now at West Terrace / ngayirdapira."
"The "official" Adelaide weather observations site is now at West Terrace / ngayirdapira {site number 023000}. This Kent Town site is about 2 km east of the city centre."
"Observations were drawn from Adelaide (Kent Town) {station 023090}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-02-1,14.6,29.2,0,,,SE,48,23:58,19.1,34,,ESE,7,1020.0,28.5,17,,S,9,1016.4
,2019-02-2,15.1,38.9,0,,,WNW,28,16:07,26.2,28,, ,Calm,1012.9,36.7,13,,WSW,9,1010.0
,2019-02-3,22.5,39.8,0,,,W,37,11:13,31.1,19,,NNE,6,1008.5,33.5,24,,SW,17,1008.5
,2019-02-4,18.8,26.9,0,,,SE,44,09:17,20.7,62,,SSW,11,1015.1,25.9,42,,SE,17,1015.2
,2019-02-5,16.2,31.4,0,,,SE,37,14:19,19.7,54,,SSE,6,1015.6,30.4,25,,SSE,9,1012.3
,2019-02-6,19.5,32.6,0.2,,,W,28,16:34,22.9,60,,E,6,1011.8,29.6,41,,WSW,15,1009.2
,2019-02-7,19.3,32.3,0.2,,,WSW,31,15:51,24.5,58,,SW,4,1012.3,31.6,35,,WSW,11,1010.1
,2019-02-8,17.6,24.1,0,,,WSW,39,12:13,18.9,55,,SSW,13,1014.3,23.7,45,,WSW,20,1012.1
,2019-02-9,15.6,22.7,3.8,,,W,41,08:17,18.1,81,,WSW,19,1009.2,22.0,39,,WSW,20,1010.6
,2019-02-10,15.2,24.1,0.4,,,WSW,30,14:49,16.9,54,,N,7,1014.5,21.7,43,,SW,13,1012.3
,2019-02-11,16.9,25.2,0,,,WSW,39,14:37,20.8,61,,WNW,17,1007.6,24.3,50,,WNW,20,1004.8
,2019-02-12,16.4,21.1,2.0,,,W,50,03:59,17.6,79,,WSW,13,1002.0,19.0,41,,WSW,20,1006.2
,2019-02-13,12.3,22.7,2.4,,,WSW,31,14:42,15.7,57,,SSW,7,1016.0,22.1,33,,W,19,1017.5
,2019-02-14,11.8,24.6,0,,,WSW,31,13:32,18.4,51,,SE,7,1021.9,22.8,42,,W,15,1021.5
,2019-02-15,13.7,30.3,0,,,W,30,14:30,19.5,56,,WSW,6,1023.4,29.0,24,,W,17,1020.5
,2019-02-16,15.1,31.8,0,,,WSW,26,17:32,21.5,47,,W,2,1019.2,30.1,23,,W,11,1016.0
,2019-02-17,16.1,36.5,0,,,WNW,24,14:39,21.8,40,,SSE,2,1013.2,35.1,12,,NW,11,1009.2
,2019-02-18,19.6,24.0,0,,,WSW,46,12:45,19.6,66,,SW,13,1009.9,23.5,46,,WSW,20,1010.9
,2019-02-19,16.1,24.0,0,,,WSW,33,12:17,19.1,44,,SSE,13,1016.5,22.7,38,,WSW,15,1016.1
,2019-02-20,15.1,24.5,0,,,WSW,35,17:41,18.4,60,,S,7,1018.9,22.4,48,,SW,13,1018.2
,2019-02-21,14.5,26.7,0,,,W,31,15:05,18.0,60,,SSE,9,1022.1,23.1,47,,WSW,17,1020.5
,2019-02-22,15.2,31.8,0,,,ESE,28,21:04,21.8,46,,SSW,4,1022.4,27.8,34,,WSW,15,1020.6
,2019-02-23,21.4,33.3,0,,,ESE,33,03:15,25.9,33,,S,6,1022.4,31.6,25,,WSW,15,1020.2
,2019-02-24,18.8,38.3,0,,,W,28,13:44,27.1,30,, ,Calm,1020.7,36.8,11,,W,17,1018.7
,2019-02-25,23.3,38.5,0,,,ESE,30,22:54,30.3,19,,NE,9,1021.2,36.4,13,,WSW,15,1019.2
,2019-02-26,21.3,37.9,0,,,ESE,26,23:12,27.2,32,, ,Calm,1019.3,36.2,13,,WSW,13,1017.3
,2019-02-27,21.9,38.9,0,,,WSW,26,16:29,27.1,47,, ,Calm,1017.7,38.1,11,,W,13,1015.4
,2019-02-28,20.7,38.6,0,,,W,22,12:07,28.3,30,, ,Calm,1016.4,37.3,14,,WNW,9,1015.6
