"Daily Weather Observations for Adelaide (Kent Town), South Australia for April 2019"
"Prepared at 13:02 UTC on Sunday 18 August 2019   IDCJDW5002.201904"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The "official" Adelaide site is now at West Terrace / ngayirdapira."
"The "official" Adelaide weather observations site is now at West Terrace / ngayirdapira {site number 023000}. This Kent Town site is about 2 km east of the city centre."
"Observations were drawn from Adelaide (Kent Town) {station 023090}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-04-1,14.2,22.5,0.2,,,WSW,28,14:28,16.8,53,,SE,11,1026.4,21.7,41,,WSW,13,1024.2
,2019-04-2,11.4,28.2,0,,,N,24,09:48,15.4,65,,NNE,4,1024.8,27.1,18,,W,11,1021.1
,2019-04-3,12.2,26.5,0,,,N,17,09:04,16.9,49,, ,Calm,1024.9,26.0,27,,S,2,1024.0
,2019-04-4,16.9,33.5,0,,,E,33,00:14,23.6,27,,ENE,9,1025.0,32.7,15,,WSW,7,1021.4
,2019-04-5,23.6,33.0,0,,,NNW,57,12:11,27.7,25,,N,20,1017.7,32.2,21,,NNW,20,1013.5
,2019-04-6,16.9,22.3,0,,,W,28,14:02,17.0,61,,S,13,1023.6,20.9,50,,WSW,15,1021.6
,2019-04-7,10.8,23.9,0,,,WSW,33,15:01,17.6,65,,N,9,1019.9,21.3,51,,W,20,1017.4
,2019-04-8,14.3,23.8,0,,,NW,43,12:25,17.5,73,,NNW,11,1017.5,21.3,60,,WSW,17,1015.1
,2019-04-9,13.1,18.9,3.6,,,SW,31,01:08,15.5,45,,S,13,1024.0,17.5,36,,SE,6,1024.1
,2019-04-10,12.2,19.5,0,,,E,31,10:54,14.4,47,,E,11,1029.1,19.3,30,,ESE,11,1026.3
,2019-04-11,10.0,22.3,0,,,ESE,26,02:15,15.8,43,,E,11,1027.2,20.9,31,,WSW,11,1023.7
,2019-04-12,8.5,25.3,0,,,SW,24,13:21,19.3,26,,NE,7,1023.7,24.9,16,,W,9,1022.2
,2019-04-13,12.3,22.7,0,,,ENE,19,12:46,17.4,49,, ,Calm,1025.4,22.2,25,,NNW,6,1023.2
,2019-04-14,16.1,28.7,1.0,,,ENE,31,23:53,18.9,72,, ,Calm,1023.4,28.0,32,,ESE,9,1018.2
,2019-04-15,18.9,29.2,0,,,NNE,30,11:40,24.1,20,,NE,6,1017.4,28.1,12,,NE,9,1014.3
,2019-04-16,15.8,33.9,0,,,NNW,39,13:04,26.8,26,,NNE,9,1017.8,33.5,15,,NW,17,1014.4
,2019-04-17,24.7,26.7,0,,,NE,44,01:07,25.7,32,,NNE,11,1017.5,23.0,54,,SW,13,1018.3
,2019-04-18,11.4,23.5,0,,,E,35,22:20,16.7,48,,E,13,1028.0,22.4,25,,ESE,11,1024.4
,2019-04-19,16.7,33.9,0,,,E,30,00:02,23.4,26,,ENE,9,1022.9,33.5,16,,NNW,6,1018.5
,2019-04-20,19.7,32.4,0,,,N,44,12:13,28.2,19,,NNE,13,1019.3,31.6,17,,NW,13,1014.0
,2019-04-21,14.7,20.5,0.2,,,W,39,00:01,15.9,79,,NNW,6,1020.8,19.4,49,,SW,7,1021.0
,2019-04-22,9.7,20.6,0,,,SSE,30,14:20,16.9,52,,S,6,1027.3,20.2,36,,SSW,11,1025.4
,2019-04-23,10.3,22.4,0,,,SSE,31,15:52,16.9,49,,ESE,9,1028.8,21.2,34,,SSE,11,1025.6
,2019-04-24,8.8,20.9,0,,,WSW,31,14:46,15.5,67,,NNE,2,1027.3,19.5,53,,WSW,20,1025.3
,2019-04-25,8.2,22.4,0,,,WSW,28,20:42,15.3,68,,N,6,1026.4,20.4,47,,WSW,15,1022.9
,2019-04-26,15.0,18.4,0.4,,,WSW,37,04:00,16.4,67,,SSW,15,1025.0,17.0,48,,WSW,17,1025.1
,2019-04-27,10.2,19.0,0,,,WSW,26,12:31,15.6,49,,SW,6,1031.3,17.6,47,,W,13,1029.6
,2019-04-28,11.7,19.1,0,,,WSW,28,12:03,15.3,63,,NNW,6,1030.8,18.3,54,,W,11,1028.5
,2019-04-29,8.3,24.5,0,,,N,24,12:35,15.7,63,,NE,4,1026.8,23.8,25,,NNW,7,1020.2
,2019-04-30,13.3,25.2,0,,,NW,57,20:02,18.5,39,,NE,9,1012.9,24.4,18,,NNW,17,1005.2
