"Daily Weather Observations for Adelaide (Kent Town), South Australia for June 2019"
"Prepared at 16:02 UTC on Friday 16 August 2019   IDCJDW5002.201906"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The "official" Adelaide site is now at West Terrace / ngayirdapira."
"The "official" Adelaide weather observations site is now at West Terrace / ngayirdapira {site number 023000}. This Kent Town site is about 2 km east of the city centre."
"Observations were drawn from Adelaide (Kent Town) {station 023090}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-06-1,9.3,15.5,0,,,SE,20,20:05,11.0,75,,SE,2,1035.5,14.8,60,,SE,7,1033.1
,2019-06-2,10.9,15.9,0.8,,,WSW,39,15:06,11.7,94,,WSW,2,1033.4,15.5,55,,SW,17,1029.7
,2019-06-3,5.8,14.5,0.4,,,S,37,14:25,9.9,74,,S,2,1031.2,12.3,56,,SSE,13,1030.0
,2019-06-4,5.5,13.1,0,,,SE,28,15:20,8.8,84,, ,Calm,1034.0,13.1,66,,S,9,1032.7
,2019-06-5,3.9,15.1,0,,,WSW,17,11:17,7.7,76,,NNW,4,1037.6,13.6,57,,SW,9,1035.4
,2019-06-6,7.7,15.1,0,,,WNW,20,13:41,11.1,63,, ,Calm,1039.1,13.9,56,,SW,6,1036.1
,2019-06-7,3.7,16.9,0,,,NNE,28,10:36,10.8,71,,NE,11,1035.0,16.7,50,,NNE,9,1030.9
,2019-06-8,5.5,17.7,0,,,N,24,12:27,10.7,74,, ,Calm,1027.8,17.5,43,,NW,9,1023.6
,2019-06-9,10.2,16.6,0,,,NNE,39,22:59,15.5,36,,NNE,13,1018.2,12.7,87,,E,9,1013.7
,2019-06-10,10.8,18.1,5.0,,,NW,44,02:45,13.4,79,,NNW,9,1015.4,17.5,55,,NNW,11,1016.0
,2019-06-11,6.7,22.4,0,,,W,31,23:46,14.7,44,,NE,7,1019.8,22.1,33,,N,13,1016.0
,2019-06-12,14.4,17.9,38.0,,,N,33,09:17,14.4,96,,N,13,1015.1,17.2,75,,WNW,19,1014.0
,2019-06-13,10.2,16.9,1.2,,,WNW,31,13:05,11.2,92,,N,9,1019.9,16.4,68,,W,13,1018.6
,2019-06-14,11.1,17.3,0.4,,,NW,26,15:23,12.1,94,,NNW,9,1021.4,15.7,80,,NW,9,1020.4
,2019-06-15,11.1,16.2,0.8,,,NNW,26,14:05,12.1,86,,NNE,9,1022.9,15.4,67,,NW,13,1020.7
,2019-06-16,8.6,17.4,0,,,N,20,12:50,12.9,61,,ENE,6,1022.7,16.9,48,,NNW,9,1022.0
,2019-06-17,5.6,15.4,0.2,,,NW,30,23:20,10.3,77,,NNE,9,1023.3,13.8,63,,NNW,13,1020.7
,2019-06-18,7.7,14.6,5.2,,,WSW,33,06:22,11.0,68,,S,6,1024.7,12.9,56,,WSW,17,1025.1
,2019-06-19,3.5,13.9,0,,,NNW,20,10:57,7.5,78,, ,Calm,1029.0,12.7,55,,WNW,6,1026.6
,2019-06-20,5.7,12.6,0,,,ENE,19,10:57,9.1,66,,ENE,4,1027.5,12.5,59,,NNW,7,1025.9
,2019-06-21,4.1,14.9,0.2,,,NNE,19,10:12,9.4,68,,E,2,1031.0,13.7,48,,E,4,1030.0
,2019-06-22,5.8,15.8,0,,,NE,24,10:48,8.9,65,, ,Calm,1033.0,12.9,49,,S,7,1030.1
,2019-06-23,1.9,13.7,0,,,E,20,11:15,5.8,74,,NW,2,1032.3,12.8,34,,NE,9,1029.5
,2019-06-24,1.3,12.0,0,,,NNE,26,15:05,5.9,70,,NNE,7,1031.6,11.5,42,,NE,11,1027.8
,2019-06-25,5.9,17.2,0,,,NNE,20,01:24,11.3,44,,NE,6,1031.5,17.0,32,,NW,9,1030.2
,2019-06-26,5.3,19.7,0,,,NE,30,12:54,13.6,57,,NNE,7,1032.0,19.1,35,,NNE,15,1028.2
,2019-06-27,11.0,22.0,0,,,N,41,12:09,16.6,47,,NNE,9,1027.0,21.8,36,,N,17,1021.7
,2019-06-28,16.1,22.0,0,,,N,44,15:04,17.7,47,,NE,13,1020.6,21.2,45,,N,17,1015.8
,2019-06-29,10.3,14.1,12.6,,,W,54,21:43,10.3,94,,N,19,1012.6,10.7,81,,W,19,1013.2
,2019-06-30,5.7,13.1,17.8,,,NW,41,14:19,9.2,92,,NNE,9,1023.7,12.7,65,,NW,11,1022.6
