"Daily Weather Observations for Adelaide (Kent Town), South Australia for July 2019"
"Prepared at 13:02 UTC on Wednesday 21 August 2019   IDCJDW5002.201907"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The "official" Adelaide site is now at West Terrace / ngayirdapira."
"The "official" Adelaide weather observations site is now at West Terrace / ngayirdapira {site number 023000}. This Kent Town site is about 2 km east of the city centre."
"Observations were drawn from Adelaide (Kent Town) {station 023090}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-07-1,7.2,14.8,0,,,NNW,37,12:46,10.0,64,,N,11,1022.1,13.8,53,,NNW,15,1018.3
,2019-07-2,7.7,15.6,0,,,N,17,00:45,10.5,64,,NNE,7,1023.5,15.1,67,, ,Calm,1023.7
,2019-07-3,7.3,16.5,0,,,ESE,28,10:25,12.5,73,,E,2,1031.0,15.3,53,,ESE,9,1030.6
,2019-07-4,7.8,16.9,0,,,E,22,10:26,11.4,66,, ,Calm,1034.9,15.4,52,,ESE,11,1031.1
,2019-07-5,7.1,21.5,0,,,ENE,39,22:07,16.8,58,,ENE,9,1028.8,21.2,37,,NNE,15,1026.1
,2019-07-6,16.0,21.8,0,,,NE,35,01:15,17.4,53,,NNE,15,1025.3,21.1,44,,NE,13,1022.7
,2019-07-7,12.7,17.0,4.6,,,W,28,13:05,14.0,88,,N,7,1025.9,16.6,61,,WNW,13,1025.5
,2019-07-8,7.4,15.7,0,,,W,24,13:59,10.3,91,,N,7,1029.0,14.9,62,,WSW,13,1027.0
,2019-07-9,5.6,16.8,0.4,,,N,24,11:40,10.6,81,,NE,6,1024.5,16.2,55,,NNW,11,1019.1
,2019-07-10,8.1,16.7,0,,,W,61,18:20,10.4,66,,NNW,11,1012.8,15.6,63,,NNW,22,1006.9
,2019-07-11,10.3,15.6,3.0,,,WNW,39,03:18,12.7,85,,WNW,13,1016.0,15.1,79,,W,15,1015.9
,2019-07-12,12.2,14.2,3.4,,,WSW,46,16:42,13.6,74,,W,17,1014.9,12.5,81,,W,17,1014.2
,2019-07-13,8.1,13.4,5.2,,,WSW,41,00:17,11.1,61,,WSW,13,1025.6,12.7,50,,WSW,19,1027.9
,2019-07-14,6.0,13.4,2.4,,,WSW,41,15:29,11.0,95,,W,11,1031.4,13.3,67,,W,15,1029.6
,2019-07-15,10.0,13.7,2.6,,,WSW,28,00:49,11.8,91,,SSW,6,1030.7,12.6,93,,WSW,15,1030.5
,2019-07-16,11.0,14.6,1.2,,,WNW,17,14:06,12.0,95,,NNW,6,1030.7,14.2,79,,WNW,9,1028.4
,2019-07-17,10.4,14.5,2.2,,,WNW,33,10:14,10.8,95,,WNW,11,1024.8,13.6,76,,WNW,15,1022.1
,2019-07-18,10.2,15.0,0.8,,,NW,33,12:38,10.3,92,,N,13,1022.5,14.5,65,,NNW,15,1019.6
,2019-07-19,5.9,18.5,0,,,N,28,13:03,9.4,87,,NE,6,1022.7,18.2,42,,NNW,11,1019.3
,2019-07-20,9.4,20.2,0,,,N,44,13:03,14.9,36,,NE,9,1015.0,20.0,30,,N,19,1008.0
,2019-07-21,8.6,16.7,0,,,WNW,33,00:27,12.0,75,,WNW,9,1014.7,16.1,53,,NW,15,1014.1
,2019-07-22,8.2,19.2,0,,,N,43,11:51,12.5,58,,N,15,1012.7,17.7,35,,NNW,20,1009.3
,2019-07-23,10.4,16.0,4.8,,,WNW,48,13:12,11.7,91,,NW,13,1016.3,14.7,72,,WNW,20,1016.5
,2019-07-24,8.8,15.8,4.4,,,W,28,15:04,12.3,95,,NW,7,1025.7,15.6,73,,WNW,15,1025.2
,2019-07-25,9.5,17.9,0,,,NW,30,14:27,12.6,77,,NNE,7,1025.6,16.2,67,,NW,15,1022.1
,2019-07-26,11.9,16.6,0,,,WSW,24,14:09,13.3,78,,ENE,4,1022.3,15.9,68,,WSW,15,1021.8
,2019-07-27,6.8,15.9,0,,,W,24,14:37,9.8,82,,E,2,1025.0,14.6,43,,SW,9,1023.4
,2019-07-28,7.1,19.3,0,,,NNE,24,12:07,12.2,72,,ENE,2,1023.0,18.3,52,,N,9,1019.3
,2019-07-29,11.2,16.9,4.0,,,SSE,26,14:13,12.3,87,,WSW,6,1025.2,16.1,45,,S,11,1024.3
,2019-07-30,5.4,15.4,0.2,,,SE,20,22:18,10.3,84,,SW,2,1030.9,13.5,65,,SSW,9,1029.5
,2019-07-31,7.8,12.9,0,,,ESE,20,10:53,9.2,57,,NE,4,1034.5,12.3,49,,SE,9,1032.5
