"Daily Weather Observations for Adelaide (Kent Town), South Australia for April 2020"
"Prepared at 13:02 UTC on Tuesday 18 August 2020   IDCJDW5002.202004"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"This site is now closed. The "official" Adelaide site is at West Terrace / ngayirdapira."
"This site is now closed. The "official" Adelaide weather observations site is at West Terrace / ngayirdapira {site number 023000}. This Kent Town site is about 2 km east of the city centre."
"Observations were drawn from Adelaide (Kent Town) {station 023090}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-04-1,15.6,22.6,0,,,E,31,16:06,19.6,51,,WNW,6,1014.6,19.6,70,,ENE,7,1012.4
,2020-04-2,11.4,25.6,0,,,WSW,20,13:11,14.2,79,, ,Calm,1013.0,23.8,46,,W,9,1008.7
,2020-04-3,13.6,25.7,0.2,,,W,54,15:38,16.1,76,,N,4,1004.2,24.0,42,,W,13,1000.6
,2020-04-4,12.8,18.6,20.8,,,W,50,13:20,15.1,56,,WSW,20,1009.9,18.0,54,,W,26,1011.3
,2020-04-5,13.2,20.5,1.8,,,WSW,39,16:29,14.9,86,,W,15,1017.2,17.5,80,,W,15,1016.6
,2020-04-6,11.2,21.4,3.0,,,WSW,24,11:52,16.8,73,,SSE,4,1023.5,20.0,54,,WSW,11,1022.1
,2020-04-7,14.2,20.9,0,,,SSE,22,15:52,17.4,65,, ,Calm,1024.3,19.7,61,,S,9,1021.7
,2020-04-8,12.4,20.6,0,,,ESE,24,00:37,15.8,55,,SE,6,1026.0,19.9,39,,SE,11,1023.4
,2020-04-9,10.1,21.6,0,,,W,24,13:51,16.7,67,,WSW,6,1025.8,20.4,54,,WSW,11,1021.9
,2020-04-10,11.5,23.2,0,,,WNW,30,15:03,16.7,79,, ,Calm,1020.5,22.8,41,,WNW,15,1015.2
,2020-04-11,15.1,20.0,0,,,WSW,37,01:32,16.8,66,,SW,9,1017.4,19.3,32,,S,11,1018.2
,2020-04-12,10.3,19.3,0,,,W,26,14:49,14.4,52,,ESE,9,1023.8,18.6,44,,WSW,13,1020.9
,2020-04-13,7.8,24.3,0,,,NW,24,11:21,17.4,39,,NNE,9,1021.0,23.3,25,,NW,6,1019.2
,2020-04-14,11.4,29.4,0,,,W,17,16:13,21.9,25,,ENE,6,1022.2,28.7,13,,W,7,1020.0
,2020-04-15,15.1,28.8,0,,,NW,31,13:12,22.0,22,,NE,6,1017.6,27.7,16,,NW,13,1013.1
,2020-04-16,15.7,20.8,0,,,WSW,35,15:36,18.5,66,,SW,15,1016.1,19.6,51,,WSW,20,1016.3
,2020-04-17,14.1,20.1,0,,,WSW,30,05:09,16.2,55,,WSW,13,1020.9,19.2,52,,WSW,13,1019.2
,2020-04-18,12.5,19.4,1.6,,,WSW,20,12:40,14.3,84,,ENE,6,1019.4,18.8,60,,NW,11,1016.2
,2020-04-19,9.7,22.2,3.0,,,N,37,23:11,14.3,83,,NNE,7,1015.4,20.6,43,,N,9,1010.0
,2020-04-20,14.2,19.9,0.2,,,W,37,02:06,18.2,63,,W,17,1013.8,18.9,51,,SW,9,1015.4
,2020-04-21,11.3,24.3,0,,,WNW,37,15:59,16.5,57,,NNE,9,1018.0,22.9,47,,WNW,15,1016.1
,2020-04-22,12.1,23.6,0,,,NW,24,14:05,17.6,77,,NNE,4,1022.6,23.3,41,,WNW,9,1019.3
,2020-04-23,12.4,20.1,0,,,NE,28,12:56,20.0,43,,NNE,9,1017.2,17.1,90,,ENE,7,1015.7
,2020-04-24,12.9,21.7,9.4,,,WNW,24,11:00,17.4,81,,NE,2,1021.9,21.5,50,,NNW,7,1020.1
,2020-04-25,12.7,24.3,0.2,,,W,35,23:06,19.4,61,,NE,6,1017.4,21.4,70,,NNE,2,1014.4
,2020-04-26,15.9,20.0,27.6,,,WSW,30,14:39,17.5,82,,SSW,9,1020.4,18.5,50,,WSW,17,1020.5
,2020-04-27,11.0,20.5,0.2,,,ENE,17,11:01,15.1,64,,NE,2,1025.6,20.3,45,,WNW,6,1021.7
,2020-04-28,12.6,20.8,0,,,NNW,31,13:04,17.8,58,,NNE,9,1015.4,17.6,79,,N,2,1011.5
,2020-04-29,11.8,16.9,15.0,,,WSW,35,03:58,12.3,91,,E,4,1008.9,14.0,61,,S,15,1008.1
,2020-04-30,8.7,14.7,11.2,,,W,54,16:11,10.9,85,, ,Calm,1016.3,13.1,68,,WSW,13,1016.7
