"Daily Weather Observations for Adelaide (Kent Town), South Australia for June 2020"
"Prepared at 16:02 UTC on Sunday 16 August 2020   IDCJDW5002.202006"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"This site is now closed. The "official" Adelaide site is at West Terrace / ngayirdapira."
"This site is now closed. The "official" Adelaide weather observations site is at West Terrace / ngayirdapira {site number 023000}. This Kent Town site is about 2 km east of the city centre."
"Observations were drawn from Adelaide (Kent Town) {station 023090}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-06-1,9.3,14.4,11.8,,,WSW,61,01:41,9.7,83,,SW,9,1018.3,13.3,66,,WSW,15,1020.0
,2020-06-2,9.7,16.5,0.4,,,WSW,37,15:14,13.3,91,,WNW,13,1025.4,14.9,82,,WSW,15,1025.5
,2020-06-3,11.8,15.6,0,,,SE,24,10:41,12.9,70,,WSW,4,1033.4,14.5,53,,ESE,11,1032.2
,2020-06-4,4.6,16.8,0,,,NNE,20,11:04,9.9,70,,NNE,6,1035.1,15.4,55,,WSW,9,1031.3
,2020-06-5,3.4,16.0,0,,,WSW,17,14:45,8.6,74,, ,Calm,1031.0,14.4,49,,WSW,9,1028.0
,2020-06-6,5.6,15.1,0,,,W,24,12:47,8.5,85,, ,Calm,1027.2,13.7,56,,WSW,11,1024.8
,2020-06-7,5.3,13.2,0,,,SSE,26,14:02,10.6,71,,ESE,9,1028.8,12.9,45,,SSE,13,1028.0
,2020-06-8,1.5,14.4,0,,,NNE,17,11:13,5.2,84,, ,Calm,1033.2,13.4,49,,W,7,1030.9
,2020-06-9,1.8,15.6,0,,,N,22,12:47,5.9,82,, ,Calm,1031.4,14.1,46,,WNW,7,1028.1
,2020-06-10,1.2,15.4,0,,,W,15,13:52,5.9,88,, ,Calm,1028.6,15.1,44,,WNW,7,1025.1
,2020-06-11,1.4,17.5,0,,,NNW,19,11:10,6.6,73,, ,Calm,1026.1,16.4,39,,WNW,7,1023.3
,2020-06-12,4.3,20.3,0,,,N,33,15:20,12.2,51,,NNE,6,1021.5,19.9,31,,NNE,13,1015.2
,2020-06-13,12.2,14.9,0,,,N,41,12:13,13.3,64,,ENE,9,1008.2,12.4,94,,NNW,13,1007.3
,2020-06-14,8.6,14.7,0,,,NNW,31,13:47,9.9,86,,NNE,11,1019.5,13.4,93,,NW,11,1018.5
,2020-06-15,9.9,18.1,0,,,NW,41,14:59,12.5,92,,N,11,1023.6,17.3,70,,NW,19,1021.8
,2020-06-16,12.5,16.5,2.4,,,WNW,26,12:09,13.0,93,,N,9,1026.2,14.2,92,,W,11,1026.7
,2020-06-17,9.6,16.9,3.4,,,N,19,13:36,11.8,94,, ,Calm,1033.8,16.6,55,,ENE,6,1031.0
,2020-06-18,11.0,19.1,0,,,NNE,39,11:41,14.7,49,,NNE,13,1029.7,19.0,38,,N,17,1024.5
,2020-06-19,12.6,16.7,0,,,NNE,31,03:15,15.0,39,,NNE,13,1019.6,13.0,75,,NNW,7,1017.3
,2020-06-20,9.8,14.8,3.2,,,W,50,12:23,10.5,94,,N,11,1017.4,12.5,82,,WSW,9,1014.6
,2020-06-21,10.1,14.4,15.8,,,WSW,41,12:27,12.2,81,,WSW,15,1014.0,13.8,71,,WSW,13,1014.9
,2020-06-22,9.2,14.1,13.2,,,WSW,43,11:08,11.3,79,,SW,9,1018.9,11.7,82,,SW,11,1018.9
,2020-06-23,10.8,13.5,10.2,,,WSW,24,02:30,11.6,96,,WSW,11,1022.1,12.7,87,,WSW,9,1021.1
,2020-06-24,10.3,14.5,4.6,,,,,,10.5,95,,NNE,7,1022.2,13.7,59,,WNW,9,1019.8
,2020-06-25,7.1,16.3,,,,W,24,14:30,10.4,70,,NNE,7,1023.0,16.0,62,,WSW,11,1023.5
,2020-06-26,7.6,15.8,0,,,N,17,11:30,10.3,91,, ,Calm,1028.1,15.5,58,,NW,6,1026.0
,2020-06-27,4.7,17.3,0,,,N,22,13:51,7.2,85,, ,Calm,1028.4,16.9,37,,WNW,9,1026.5
,2020-06-28,3.6,16.7,0,,,N,19,11:34,7.9,79,, ,Calm,1028.9,16.3,37,,NNW,6,1027.5
,2020-06-29,4.4,15.0,0,,,NNE,28,11:46,9.7,59,,NNE,7,1025.4,14.4,44,,NE,11,1020.1
,2020-06-30,8.6,16.1,0,,,NNW,31,13:06,10.7,45,,NNE,15,1016.8,16.0,40,,NW,11,1014.5
