"Daily Weather Observations for Adelaide (West Terrace / Ngayirdapira), South Australia for December 2020"
"Prepared at 13:02 UTC on Thursday 11 November 2021   IDCJDW5081.202012"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The official site for Adelaide, having reopened in May 2017."
"This is the "official" site for Adelaide, having reopened in May 2017. Observations are available from the Kent Town site {station number 023090} up until 31 July 2020."
"Observations were drawn from Adelaide (West Terrace / Ngayirdapira) {station 023000}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-12-1,16.9,20.7,4.8,,,SW,57,13:10,17.8,71,,W,20,1011.6,19.2,47,,SW,30,1016.2
,2020-12-2,12.9,22.1,0,,,WSW,37,13:53,16.2,47,,SSE,11,1025.4,19.4,44,,SW,22,1023.8
,2020-12-3,9.9,28.8,0,,,WSW,31,17:14,19.2,37,,NNW,6,1021.1,26.9,15,,NW,9,1018.3
,2020-12-4,11.4,34.1,0,,,NE,39,22:49,20.9,31,,N,6,1017.4,33.2,12,,NNE,9,1010.9
,2020-12-5,20.9,24.1,0,,,W,63,14:53,24.1,58,,NW,22,1001.4,22.7,46,,WNW,30,1002.2
,2020-12-6,13.3,21.3,0.6,,,WNW,54,09:38,16.5,55,,W,26,1009.6,20.1,39,,W,31,1008.9
,2020-12-7,12.0,18.0,5.2,,,SW,56,11:50,15.3,55,,SW,24,1012.4,15.8,56,,SSW,30,1014.6
,2020-12-8,12.2,19.8,2.4,,,WSW,35,16:02,15.1,50,,SSW,11,1022.6,18.2,48,,WSW,17,1020.9
,2020-12-9,9.6,27.5,0,,,SW,30,11:27,18.7,49,,ENE,6,1020.2,24.7,32,,WSW,15,1018.1
,2020-12-10,12.8,25.7,0,,,SSE,37,13:44,17.4,58,,SE,15,1023.5,24.7,33,,SE,15,1021.9
,2020-12-11,11.6,29.9,0,,,SE,39,00:04,17.1,32,,WNW,6,1025.1,27.7,12,,ENE,17,1020.6
,2020-12-12,17.1,35.5,0,,,E,44,02:47,26.5,26,,ENE,19,1017.1,34.9,20,,NE,20,1012.9
,2020-12-13,25.3,30.9,0,,,NNE,48,08:55,28.5,24,,NNE,19,1012.8,25.6,42,,N,17,1012.3
,2020-12-14,25.2,37.3,0,,,N,44,09:22,29.8,32,,NE,17,1010.2,35.5,22,,NNW,15,1008.4
,2020-12-15,20.3,30.4,0,,,SSE,35,16:38,26.4,51,,N,6,1012.3,29.3,35,,SE,17,1011.5
,2020-12-16,16.8,27.2,0,,,SW,37,16:05,20.8,59,,SSE,7,1013.0,25.0,52,,SW,20,1008.7
,2020-12-17,15.7,21.1,0,,,SW,43,12:54,18.1,58,,SSW,13,1011.3,18.5,52,,SSW,20,1011.3
,2020-12-18,11.7,20.9,0,,,SW,39,16:18,15.7,44,,S,15,1017.7,20.1,41,,SW,20,1016.5
,2020-12-19,10.7,24.6,0,,,WSW,33,15:54,18.3,46,,ENE,7,1019.1,21.6,47,,SW,19,1016.6
,2020-12-20,11.5,29.7,0,,,SW,26,16:47,20.0,36,,NE,9,1014.8,26.9,26,,WSW,13,1010.8
,2020-12-21,16.3,21.3,1.0,,,SW,41,16:47,17.3,73,,S,13,1008.3,20.0,52,,SW,19,1008.4
,2020-12-22,11.2,21.6,4.8,,,WSW,46,15:07,17.0,68,,SSW,19,1014.4,20.5,51,,WSW,22,1015.4
,2020-12-23,12.1,22.2,0,,,SW,39,15:36,16.8,63,, ,Calm,1021.9,20.8,46,,WSW,20,1019.8
,2020-12-24,10.9,26.7,0,,,SW,37,13:03,18.2,60,,N,7,1021.2,25.0,36,,SSE,13,1018.5
,2020-12-25,13.6,29.6,0,,,WSW,28,14:27,19.4,41,,ENE,17,1018.9,28.7,25,,SW,15,1015.5
,2020-12-26,13.7,35.5,0,,,W,28,14:46,23.1,33,,N,4,1013.9,33.1,13,,NNW,11,1009.7
,2020-12-27,23.1,26.0,0,,,SW,59,12:05,25.1,39,,SW,19,1005.8,19.6,63,,S,22,1008.5
,2020-12-28,9.2,20.9,0,,,WSW,44,15:30,15.1,47,,SSW,11,1016.8,19.7,32,,SW,24,1015.4
,2020-12-29,10.1,22.8,0,,,SW,41,15:11,17.2,52,,SSW,11,1019.6,20.4,54,,SW,20,1017.7
,2020-12-30,12.9,29.3,0,,,SSE,35,19:08,19.3,61,,WNW,7,1019.2,27.5,38,,WSW,17,1016.0
,2020-12-31,15.3,29.3,0,,,ESE,35,20:36,20.9,46,,ENE,7,1018.6,28.9,26,,ESE,13,1015.9
