"Daily Weather Observations for Adelaide (West Terrace / Ngayirdapira), South Australia for January 2021"
"Prepared at 13:02 UTC on Wednesday 10 November 2021   IDCJDW5081.202101"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The official site for Adelaide, having reopened in May 2017."
"This is the "official" site for Adelaide, having reopened in May 2017. Observations are available from the Kent Town site {station number 023090} up until 31 July 2020."
"Observations were drawn from Adelaide (West Terrace / Ngayirdapira) {station 023000}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-01-1,15.0,30.7,0,,,ESE,35,23:30,22.8,50,,WSW,6,1014.3,27.9,29,,SW,17,1011.1
,2021-01-2,18.0,25.3,0,,,SW,41,16:02,20.6,65,,SW,7,1010.6,23.5,52,,SW,20,1009.4
,2021-01-3,17.1,26.1,0,,,S,39,17:48,19.4,54,,SSW,4,1010.1,22.4,55,,WSW,15,1008.4
,2021-01-4,16.7,21.4,0,,,ESE,44,07:26,19.6,56,,SE,11,1012.8,19.8,55,,SSE,17,1013.1
,2021-01-5,13.8,22.4,0,,,S,41,12:57,16.8,53,,SSE,17,1017.8,21.2,39,,S,20,1016.8
,2021-01-6,14.6,23.6,0,,,S,41,16:05,16.0,63,,SE,15,1023.0,22.3,35,,SSE,17,1020.6
,2021-01-7,14.1,27.4,0,,,ESE,31,02:03,17.5,56,,SSE,9,1023.6,26.4,31,,S,11,1019.8
,2021-01-8,17.1,33.3,0,,,E,37,02:41,24.1,48,,SW,7,1021.6,29.8,34,,WSW,19,1018.7
,2021-01-9,19.7,34.8,0,,,SE,35,21:45,25.7,39,, ,Calm,1018.7,32.3,25,,SW,17,1016.1
,2021-01-10,22.3,37.3,0,,,E,39,01:53,30.6,27,,NNE,11,1016.4,35.8,17,,SW,15,1012.8
,2021-01-11,27.5,38.3,0,,,NNW,46,11:04,31.4,20,,NNE,17,1008.6,35.2,19,,WSW,22,1007.9
,2021-01-12,15.6,31.2,0,,,SSE,37,00:12,18.4,53,,SE,13,1017.3,28.4,26,,ENE,7,1013.4
,2021-01-13,15.4,28.3,0,,,SW,39,17:00,20.8,46,, ,Calm,1012.3,25.6,46,,W,19,1012.9
,2021-01-14,12.2,22.7,0.4,,,SW,44,15:10,17.6,62,,SSW,15,1018.2,21.8,42,,SW,22,1016.7
,2021-01-15,14.2,21.3,0.2,,,SW,50,14:38,16.4,56,,SSW,15,1016.7,19.7,34,,SW,28,1017.5
,2021-01-16,14.3,22.2,0,,,WSW,44,12:19,16.4,49,,S,13,1021.1,20.4,46,,SW,26,1019.7
,2021-01-17,13.8,23.8,0,,,SSW,33,13:57,18.5,64,,S,11,1022.3,21.6,58,,SW,17,1020.7
,2021-01-18,13.0,25.0,0,,,SW,43,16:14,17.3,60,,SSE,11,1022.2,23.1,50,,SW,24,1020.1
,2021-01-19,13.0,28.6,0,,,SE,28,16:51,17.3,63,, ,Calm,1023.8,27.4,28,,SSE,9,1020.1
,2021-01-20,15.4,31.6,0,,,E,28,01:48,23.3,28,,WNW,2,1020.2,30.0,19,,WSW,17,1016.5
,2021-01-21,15.1,34.1,0,,,SW,30,17:37,24.9,24,, ,Calm,1013.3,33.0,14,,SW,13,1010.4
,2021-01-22,15.1,31.4,0,,,SW,31,15:37,23.3,40,,NNE,6,1011.6,29.3,19,,WSW,20,1010.5
,2021-01-23,16.6,39.0,0,,,E,39,21:57,27.4,18,, ,Calm,1010.2,38.2,9,,WSW,17,1007.7
,2021-01-24,27.0,42.7,0,,,WNW,43,12:16,34.1,13,,NE,15,1005.3,41.0,9,,WNW,24,1002.1
,2021-01-25,24.0,34.0,0.2,,,NE,41,09:32,29.1,35,,E,11,998.5,22.7,81,,SSE,7,999.6
,2021-01-26,18.0,24.1,29.8,,,SSW,37,13:18,18.8,74,,SSE,13,1005.9,21.7,54,,S,13,1007.1
,2021-01-27,15.3,27.5,0,,,ESE,37,01:10,17.5,55,,SE,7,1012.8,25.7,36,,E,13,1010.7
,2021-01-28,17.5,30.6,0,,,SW,35,16:50,24.5,32,,ENE,11,1011.1,28.1,25,,SW,13,1009.3
,2021-01-29,18.0,25.5,0,,,WSW,35,11:36,22.4,51,,N,4,1009.4,24.3,53,,SW,17,1009.8
,2021-01-30,15.7,25.5,0,,,W,52,13:12,18.7,59,,SSE,13,1015.3,24.1,45,,SW,20,1014.3
,2021-01-31,12.8,27.4,0,,,WSW,30,13:38,18.9,56,,E,11,1017.8,24.7,46,,WSW,17,1014.3
