"Daily Weather Observations for Adelaide (West Terrace / Ngayirdapira), South Australia for March 2021"
"Prepared at 13:02 UTC on Thursday  9 December 2021   IDCJDW5081.202103"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The official site for Adelaide, having reopened in May 2017."
"This is the "official" site for Adelaide, having reopened in May 2017. Observations are available from the Kent Town site {station number 023090} up until 31 July 2020."
"Observations were drawn from Adelaide (West Terrace / Ngayirdapira) {station 023000}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-03-1,13.4,26.3,0,,,SSE,35,18:36,17.9,60,,NNW,7,1016.0,25.3,37,,SE,11,1014.8
,2021-03-2,12.4,24.6,0,,,ESE,35,19:06,15.3,46,,ESE,11,1019.6,22.7,24,,ENE,11,1016.6
,2021-03-3,13.7,25.8,0,,,E,30,02:25,16.9,42,,E,13,1020.0,24.8,27,,ESE,9,1018.5
,2021-03-4,9.7,24.7,0,,,WSW,31,15:49,16.0,52,,NNW,6,1020.2,23.1,43,,WSW,15,1017.4
,2021-03-5,11.6,27.6,0,,,SSE,35,16:20,17.3,65,,W,7,1016.9,24.2,53,,WSW,20,1014.1
,2021-03-6,12.1,28.3,0,,,NW,26,11:42,17.4,46,,ESE,2,1013.6,25.1,33,,WSW,17,1011.0
,2021-03-7,17.2,28.5,0.2,,,WSW,26,14:19,23.1,33,,NNE,4,1008.6,26.9,31,,WNW,11,1007.7
,2021-03-8,16.5,26.4,0,,,S,31,16:37,18.5,63,,SE,13,1012.6,25.3,36,,SSE,11,1011.9
,2021-03-9,11.9,26.6,0,,,SE,31,17:31,17.1,63,,NE,9,1018.3,24.5,42,,WSW,15,1016.9
,2021-03-10,15.8,26.4,0,,,E,26,23:59,19.6,52,, ,Calm,1018.3,23.1,51,,WSW,11,1016.5
,2021-03-11,14.5,26.7,2.8,,,WSW,26,14:52,19.0,73,, ,Calm,1017.4,25.8,41,,WSW,13,1015.5
,2021-03-12,14.3,32.5,0.2,,,NW,30,14:54,19.8,54,, ,Calm,1014.9,31.4,25,,NW,17,1011.5
,2021-03-13,17.9,20.8,1.6,,,SW,46,14:13,18.0,88,,SSW,19,1013.8,19.7,47,,SW,22,1016.9
,2021-03-14,9.7,20.6,6.8,,,WSW,37,14:53,14.8,59,,SSE,6,1025.1,18.9,43,,WSW,20,1023.9
,2021-03-15,9.4,21.7,,,,,,,15.6,70,,NNW,4,1026.7,19.9,62,,SSW,13,1025.0
,2021-03-16,14.4,23.7,0,,,W,20,11:59,18.6,71,,W,6,1024.7,22.8,51,,W,11,1021.8
,2021-03-17,13.7,27.3,0,,,SSW,31,16:17,19.3,66,,NW,4,1021.4,25.9,42,,WSW,19,1018.7
,2021-03-18,18.2,30.7,0,,,ESE,35,11:01,22.8,52,, ,Calm,1021.8,30.1,26,,E,15,1020.3
,2021-03-19,18.7,30.9,0,,,SE,39,19:11,24.5,42,,E,11,1023.6,29.1,30,,E,24,1020.3
,2021-03-20,20.3,32.6,0,,,SE,39,12:45,25.3,43,,NE,7,1021.8,31.3,26,,ESE,15,1018.1
,2021-03-21,21.0,30.4,0,,,ENE,31,04:06,24.6,42,,NE,17,1018.1,28.9,36,,SW,13,1015.3
,2021-03-22,16.7,28.9,0,,,SW,30,15:15,21.8,57,, ,Calm,1014.0,28.0,35,,SW,15,1010.6
,2021-03-23,13.7,23.9,0,,,SW,33,14:47,18.8,55,,N,2,1009.4,22.9,51,,SW,17,1007.7
,2021-03-24,17.0,22.8,0,,,WSW,35,20:55,18.0,74,,SW,15,1009.1,20.8,58,,WSW,20,1008.8
,2021-03-25,16.1,22.0,0,,,SW,33,01:00,17.6,62,,SW,19,1012.1,21.5,43,,SSW,15,1012.3
,2021-03-26,13.3,22.9,0,,,N,24,11:25,15.6,68,,NE,11,1012.7,22.1,46,,WNW,17,1010.5
,2021-03-27,13.5,21.3,0.4,,,SW,30,14:33,17.8,65,,E,4,1014.9,20.5,47,,SW,17,1015.4
,2021-03-28,12.3,21.6,1.2,,,SW,26,13:29,15.5,73,,N,9,1021.5,20.7,53,,SW,15,1020.7
,2021-03-29,10.7,23.9,0,,,SW,30,16:48,16.3,72,, ,Calm,1025.4,22.7,51,,WSW,13,1023.8
,2021-03-30,13.5,27.1,0,,,WSW,30,15:31,18.5,65,, ,Calm,1026.4,24.7,38,,WSW,13,1024.5
,2021-03-31,13.5,28.0,0,,,WSW,24,12:05,20.5,48,,E,7,1024.5,26.9,35,,WSW,13,1021.8
