"Daily Weather Observations for Adelaide (West Terrace / Ngayirdapira), South Australia for July 2021"
"Prepared at 13:02 UTC on Sunday  5 December 2021   IDCJDW5081.202107"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The official site for Adelaide, having reopened in May 2017."
"This is the "official" site for Adelaide, having reopened in May 2017. Observations are available from the Kent Town site {station number 023090} up until 31 July 2020."
"Observations were drawn from Adelaide (West Terrace / Ngayirdapira) {station 023000}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-07-1,10.4,15.5,0,,,WNW,26,15:26,11.0,73,,NNE,11,1021.9,14.9,64,,WNW,15,1018.9
,2021-07-2,8.3,12.8,7.0,,,WSW,46,20:32,8.4,81,,SW,15,1015.3,12.0,55,,WSW,19,1016.0
,2021-07-3,7.0,13.3,6.4,,,SW,35,09:45,10.9,69,,WSW,15,1020.8,12.1,75,,WSW,17,1019.5
,2021-07-4,7.5,14.2,1.4,,,SW,28,12:59,10.0,86,,NNE,6,1023.7,13.7,64,,WSW,15,1023.4
,2021-07-5,5.8,13.8,0.6,,,NE,17,09:06,9.3,84,,NE,9,1025.7,13.3,57,,N,7,1022.6
,2021-07-6,8.2,15.8,0,,,N,28,12:06,9.7,73,,NE,11,1022.5,15.1,51,,N,11,1020.1
,2021-07-7,8.9,16.5,0,,,N,33,12:55,10.5,60,,NE,11,1022.9,15.7,44,,NNW,15,1019.6
,2021-07-8,10.0,16.2,0,,,NNE,28,11:12,11.9,52,,NE,13,1017.9,15.3,45,,NNE,11,1014.5
,2021-07-9,6.4,14.3,0,,,WNW,22,15:02,9.8,66,,NE,9,1016.8,13.2,82,,WNW,11,1017.0
,2021-07-10,5.4,17.1,0.8,,,NE,30,23:27,7.6,99,,NNW,7,1024.6,15.9,69,,W,7,1022.0
,2021-07-11,7.4,16.3,0,,,NE,35,10:49,14.0,49,,NNE,13,1020.4,15.8,45,,NNE,17,1015.9
,2021-07-12,8.9,15.2,0,,,W,30,14:32,11.6,86,,N,9,1016.7,15.0,78,,WNW,15,1015.2
,2021-07-13,10.2,17.4,0.4,,,NNW,46,20:06,11.3,76,,NNE,15,1013.9,16.0,51,,N,19,1008.2
,2021-07-14,10.4,18.3,10.2,,,NNW,50,11:24,12.5,91,,N,13,1002.8,17.9,66,,NW,20,999.9
,2021-07-15,10.6,18.0,0.2,,,NW,69,15:33,11.5,91,,N,11,1001.0,16.6,56,,NNW,22,995.1
,2021-07-16,9.3,15.1,8.2,,,WNW,74,15:23,10.7,93,,NW,22,995.6,13.3,78,,WNW,24,996.0
,2021-07-17,6.9,14.1,14.2,,,WSW,65,02:09,11.7,65,,WSW,20,1007.8,13.4,67,,SW,22,1011.8
,2021-07-18,7.1,13.8,1.4,,,SW,19,00:31,10.0,92,,NNE,4,1019.7,12.2,72,,WNW,11,1018.4
,2021-07-19,7.5,15.0,0,,,NW,33,13:13,8.5,90,,N,11,1018.9,14.6,67,,NW,20,1015.1
,2021-07-20,8.5,13.7,7.4,,,WSW,50,06:21,11.2,89,,SW,17,1014.9,12.6,46,,SSW,28,1019.8
,2021-07-21,4.2,12.8,1.0,,,NE,24,22:08,7.7,76,,NE,13,1025.9,11.4,66,,NNW,13,1021.3
,2021-07-22,6.1,9.1,,,,,,,6.9,80,,NE,17,1008.5,8.8,74,,NNE,17,1001.5
,2021-07-23,6.0,14.6,,,,,,,8.9,93,,N,6,1006.5,13.5,75,,W,9,1004.7
,2021-07-24,8.6,12.8,10.8,,,WSW,72,20:16,8.6,88,,WSW,13,1002.6,10.4,71,,W,19,1001.2
,2021-07-25,7.0,14.2,12.4,,,NW,46,12:28,11.4,81,,NW,13,1012.2,14.0,81,,NW,24,1012.0
,2021-07-26,8.8,16.9,4.2,,,NW,39,13:05,10.9,79,,NNW,17,1015.2,16.4,56,,NW,19,1012.5
,2021-07-27,10.7,19.2,0,,,N,56,11:50,14.8,45,,NNE,24,1004.5,18.0,37,,NNW,26,998.3
,2021-07-28,11.7,15.3,2.8,,,WNW,76,09:51,13.0,79,,NNW,20,1004.5,14.4,54,,W,26,1007.8
,2021-07-29,6.8,16.1,3.0,,,N,35,11:55,9.8,76,,NNE,11,1016.6,15.6,45,,NNW,20,1013.0
,2021-07-30,9.7,19.8,0,,,N,43,00:58,14.9,50,,NNE,13,1007.0,18.9,49,,N,17,1003.3
,2021-07-31,12.3,14.9,0,,,W,30,14:10,14.2,69,,NE,11,1004.7,11.5,96,,SW,13,1005.2
