"Daily Weather Observations for Adelaide (West Terrace / Ngayirdapira), South Australia for February 2022"
"Prepared at 13:02 UTC on Saturday 10 December 2022   IDCJDW5081.202202"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The official site for Adelaide, having reopened in May 2017."
"This is the "official" site for Adelaide, having reopened in May 2017. Observations are available from the Kent Town site {station number 023090} up until 31 July 2020."
"Observations were drawn from Adelaide (West Terrace / Ngayirdapira) {station 023000}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-02-1,17.8,24.1,0,,,SSE,44,15:12,20.2,57,,S,17,1007.6,22.5,34,,SE,17,1008.5
,2022-02-2,14.9,22.4,0,,,S,39,14:56,16.5,43,,SE,17,1015.8,21.4,35,,SSE,17,1014.6
,2022-02-3,12.4,23.7,0,,,SSE,35,15:19,15.5,84,,S,13,1019.2,22.5,40,,SSE,15,1017.8
,2022-02-4,12.7,27.6,0,,,SE,33,16:51,17.1,52,,ESE,13,1021.4,25.3,24,,ESE,9,1017.5
,2022-02-5,16.8,30.9,0,,,ESE,39,02:20,23.4,38,,ENE,11,1017.8,29.6,25,,SW,17,1015.3
,2022-02-6,21.7,32.2,0,,,E,41,01:23,25.5,33,,NE,15,1018.1,31.6,19,,NE,19,1016.2
,2022-02-7,24.2,33.7,0,,,NNE,41,10:26,25.1,34,,NE,17,1017.4,31.8,20,,ENE,17,1013.1
,2022-02-8,24.3,33.2,0,,,NW,59,12:51,28.1,24,,NNE,22,1009.4,26.7,41,,W,26,1007.7
,2022-02-9,16.9,24.8,3.6,,,SW,30,10:45,20.5,67,,S,11,1011.6,24.2,53,,SW,15,1011.8
,2022-02-10,14.5,24.7,0,,,SW,43,14:59,18.3,59,,SSW,11,1017.7,23.1,42,,SW,22,1017.3
,2022-02-11,14.9,27.6,0,,,,,,18.3,58,,E,2,1022.6,26.3,28,,SSE,13,1019.5
,2022-02-12,14.3,27.9,,,,W,28,11:03,19.1,46,,NNE,7,1018.0,25.4,39,,WSW,15,1014.3
,2022-02-13,16.7,34.8,0,,,SSW,28,15:06,24.4,30,,NNE,9,1013.3,33.8,15,,WSW,13,1012.9
,2022-02-14,18.9,35.5,0,,,W,28,12:52,25.1,35,, ,Calm,1019.2,32.8,29,,WSW,15,1017.9
,2022-02-15,16.7,31.9,0,,,SSW,30,14:33,22.2,58,,WSW,2,1021.3,30.9,35,,SW,13,1019.1
,2022-02-16,19.3,26.0,0,,,NNW,30,14:08,19.9,75,,W,9,1016.9,24.4,62,,NNW,15,1014.9
,2022-02-17,15.3,23.6,1.6,,,WSW,31,16:23,18.4,58,,S,9,1016.4,22.8,52,,WSW,15,1016.1
,2022-02-18,16.7,24.3,0,,,WSW,41,14:10,18.2,66,,SSW,11,1019.7,23.0,47,,SW,22,1019.6
,2022-02-19,12.8,24.1,0,,,SE,31,01:40,17.9,50,,ESE,11,1020.6,23.1,41,,SW,17,1017.2
,2022-02-20,11.5,21.9,0,,,WSW,33,17:45,15.6,71,,N,2,1012.1,20.2,56,,WSW,17,1010.6
,2022-02-21,15.5,21.5,0,,,S,31,17:50,17.2,57,,SE,15,1014.8,19.1,50,,SSE,15,1014.0
,2022-02-22,14.8,27.0,0,,,ESE,37,04:08,18.2,43,,E,15,1015.8,26.3,32,,SW,15,1013.2
,2022-02-23,15.2,32.7,0,,,ESE,30,01:47,22.5,41,,W,4,1015.1,31.0,24,,WSW,15,1012.9
,2022-02-24,21.5,33.2,0,,,E,35,08:42,26.3,27,,ESE,9,1016.3,32.9,23,,SE,13,1014.5
,2022-02-25,16.3,30.1,0,,,SSE,31,15:33,21.3,55,,NNE,4,1017.4,28.9,34,,SSE,15,1014.8
,2022-02-26,15.8,29.8,0,,,SW,33,14:17,20.9,51,,W,4,1015.7,28.5,37,,SW,17,1013.2
,2022-02-27,16.3,27.6,0,,,WSW,20,12:57,20.0,57,, ,Calm,1012.2,26.6,50,,WSW,11,1010.6
,2022-02-28,17.9,27.7,0.4,,,ESE,28,12:42,20.4,82,,NNE,7,1011.5,25.3,53,,SE,15,1009.5
