"Daily Weather Observations for Adelaide (West Terrace / Ngayirdapira), South Australia for July 2022"
"Prepared at 13:02 UTC on Monday  5 December 2022   IDCJDW5081.202207"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The official site for Adelaide, having reopened in May 2017."
"This is the "official" site for Adelaide, having reopened in May 2017. Observations are available from the Kent Town site {station number 023090} up until 31 July 2020."
"Observations were drawn from Adelaide (West Terrace / Ngayirdapira) {station 023000}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-07-1,7.2,13.2,0.2,,,SSE,20,00:29,11.4,76,,SE,7,1033.0,12.5,61,,SSE,9,1031.3
,2022-07-2,4.0,13.1,0,,,SSE,20,13:00,9.5,79,, ,Calm,1032.6,12.0,59,,ESE,11,1030.5
,2022-07-3,4.3,13.3,0,,,SSE,33,12:14,9.7,70,,ESE,7,1030.5,13.2,55,,SSE,13,1027.4
,2022-07-4,8.3,15.2,0,,,SSE,39,11:20,11.0,74,,SSE,9,1028.8,14.8,54,,ESE,19,1026.3
,2022-07-5,5.8,16.9,0,,,NE,20,02:50,12.2,69,,ESE,2,1027.4,15.7,50,,E,7,1023.5
,2022-07-6,3.7,14.5,0,,,WSW,26,13:35,9.6,76,,NE,7,1023.8,14.0,57,,W,11,1021.0
,2022-07-7,7.7,14.9,2.8,,,WSW,26,12:51,9.9,97,,N,6,1023.8,13.5,73,,SW,15,1022.7
,2022-07-8,6.3,15.1,0.2,,,SW,33,12:15,9.7,91,,N,6,1025.5,14.5,59,,SW,17,1023.0
,2022-07-9,6.0,13.8,2.2,,,SSW,20,11:51,9.6,81,,SSE,6,1026.7,12.7,57,,S,7,1025.5
,2022-07-10,2.7,13.1,0,,,N,31,11:41,9.1,73,,NNE,11,1026.8,12.4,61,,N,11,1022.6
,2022-07-11,8.5,13.7,0.2,,,NE,28,00:30,11.0,56,,NNE,13,1021.8,10.8,69,,N,13,1019.8
,2022-07-12,6.5,14.4,0.8,,,W,31,15:34,8.9,99,, ,Calm,1022.3,12.2,86,,W,17,1019.2
,2022-07-13,4.1,14.2,3.2,,,WSW,24,12:57,8.3,89,,N,7,1025.3,13.2,65,,SW,13,1025.0
,2022-07-14,7.2,14.7,0,,,WSW,17,15:12,9.1,80,,NNW,7,1030.5,13.4,61,,WSW,9,1028.9
,2022-07-15,6.5,14.8,0,,,NNE,30,15:36,10.2,66,,NE,13,1027.8,13.8,53,,N,13,1023.0
,2022-07-16,9.7,14.4,0,,,NNW,46,11:29,11.0,45,,N,19,1015.8,12.9,62,,NNW,19,1011.8
,2022-07-17,10.8,15.3,15.8,,,WSW,43,13:47,12.5,90,,W,13,1014.4,11.1,86,,SW,19,1015.2
,2022-07-18,6.0,13.2,1.2,,,SSW,22,14:31,9.2,89,,SSE,9,1024.2,10.8,76,,S,13,1024.1
,2022-07-19,3.9,11.2,0,,,E,26,17:13,10.2,59,,E,13,1029.2,11.0,51,,E,11,1027.3
,2022-07-20,5.0,13.6,0,,,ESE,33,16:15,9.2,61,,ESE,11,1029.7,13.2,46,,ESE,15,1026.8
,2022-07-21,7.2,18.0,0.2,,,ENE,35,15:41,9.8,77,, ,Calm,1027.4,16.8,49,,NNE,17,1022.3
,2022-07-22,9.8,16.4,0,,,NNE,37,01:50,14.0,63,,NNE,19,1021.4,16.3,61,,N,9,1017.9
,2022-07-23,13.0,17.5,0,,,NW,28,11:06,14.4,72,,NE,9,1018.5,16.6,53,,WNW,7,1016.9
,2022-07-24,8.0,19.8,0,,,NNE,35,13:31,15.0,62,,NE,13,1016.3,18.8,50,,NE,15,1011.0
,2022-07-25,12.2,15.5,2.8,,,WSW,44,13:39,13.0,93,,WNW,17,1012.2,13.2,68,,W,20,1014.7
,2022-07-26,10.3,14.9,1.6,,,SW,35,08:23,12.5,54,,SW,17,1023.8,14.3,63,,SW,13,1024.5
,2022-07-27,8.4,15.4,0,,,NNW,28,14:23,10.2,86,,NNE,9,1026.9,14.9,62,,NW,19,1024.7
,2022-07-28,5.5,14.7,0,,,SSW,20,15:55,10.3,77,,NNE,7,1028.1,13.6,65,,WNW,6,1025.8
,2022-07-29,3.9,16.4,0.4,,,NNE,28,16:07,9.8,76,,N,6,1028.8,15.9,53,,NE,13,1024.5
,2022-07-30,9.8,15.4,0,,,NNE,39,09:09,12.9,46,,NNE,17,1020.7,15.3,46,,N,15,1016.7
,2022-07-31,10.7,14.4,0.6,,,NW,39,13:03,11.2,72,,N,7,1010.3,11.0,80,,W,20,1009.0
