"Daily Weather Observations for Adelaide (West Terrace / Ngayirdapira), South Australia for October 2022"
"Prepared at 16:02 UTC on Friday  2 December 2022   IDCJDW5081.202210"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The official site for Adelaide, having reopened in May 2017."
"This is the "official" site for Adelaide, having reopened in May 2017. Observations are available from the Kent Town site {station number 023090} up until 31 July 2020."
"Observations were drawn from Adelaide (West Terrace / Ngayirdapira) {station 023000}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-10-1,8.7,21.5,0,,,ESE,30,21:47,19.7,65,,NW,7,1021.2,20.4,53,,WSW,13,1018.3
,2022-10-2,12.1,25.1,0,,,WSW,24,13:54,18.6,52,,NE,9,1018.5,24.3,36,,WSW,15,1016.3
,2022-10-3,16.9,23.6,0,,,NE,33,09:55,19.6,38,,NE,13,1017.4,22.9,33,,NNE,13,1015.2
,2022-10-4,14.2,18.1,4.4,,,ENE,57,12:36,15.4,73,,ENE,17,1015.4,17.1,63,,ENE,24,1012.2
,2022-10-5,13.9,22.0,11.0,,,ENE,52,23:04,17.4,74,,NE,13,1011.7,20.1,70,,W,9,1009.8
,2022-10-6,11.6,24.1,0,,,NNW,33,11:32,17.1,76,,NE,6,1012.2,23.0,51,,WNW,15,1009.8
,2022-10-7,11.3,17.5,7.2,,,SW,39,16:57,14.9,72,,WSW,15,1014.7,15.7,63,,SW,19,1015.1
,2022-10-8,8.4,16.3,0.2,,,WSW,33,11:12,12.8,63,,S,9,1022.2,15.6,49,,WSW,15,1022.9
,2022-10-9,5.4,17.3,0,,,W,26,11:43,12.8,71,,NNE,9,1027.4,15.6,50,,WSW,11,1025.1
,2022-10-10,9.8,22.2,0,,,N,33,12:03,16.6,44,,NE,15,1022.8,21.2,29,,NNE,17,1018.6
,2022-10-11,16.3,24.3,0,,,NNE,41,05:19,18.5,34,,NNE,19,1014.2,21.3,42,,NNE,17,1010.7
,2022-10-12,14.5,15.0,0,,,NNW,24,23:06,14.8,89,,WSW,7,1010.4,13.9,86,,W,9,1010.7
,2022-10-13,11.3,17.9,3.6,,,WNW,48,21:31,11.9,90,,N,9,1009.2,16.7,58,,NNW,20,1005.5
,2022-10-14,10.4,17.7,9.4,,,W,46,23:55,13.4,84,,W,17,1014.4,16.5,59,,WSW,15,1017.0
,2022-10-15,11.1,18.9,1.2,,,NW,26,12:47,13.7,78,,N,9,1021.5,18.2,41,,WSW,11,1019.4
,2022-10-16,6.9,20.9,0,,,WSW,28,14:23,15.4,69,,NNE,6,1023.1,19.3,63,,SW,15,1021.2
,2022-10-17,11.4,24.7,0,,,E,30,07:43,18.1,47,,NE,11,1021.2,23.5,34,,NNE,13,1016.6
,2022-10-18,14.4,22.4,0.8,,,NNE,41,11:26,16.3,71,,NNE,13,1015.5,21.8,48,,NNE,19,1012.2
,2022-10-19,14.3,24.9,0.2,,,SE,46,11:47,19.8,38,,E,13,1016.3,24.2,32,,ESE,17,1013.3
,2022-10-20,12.6,25.3,0,,,SE,33,23:27,18.7,52,,SW,9,1014.1,24.1,53,,ESE,13,1010.0
,2022-10-21,16.0,23.9,0,,,SSW,31,17:10,20.3,71,,N,7,1009.9,21.2,68,,WSW,17,1008.4
,2022-10-22,15.1,22.4,0,,,NW,24,06:58,15.9,94,,N,9,1011.6,19.3,72,,WSW,13,1010.6
,2022-10-23,14.2,17.4,0.6,,,S,30,18:23,15.0,92,,SSE,4,1011.9,16.9,84,,SSW,11,1009.9
,2022-10-24,13.7,20.5,11.0,,,SW,35,15:52,15.7,87,,SSW,9,1008.2,19.5,73,,WSW,13,1005.7
,2022-10-25,13.3,19.9,0.8,,,W,28,14:57,15.0,89,,W,9,1007.8,18.5,75,,WSW,13,1006.6
,2022-10-26,13.3,18.1,1.0,,,WSW,41,16:15,14.4,92,,W,15,1006.8,16.8,78,,WSW,19,1005.4
,2022-10-27,12.9,18.2,2.2,,,W,46,11:59,14.5,65,,WSW,20,1008.3,16.8,61,,WSW,28,1008.4
,2022-10-28,13.4,18.6,0,,,W,43,04:47,14.8,68,,SW,20,1010.4,17.9,50,,WSW,19,1011.1
,2022-10-29,10.7,20.0,0,,,W,31,12:49,15.2,56,,W,17,1011.4,18.6,52,,W,15,1010.4
,2022-10-30,9.9,27.8,0,,,NNW,57,14:50,16.6,57,,NE,22,1001.7,23.4,65,,NE,20,993.0
,2022-10-31,12.5,15.3,4.4,,,SW,61,16:38,13.1,82,,W,15,997.4,14.5,70,,SW,15,993.8
