"Daily Weather Observations for Adelaide (West Terrace / Ngayirdapira), South Australia for November 2022"
"Prepared at 13:02 UTC on Wednesday  7 December 2022   IDCJDW5081.202211"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The official site for Adelaide, having reopened in May 2017."
"This is the "official" site for Adelaide, having reopened in May 2017. Observations are available from the Kent Town site {station number 023090} up until 31 July 2020."
"Observations were drawn from Adelaide (West Terrace / Ngayirdapira) {station 023000}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-11-1,8.4,14.8,7.4,,,WSW,61,04:50,8.5,89,,S,15,997.9,11.6,75,,WSW,15,1003.1
,2022-11-2,8.3,16.9,12.6,,,SW,43,00:37,13.0,57,,SW,17,1015.6,14.9,58,,SW,17,1016.8
,2022-11-3,9.8,18.9,1.2,,,WSW,31,13:30,13.7,76,,S,9,1023.6,17.2,46,,SW,17,1023.5
,2022-11-4,6.3,20.7,0.2,,,W,28,13:29,15.2,64,,NNW,7,1027.5,19.5,52,,SW,17,1024.5
,2022-11-5,13.5,26.4,0,,,WNW,35,12:28,19.5,43,,NNE,17,1022.8,25.2,29,,W,15,1019.9
,2022-11-6,12.8,28.4,0,,,WSW,26,11:42,22.5,40,,NE,9,1020.1,27.1,24,,WSW,15,1017.9
,2022-11-7,17.0,30.2,0,,,E,31,23:01,24.7,30,,NNE,7,1017.6,28.4,21,,ENE,9,1015.0
,2022-11-8,19.2,32.1,0,,,NE,33,09:06,26.0,33,,NNE,15,1013.0,29.8,25,,NNE,15,1011.3
,2022-11-9,22.8,32.0,0,,,NNE,50,13:30,26.5,32,,NNE,15,1010.6,30.6,25,,NNE,26,1007.1
,2022-11-10,16.6,22.9,10.0,,,WNW,26,11:14,18.9,80,,W,9,1010.1,21.3,64,,WSW,13,1009.9
,2022-11-11,15.6,24.8,0,,,WSW,30,12:35,18.1,69,,NNW,7,1012.1,21.2,59,,S,15,1010.8
,2022-11-12,16.8,22.2,0.8,,,W,78,14:55,19.0,70,,NNE,19,1007.0,19.7,75,,E,24,1000.5
,2022-11-13,15.1,21.5,16.8,,,W,54,22:51,17.6,72,,NW,20,1002.4,18.9,65,,W,22,1000.2
,2022-11-14,12.3,18.3,5.0,,,SW,65,02:50,12.5,90,,SW,22,1011.0,17.8,53,,SW,20,1014.2
,2022-11-15,8.6,16.0,2.2,,,S,37,11:36,12.4,67,,S,13,1019.0,14.5,58,,SSW,17,1017.2
,2022-11-16,9.0,18.1,0,,,SW,30,14:34,14.0,53,,SSW,11,1019.9,16.0,55,,SW,19,1018.8
,2022-11-17,8.9,22.8,0,,,ENE,30,07:08,15.7,54,,ENE,13,1019.5,20.8,40,,W,13,1015.0
,2022-11-18,15.4,23.9,0,,,N,46,12:21,20.7,33,,NE,20,1009.2,15.4,91,,NNE,15,1007.3
,2022-11-19,15.3,23.3,13.8,,,W,61,16:32,19.1,75,,NNE,9,996.5,19.3,74,,SW,19,996.2
,2022-11-20,11.1,19.2,9.4,,,WSW,59,14:16,13.9,75,,WNW,19,1006.4,15.9,64,,WSW,28,1006.1
,2022-11-21,9.0,16.9,11.8,,,W,65,23:37,13.5,54,,WSW,22,1014.3,15.9,53,,WSW,26,1016.4
,2022-11-22,12.5,18.9,0,,,SW,33,08:19,14.9,54,,SW,15,1021.2,17.7,61,,WSW,15,1020.1
,2022-11-23,12.2,20.1,0.2,,,W,26,23:44,15.0,69,,WSW,11,1020.4,19.1,50,,SW,7,1019.7
,2022-11-24,8.7,24.2,0,,,W,24,11:32,16.8,66,,NNE,4,1021.9,23.5,40,,WSW,11,1020.2
,2022-11-25,11.5,32.9,0,,,NNW,31,12:29,22.8,42,,NNE,11,1018.8,31.7,17,,NNW,13,1014.7
,2022-11-26,22.8,26.0,0,,,NE,39,04:04,25.1,27,,NNE,17,1005.2,24.6,53,,W,13,1005.3
,2022-11-27,14.9,20.6,0.2,,,SW,35,10:55,17.5,59,,SW,11,1009.6,19.4,60,,WSW,17,1009.3
,2022-11-28,11.9,20.0,0.2,,,W,35,11:46,14.9,60,,SW,15,1013.8,18.4,52,,WSW,17,1013.5
,2022-11-29,14.0,20.5,0,,,SW,35,16:39,16.4,53,,SSW,15,1019.3,19.8,52,,SW,17,1018.3
,2022-11-30,10.0,23.4,0,,,SW,41,12:42,16.9,57,,SE,9,1020.5,21.2,53,,WSW,20,1016.7
