"Daily Weather Observations for Adelaide (West Terrace / Ngayirdapira), South Australia for June 2023"
"Prepared at 07:00 UTC on Monday 12 June 2023   IDCJDW5081.202306"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The official site for Adelaide, having reopened in May 2017."
"This is the "official" site for Adelaide, having reopened in May 2017. Observations are available from the Kent Town site {station number 023090} up until 31 July 2020."
"Observations were drawn from Adelaide (West Terrace / Ngayirdapira) {station 023000}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-06-1,12.7,18.4,0,,,E,24,22:48,15.1,82,,NE,9,1019.9,18.1,75,,WSW,2,1019.0
,2023-06-2,14.4,20.0,0,,,ENE,28,21:05,15.9,70,,NNE,11,1019.6,19.7,60,,NE,13,1016.5
,2023-06-3,14.3,25.3,0,,,ENE,41,23:11,17.9,63,,NE,4,1019.5,24.5,30,,ENE,9,1017.8
,2023-06-4,17.4,22.2,0,,,NE,43,16:49,19.3,54,,ENE,11,1021.2,21.7,48,,NE,13,1017.8
,2023-06-5,16.0,18.8,0.6,,,ENE,52,00:17,17.6,71,,NE,15,1015.4,17.4,76,,NE,9,1012.7
,2023-06-6,14.5,23.6,0.8,,,N,41,14:09,16.5,72,,NNE,13,1016.6,23.5,39,,N,19,1012.6
,2023-06-7,15.7,21.7,17.4,,,WNW,54,21:20,19.0,73,,NNE,19,1008.6,21.5,65,,NNW,19,1006.0
,2023-06-8,12.8,17.7,6.0,,,WNW,57,00:25,13.9,80,,WNW,22,1012.7,16.6,62,,WNW,22,1011.9
,2023-06-9,10.3,16.1,10.8,,,W,39,04:32,13.7,68,,W,6,1018.2,15.6,61,,W,13,1018.2
,2023-06-10,9.6,16.7,0.4,,,NNW,26,12:37,10.5,90,,NNE,11,1023.4,15.9,64,,NW,15,1021.4
,2023-06-11,8.4,18.0,0.6,,,NNW,24,14:26,12.9,69,,NE,9,1021.3,16.8,56,,N,11,1017.2
,2023-06-12,12.6,,0,,,,,,14.0,59,,NNE,15,1014.2,18.3,49,,NNW,20,1008.5
