"Daily Weather Observations for Adelaide, South Australia for December 2012"
"Prepared at 13:05 UTC on Thursday  8 August 2013   IDCJDW5002.201212"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations are from Kent Town, about 2 km east of the city centre."
"Kent Town is a suburban site with good exposure. Climate averages are available for West Terrace as well as Kent Town."
"Observations were drawn from Adelaide (Kent Town) {station 023090}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2012-12-1,16.8,23.2,0.8,,,W,41,14:48,20.3,59,,SW,15,1014.8,21.4,43,,SW,19,1016.4
,2012-12-2,12.9,22.4,0.2,,,WSW,37,10:19,17.3,53,,SW,15,1021.3,21.2,38,,WSW,19,1019.3
,2012-12-3,12.0,21.7,0,17.4,,WSW,43,16:41,16.5,56,,WSW,13,1017.7,20.6,45,,SW,19,1015.5
,2012-12-4,13.0,19.8,1.8,3.6,,SSW,48,11:46,15.1,51,,SSW,22,1018.5,18.7,34,,WSW,28,1019.1
,2012-12-5,14.6,21.8,0,6.0,,W,39,12:05,16.3,58,,SW,20,1020.4,20.1,44,,SW,17,1020.6
,2012-12-6,10.0,29.3,0,5.4,,NE,31,08:14,18.3,50,,NE,15,1020.5,29.0,23,,W,17,1016.6
,2012-12-7,18.0,36.1,0,7.4,,N,33,11:26,28.7,16,,NNE,15,1015.6,35.0,10,,NNW,20,1012.2
,2012-12-8,26.0,28.7,0,,,SSW,48,13:57,28.4,40,,W,22,1012.6,22.1,59,,SW,28,1016.3
,2012-12-9,12.2,23.2,0,,,S,41,17:05,17.8,40,,SSE,17,1025.7,22.3,28,,SSE,20,1023.7
,2012-12-10,12.6,27.3,0,24.0,,SE,63,01:13,16.8,38,,SSW,9,1025.4,25.4,16,,ESE,19,1022.4
,2012-12-11,16.8,33.8,0,8.4,,ESE,50,21:49,25.4,29,,ESE,6,1020.7,32.2,18,,ESE,15,1016.9
,2012-12-12,25.2,38.9,0,11.8,,N,54,13:03,31.4,26,,NE,17,1015.3,35.1,25,,NW,19,1011.9
,2012-12-13,26.4,37.0,0,9.6,,WNW,35,12:03,32.0,29,,N,13,1013.6,28.0,45,,SW,15,1012.8
,2012-12-14,23.9,26.8,0.2,6.4,,N,30,16:39,25.8,63,,S,7,1008.3,24.8,73,,NNE,7,1007.4
,2012-12-15,17.9,24.4,8.2,,,W,35,21:10,19.0,75,,W,17,1009.0,20.6,65,,NW,13,1007.8
,2012-12-16,15.6,21.3,0.4,,,WSW,48,01:43,16.8,64,,SW,15,1011.3,20.1,46,,WSW,19,1013.0
,2012-12-17,11.6,24.4,0,9.6,,W,30,13:06,17.5,55,,NE,7,1015.1,22.7,30,,WSW,11,1012.7
,2012-12-18,13.8,32.8,0,5.6,,W,31,12:43,22.0,42,,NNE,13,1012.2,30.9,16,,WNW,11,1009.2
,2012-12-19,21.5,30.2,0,7.8,,SW,44,12:10,26.9,40,,NE,7,1003.8,25.1,54,,SW,20,1005.2
,2012-12-20,13.8,24.4,0,4.4,,SW,39,00:44,19.6,50,,S,13,1015.6,23.1,38,,WSW,20,1015.8
,2012-12-21,12.3,28.0,0,6.4,,W,26,14:23,19.9,49,,NNE,4,1018.3,27.0,28,,WSW,15,1015.2
,2012-12-22,13.7,34.5,0,,,W,26,14:06,22.7,36,,SW,7,1013.5,33.4,15,,W,15,1010.1
,2012-12-23,18.3,42.0,0,,,WNW,50,12:19,33.3,9,,N,20,1006.3,41.3,6,,WNW,22,1003.5
,2012-12-24,18.1,27.0,0,26.8,,WSW,46,13:01,19.5,65,,SSW,19,1013.2,26.2,32,,SSW,20,1014.7
,2012-12-25,14.4,25.5,0,,,SSE,46,18:58,18.2,52,,SE,13,1021.5,24.0,31,,SE,19,1018.7
,2012-12-26,12.8,27.8,0,14.8,,WSW,30,15:39,18.6,43,,NW,11,1018.9,27.4,21,,W,13,1014.9
,2012-12-27,13.4,25.8,0,,,WSW,41,15:47,21.1,41,,WSW,4,1014.7,25.2,39,,WSW,22,1014.1
,2012-12-28,16.9,26.3,0,15.2,,W,50,14:15,18.9,51,,SSW,17,1020.8,24.2,41,,WSW,28,1019.7
,2012-12-29,12.4,31.0,0,,,WSW,33,13:43,19.6,50,,WSW,6,1023.3,29.7,34,,WSW,20,1020.8
,2012-12-30,14.9,31.2,0,,,W,31,13:10,19.7,58,,ESE,9,1022.5,28.3,34,,W,17,1019.0
,2012-12-31,14.2,31.5,0,21.8,,W,28,13:10,20.9,38,,SSW,11,1018.9,30.5,20,,WSW,15,1015.7
