"Daily Weather Observations for Brisbane, Queensland for September 2017"
"Prepared at 13:01 UTC on Saturday 11 August 2018   IDCJDW4019.201709"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-09-1,11.6,24.2,0,6.6,10.4,ENE,24,15:29,17.4,48,1,SW,6,1024.0,21.4,42,1,ENE,13,1019.0
,2017-09-2,12.9,24.6,0,5.4,9.9,NNE,19,15:00,18.1,54,3,SW,4,1023.5,23.2,47,1,NNE,9,1018.3
,2017-09-3,12.9,27.1,0,4.0,10.0,N,26,15:02,19.5,66,1,W,4,1021.0,24.5,51,1,NNE,11,1014.6
,2017-09-4,14.4,28.4,0,5.4,10.4,ENE,20,14:37,22.4,57,1,NNE,4,1014.7,25.2,53,4,NE,9,1009.8
,2017-09-5,13.4,27.5,0,6.6,10.8,W,31,14:10,22.3,20,1,SW,11,1016.6,27.4,15,0,WSW,11,1012.5
,2017-09-6,8.2,27.0,0,9.6,10.8,WNW,41,11:47,19.9,26,0,W,4,1018.9,26.6,14,0,WSW,11,1014.4
,2017-09-7,12.1,27.1,0,10.4,11.0,W,30,15:10,20.1,30,0,WSW,9,1020.9,26.4,14,0,W,13,1016.7
,2017-09-8,9.9,26.7,0,8.0,11.1,WSW,31,09:42,19.8,29,0,SW,9,1020.8,26.5,15,0,WSW,11,1015.1
,2017-09-9,11.4,24.9,0,8.8,10.0,SW,24,09:11,18.6,31,1,WSW,9,1021.6,22.4,27,7,ENE,11,1018.3
,2017-09-10,11.6,23.9,0,7.2,10.2,NE,24,14:20,18.2,48,1,SW,6,1023.5,22.2,45,1,NE,9,1019.3
,2017-09-11,12.6,25.7,0,4.4,10.3,NNE,30,16:58,19.9,60,0,SW,4,1021.8,23.7,53,1,NE,11,1017.0
,2017-09-12,13.4,27.9,0,6.8,9.6,NNE,26,16:53,21.7,59,6,W,2,1019.6,24.8,55,6,NE,11,1015.2
,2017-09-13,14.8,27.1,0,5.4,9.4,NNE,31,14:53,21.0,75,0,ESE,4,1016.3,24.5,66,2,NE,15,1010.8
,2017-09-14,18.1,23.3,0,5.4,8.0,W,52,13:28,19.7,45,7,W,17,1012.9,22.9,22,0,WSW,15,1012.8
,2017-09-15,8.6,24.6,0,13.0,11.0,ENE,20,14:46,17.3,28,0,SW,7,1023.3,22.2,28,0,NE,7,1019.6
,2017-09-16,9.5,27.1,0,6.8,10.7,N,24,13:52,20.3,40,1, ,Calm,1023.6,24.3,29,1,NNE,11,1017.8
,2017-09-17,13.5,24.4,0,6.8,9.0,ENE,35,15:00,20.7,53,7,SSW,7,1024.9,21.9,51,1,E,17,1022.5
,2017-09-18,13.1,24.5,0,6.2,10.1,ENE,24,14:35,22.6,51,2,ENE,4,1027.4,23.7,45,1,NNE,9,1022.5
,2017-09-19,12.5,28.1,0,6.6,9.4,NNE,24,16:20,20.6,54,0,WSW,4,1022.3,26.1,47,3,NE,9,1016.1
,2017-09-20,16.2,25.9,0,5.4,10.4,E,31,16:29,22.0,60,1,SSW,6,1019.5,24.4,48,1,ENE,13,1015.0
,2017-09-21,14.9,25.9,0,7.4,9.8,ENE,26,14:14,22.4,60,3,E,7,1019.8,23.9,60,1,ENE,13,1015.6
,2017-09-22,18.1,28.2,0,6.2,8.6,NNW,30,18:15,24.2,59,2,NW,9,1019.0,23.9,67,4,NE,13,1014.5
,2017-09-23,15.4,28.6,6.0,6.4,10.8,NE,28,15:13,23.5,60,0,NNE,6,1017.2,27.0,58,0,NE,9,1012.1
,2017-09-24,15.5,29.2,0,7.4,10.9,NE,33,14:22,25.1,56,0,NE,4,1013.7,27.4,59,0,NNE,11,1008.6
,2017-09-25,18.5,29.9,0,8.0,10.5,NE,31,13:59,26.1,52,1,ENE,2,1014.1,28.3,57,1,NE,13,1008.6
,2017-09-26,18.4,30.5,0,6.8,8.3,E,31,14:01,27.7,42,1,ESE,9,1014.2,25.6,52,2,E,15,1012.8
,2017-09-27,17.7,25.5,0,5.6,1.5,E,24,13:10,22.5,67,6,ENE,9,1018.3,22.9,71,7,ENE,9,1014.7
,2017-09-28,18.9,30.8,0,4.2,10.8,ENE,22,12:56,25.1,59,0,NNW,4,1013.2,30.3,53,1,ENE,9,1007.5
,2017-09-29,18.1,37.0,0,6.4,11.2,W,28,12:39,30.5,29,1,W,9,1015.4,34.1,26,1,NE,9,1010.6
,2017-09-30,18.5,34.1,0,10.0,10.7,ENE,28,15:13,28.2,32,1,SW,6,1015.3,33.6,18,1,SSW,6,1011.5
