"Daily Weather Observations for Brisbane, Queensland for November 2017"
"Prepared at 13:01 UTC on Thursday  9 August 2018   IDCJDW4019.201711"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-11-1,16.6,,0,9.2,11.7,,,,23.6,57,4,N,4,1013.3,24.7,60,1,NNE,9,1009.2
,2017-11-2,16.4,28.2,,8.0,12.5,E,24,14:37,24.2,58,1,NNW,2,1013.3,26.6,45,2,NE,11,1010.2
,2017-11-3,18.2,28.6,0,6.8,12.4,NE,26,15:12,25.5,54,2,NW,6,1015.5,27.1,53,2,NNE,9,1012.3
,2017-11-4,18.4,29.7,0,8.0,12.1,ENE,26,16:23,25.9,52,2,W,6,1015.4,28.2,50,2,ENE,13,1012.7
,2017-11-5,21.5,28.9,0,8.1,8.9,NE,24,16:39,25.0,69,7,NE,7,1018.5,27.8,52,1,ENE,11,1014.8
,2017-11-6,20.4,28.3,0,7.4,6.8,WSW,31,22:07,23.8,68,7,WNW,2,1016.4,26.6,62,6,NE,9,1010.3
,2017-11-7,18.9,28.0,4.8,6.2,8.8,E,43,14:20,25.9,59,2,SW,6,1011.4,23.3,60,7,E,19,1011.7
,2017-11-8,18.3,25.6,0,7.0,5.5,SE,41,13:40,23.5,50,7,SE,9,1019.8,20.8,66,7,ESE,15,1019.1
,2017-11-9,15.2,24.7,1.0,7.6,11.8,ESE,39,15:58,22.8,40,2,SSE,11,1023.5,23.1,44,5,SE,20,1021.5
,2017-11-10,16.3,24.5,0,8.6,10.8,SE,35,11:35,22.4,57,7,ESE,11,1024.2,23.8,51,7,E,17,1022.1
,2017-11-11,16.4,25.6,2.8,7.4,6.5,ESE,31,14:40,20.6,70,7,S,7,1024.6,21.5,61,7,E,15,1021.2
,2017-11-12,15.3,25.8,1.0,4.7,12.5,E,39,14:59,21.7,60,6,SE,6,1022.5,24.1,42,3,ESE,17,1019.9
,2017-11-13,14.6,26.1,0.2,10.4,13.1,E,31,14:06,24.1,42,3,ESE,9,1021.8,24.6,42,1,ENE,15,1019.3
,2017-11-14,14.7,26.5,0,8.8,12.8,NE,30,13:48,23.2,46,2,ESE,7,1021.4,24.8,36,1,NE,13,1018.0
,2017-11-15,16.4,26.8,0,9.2,10.7,NE,26,14:34,23.6,52,3,ESE,6,1019.7,23.5,60,5,NE,11,1016.7
,2017-11-16,16.4,28.0,0,6.6,12.8,ENE,26,15:19,25.4,49,3,NE,6,1017.3,25.9,53,2,ENE,11,1014.4
,2017-11-17,17.6,27.0,0,8.6,11.3,ENE,30,15:26,25.2,54,2,ENE,9,1018.4,25.6,50,7,ENE,13,1016.5
,2017-11-18,17.9,24.1,9.0,8.4,0.0,ESE,19,12:45,19.4,90,8,S,2,1017.3,18.6,91,8, ,Calm,1015.9
,2017-11-19,15.9,24.0,28.4,2.6,4.7,E,35,16:36,21.5,64,7,ESE,11,1018.4,22.1,65,7,ESE,11,1017.2
,2017-11-20,16.9,26.5,5.8,3.0,9.1,ESE,35,16:28,23.6,55,7,SSE,11,1019.8,25.1,47,2,ESE,17,1018.0
,2017-11-21,17.4,25.9,1.8,7.4,8.4,ESE,37,12:17,23.1,53,4,ESE,19,1019.4,21.3,74,8,E,11,1017.7
,2017-11-22,16.7,25.5,0.4,6.4,3.2,ESE,35,12:27,23.6,57,7,ESE,11,1017.4,24.3,51,7,E,17,1015.3
,2017-11-23,16.4,26.5,0,5.4,12.5,E,26,16:32,23.5,58,5,SSE,7,1016.8,25.9,54,2,E,9,1014.2
,2017-11-24,17.4,28.8,1.2,8.0,12.4,E,33,14:43,24.9,61,3,ESE,7,1016.9,27.1,50,1,E,19,1014.1
,2017-11-25,18.6,28.7,0,8.6,8.6,E,30,11:58,25.3,61,7,ESE,9,1016.2,26.8,58,5,ENE,13,1013.3
,2017-11-26,19.7,29.5,0,8.0,12.3,E,30,14:00,25.6,63,7,S,4,1016.2,28.3,54,1,E,13,1013.4
,2017-11-27,19.8,29.0,0,8.0,11.4,NE,30,14:22,26.1,64,7,ESE,9,1015.6,27.8,59,3,ENE,15,1013.2
,2017-11-28,20.2,29.2,0,7.4,8.3,NE,26,14:02,26.9,59,5,E,7,1016.8,27.0,62,7,E,13,1014.7
,2017-11-29,21.4,26.7,18.2,5.8,0.0,ENE,28,16:28,21.9,94,8,ESE,9,1017.0,24.2,79,8,E,9,1014.2
,2017-11-30,20.1,27.5,28.0,3.4,3.1,ENE,31,12:11,26.2,67,7,ENE,13,1016.1,25.8,68,7,E,15,1013.8
