"Daily Weather Observations for Brisbane, Queensland for March 2018"
"Prepared at 13:01 UTC on Sunday 19 August 2018   IDCJDW4019.201803"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-03-1,20.9,,,6.0,11.8,,,,26.5,66,1,WSW,6,1010.9,33.1,53,2,ENE,9,1006.6
,2018-03-2,24.6,29.1,,7.4,3.4,SE,24,01:16,27.4,66,7,SE,7,1012.8,27.4,67,8,E,9,1010.1
,2018-03-3,24.0,30.6,0.8,4.0,8.0,NE,19,17:19,26.6,78,7,NW,2,1012.6,29.9,65,1,NE,7,1009.2
,2018-03-4,24.3,34.7,0.2,5.4,9.7,NW,24,17:58,29.8,64,5,ESE,2,1012.1,33.5,46,6,SE,4,1008.6
,2018-03-5,23.6,29.4,2.4,5.8,0.3,E,19,14:23,25.1,81,8,E,4,1012.8,27.5,76,7,ENE,7,1010.3
,2018-03-6,20.5,24.0,57.4,4.4,0.0,E,28,00:40,23.4,89,8,S,6,1014.0,20.3,87,8,S,6,1015.2
,2018-03-7,18.8,26.1,11.0,3.6,1.1,ESE,44,17:01,21.9,89,8,SE,9,1018.3,25.8,59,7,SE,20,1016.6
,2018-03-8,19.0,26.6,5.8,1.8,2.7,SE,41,12:24,23.9,62,7,SE,20,1019.2,25.2,60,8,SE,13,1017.4
,2018-03-9,19.1,27.4,1.6,4.4,6.6,SE,41,14:40,24.7,62,6,SSW,6,1020.1,26.5,49,7,SSE,19,1018.0
,2018-03-10,20.1,26.7,0.6,6.6,4.4,E,48,15:28,25.2,60,7,SE,9,1020.8,25.6,60,7,SE,11,1019.2
,2018-03-11,18.8,25.7,2.8,4.6,3.2,SSE,33,16:18,24.0,65,7,S,9,1019.6,21.7,83,8,SSE,9,1017.5
,2018-03-12,18.3,28.6,2.2,4.2,9.0,E,28,16:18,22.1,68,7,SW,7,1017.0,27.9,50,3,ESE,11,1013.5
,2018-03-13,19.2,27.3,0,5.4,3.7,E,33,15:04,25.0,66,7,SSE,9,1016.7,26.5,59,7,ESE,15,1015.0
,2018-03-14,20.5,28.7,5.8,4.2,9.5,SE,44,13:21,25.3,72,2,SE,4,1016.6,27.9,51,2,SE,15,1013.4
,2018-03-15,20.2,29.4,0.4,6.2,8.1,E,28,15:11,24.1,71,7,SSW,4,1013.7,28.6,51,1,ESE,13,1011.0
,2018-03-16,18.5,30.6,0,6.0,11.3,ENE,28,13:49,24.6,69,1,SW,6,1015.7,29.1,50,1,E,13,1013.7
,2018-03-17,20.5,31.0,0,7.0,11.3,E,24,13:59,25.8,62,1,SSW,6,1018.3,30.0,47,1,E,13,1015.0
,2018-03-18,21.1,31.2,0,6.2,8.0,NE,20,15:04,26.0,73,6,WSW,4,1017.3,29.3,62,3,NE,11,1014.3
,2018-03-19,21.9,31.4,0,4.4,9.9,ENE,26,15:07,27.1,68,3,ESE,4,1017.3,30.2,59,4,ENE,11,1014.3
,2018-03-20,20.7,29.8,0.2,7.0,10.1,E,30,14:55,26.7,64,4,ESE,9,1018.1,27.9,51,1,E,13,1016.0
,2018-03-21,21.2,25.8,13.6,7.2,0.5,SE,41,12:48,25.1,69,7,SE,15,1018.0,25.3,76,7,ESE,9,1015.9
,2018-03-22,20.4,27.6,28.0,7.2,8.3,E,37,14:33,23.9,79,6,SSE,9,1017.4,27.2,58,3,ESE,13,1015.1
,2018-03-23,19.7,28.3,6.0,6.0,8.2,ENE,30,12:23,25.1,75,7,S,4,1018.2,27.1,58,5,E,15,1016.2
,2018-03-24,20.5,27.7,0.2,4.6,6.3,ENE,26,10:15,25.8,68,7,E,7,1019.0,27.1,56,5,ENE,11,1016.3
,2018-03-25,19.5,28.1,0.2,4.0,5.6,NE,22,12:54,26.0,70,3,SE,6,1016.1,25.2,72,7,NE,6,1011.9
,2018-03-26,21.9,29.2,1.0,3.4,5.5,NE,17,17:55,25.3,79,7,WSW,4,1011.1,28.4,72,7,NNE,7,1008.0
,2018-03-27,23.7,28.3,0.2,3.8,1.0,SSE,28,18:36,26.4,82,8,S,4,1012.8,27.6,67,6,ESE,13,1011.4
,2018-03-28,20.9,30.9,1.2,8.4,10.7,ESE,33,16:18,26.3,66,3,SSE,9,1015.4,30.0,45,2,SE,13,1011.8
,2018-03-29,21.0,28.7,2.0,6.8,6.7,E,37,11:44,24.7,86,5,SE,9,1013.7,27.1,68,7,E,11,1012.0
,2018-03-30,21.1,29.1,1.0,3.6,8.7,E,26,16:22,25.6,79,7,S,6,1014.2,27.8,67,3,ESE,13,1012.1
,2018-03-31,20.7,29.3,0.4,6.0,9.9,SE,31,16:15,25.8,72,6,SE,9,1016.4,28.0,56,2,E,13,1014.3
