"Daily Weather Observations for Brisbane, Queensland for May 2018"
"Prepared at 13:01 UTC on Friday 17 August 2018   IDCJDW4019.201805"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-05-1,15.1,25.3,0,6.0,8.6,ESE,33,12:33,20.7,61,3,SSW,6,1024.3,24.3,48,3,ESE,13,1021.7
,2018-05-2,17.2,26.0,0,4.8,8.0,ESE,22,16:35,20.8,65,7,WSW,7,1023.5,24.7,53,2,E,11,1019.6
,2018-05-3,16.0,26.7,0,4.2,8.8,NE,17,16:12,21.0,68,4,WSW,6,1021.7,24.9,55,7,NE,7,1018.2
,2018-05-4,16.5,27.6,0,3.6,9.9,ENE,19,14:46,22.1,70,3,WSW,4,1020.9,26.3,59,3,NE,6,1017.2
,2018-05-5,18.3,27.2,0,3.8,9.3,ESE,31,15:29,23.3,71,1,SW,4,1023.6,25.4,51,1,ESE,15,1022.6
,2018-05-6,15.7,25.8,0,6.4,9.7,ESE,37,14:09,20.6,63,1,SSW,6,1027.8,24.3,51,4,ESE,17,1024.9
,2018-05-7,16.7,24.2,0,5.8,1.5,ESE,30,12:46,20.4,69,7,SW,4,1025.0,22.8,67,8,ESE,7,1021.1
,2018-05-8,18.5,22.5,8.2,5.6,0.1,SE,24,13:37,19.9,91,7,WSW,2,1021.6,20.6,91,7,SE,4,1019.1
,2018-05-9,17.9,27.2,9.2,0.6,9.2,W,22,13:46,21.3,73,1,WSW,7,1019.6,26.5,46,1,W,9,1015.8
,2018-05-10,14.3,27.9,0,3.8,10.0,N,24,19:21,19.6,72,0,SW,4,1018.5,27.5,32,1,W,6,1012.7
,2018-05-11,14.9,22.9,0,6.0,10.2,WSW,43,11:15,18.9,41,0,W,19,1015.6,22.5,23,0,W,17,1012.7
,2018-05-12,12.3,22.3,0,10.2,10.1,W,44,11:32,16.8,39,1,WSW,11,1015.5,21.8,32,0,W,17,1012.0
,2018-05-13,10.7,24.4,0,5.6,10.0,W,24,09:48,18.1,50,1,SW,6,1018.3,24.2,33,1,SSW,6,1015.1
,2018-05-14,11.2,25.0,0,4.0,9.6,S,20,11:16,17.6,61,1,SSW,4,1021.1,24.4,39,3,SSW,6,1017.4
,2018-05-15,13.4,25.1,0,4.4,9.9,SSW,19,13:38,19.0,58,0,WSW,6,1021.1,24.2,29,1,SE,6,1018.3
,2018-05-16,11.5,24.4,0,4.0,9.9,ESE,20,14:38,17.4,66,2,SW,6,1023.6,23.4,36,5,E,11,1020.6
,2018-05-17,12.8,23.6,0,4.8,6.8,ESE,28,15:19,18.4,63,1,SSW,4,1024.1,21.6,63,7,ESE,9,1021.3
,2018-05-18,13.3,25.4,0,4.0,9.8,ENE,17,14:48,18.7,69,1,SW,4,1022.9,23.6,54,1,NE,6,1019.1
,2018-05-19,11.5,25.3,0,3.2,9.7,E,17,15:26,17.5,60,1,SW,6,1022.3,23.8,36,1,ENE,7,1019.2
,2018-05-20,11.6,25.3,0,2.6,9.9,W,20,20:46,17.0,67,1,SSW,4,1021.8,24.8,29,1,WNW,7,1017.4
,2018-05-21,9.7,,0,5.2,10.0,,,,17.9,43,1,WSW,6,1021.6,24.1,31,1,N,2,1018.5
,2018-05-22,10.8,25.5,,2.2,9.8,W,20,10:13,18.4,45,0,W,6,1021.3,25.4,26,0,WSW,6,1016.6
,2018-05-23,11.3,25.0,0,5.0,9.3,SSE,24,15:10,17.8,49,1,SW,4,1023.2,23.7,45,3,ESE,11,1021.0
,2018-05-24,13.1,24.2,0,4.0,7.7,E,17,15:43,18.6,70,1,SW,7,1024.2,23.0,49,7,E,7,1020.3
,2018-05-25,14.2,24.6,0,3.6,5.0,SE,26,12:25,17.1,76,7,SW,6,1024.6,23.2,51,7,ESE,7,1022.3
,2018-05-26,15.1,23.8,0,4.2,5.6,ENE,31,14:04,19.4,61,1,SSW,6,1027.5,17.0,88,7,SE,4,1025.7
,2018-05-27,14.3,23.1,3.4,2.6,5.6,SE,24,13:25,19.7,67,2,SSW,4,1027.0,20.6,67,6,ENE,4,1023.6
,2018-05-28,14.8,22.7,1.6,2.2,3.6,ESE,22,19:37,16.9,85,7,WSW,6,1025.0,20.9,71,7,E,9,1021.8
,2018-05-29,16.2,23.5,4.2,1.4,5.8,E,24,13:01,18.6,82,7,SW,6,1022.4,20.2,78,7,ENE,6,1019.0
,2018-05-30,13.4,26.1,0.2,2.4,9.4,WNW,26,21:44,15.4,94,0,WSW,4,1020.3,25.7,44,2,W,9,1015.4
,2018-05-31,8.3,22.0,0,4.8,9.9,WNW,30,13:14,15.0,44,0,WSW,6,1021.3,21.6,27,0,W,13,1016.8
