"Daily Weather Observations for Brisbane, Queensland for June 2018"
"Prepared at 16:01 UTC on Thursday 16 August 2018   IDCJDW4019.201806"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-06-1,10.2,22.6,0,5.4,9.8,WSW,19,01:47,16.1,37,0,WSW,7,1020.1,22.0,33,0,S,4,1016.7
,2018-06-2,8.4,23.5,0,3.6,9.9,W,24,13:17,14.9,60,0,SW,4,1018.1,23.2,27,0,SW,6,1012.8
,2018-06-3,12.0,25.4,0,4.8,8.9,WSW,20,10:01,18.5,51,5,SW,6,1015.3,24.7,42,3,SSW,6,1012.4
,2018-06-4,11.7,24.0,0,3.2,9.6,ESE,19,15:12,17.8,60,1,SW,6,1016.8,22.6,52,2,ENE,7,1014.6
,2018-06-5,11.5,22.6,0,4.0,9.7,ESE,20,15:52,17.1,67,1,SW,6,1021.6,21.6,47,1,E,9,1020.0
,2018-06-6,11.8,23.1,0,4.4,8.5,E,30,17:54,16.4,68,1,SSW,6,1024.4,20.9,54,5,ESE,13,1022.3
,2018-06-7,13.9,20.6,8.6,3.6,1.9,E,30,13:25,15.3,92,8,ESE,7,1027.6,19.2,77,5,SE,9,1024.9
,2018-06-8,13.8,22.4,9.4,0.4,6.1,SE,22,12:40,17.4,76,5,SW,4,1026.2,21.3,63,7,NE,7,1022.6
,2018-06-9,15.6,23.7,0.2,1.8,3.8,WSW,15,07:49,17.6,84,7,S,2,1023.9,23.3,53,7,NE,4,1019.4
,2018-06-10,15.6,23.6,0.8,2.6,6.4,SSW,20,12:56,19.4,74,1,S,4,1020.7,21.5,49,7,SSE,7,1018.2
,2018-06-11,12.4,23.3,0,3.0,9.7,W,17,09:53,17.1,61,1,SW,7,1021.0,22.4,43,2,E,2,1016.8
,2018-06-12,9.3,22.9,0,2.8,8.6,NNW,15,20:07,14.2,70,5,SSW,4,1018.8,21.5,53,6,NE,6,1013.8
,2018-06-13,10.5,25.2,0,2.4,7.5,WNW,15,19:30,14.7,81,1,SW,2,1015.4,24.7,49,4,NE,6,1011.4
,2018-06-14,14.0,23.8,0.8,5.0,5.3,W,20,11:31,21.1,61,6,WNW,4,1017.7,23.0,50,7,WNW,6,1016.0
,2018-06-15,11.7,23.7,0,2.8,9.6,WNW,28,13:21,16.2,66,1,S,6,1021.8,23.2,27,0,WNW,9,1018.3
,2018-06-16,6.9,23.2,0,4.4,9.7,WNW,22,13:50,15.3,47,1,SW,6,1021.8,22.5,26,6,NW,7,1017.0
,2018-06-17,8.7,20.5,0,4.0,9.3,WNW,44,13:46,16.7,36,1,W,9,1019.8,19.5,22,1,W,17,1015.7
,2018-06-18,9.8,18.5,0,7.2,9.8,W,41,16:07,13.2,44,1,WSW,11,1019.2,18.1,33,1,W,17,1015.4
,2018-06-19,8.5,20.2,0,5.2,9.9,WSW,37,13:31,14.4,48,0,WSW,7,1018.5,19.7,27,1,WSW,11,1016.0
,2018-06-20,8.7,22.4,0,6.2,6.7,WSW,24,10:11,16.1,50,1,SW,9,1022.5,20.6,44,7,SSW,6,1020.8
,2018-06-21,10.4,22.2,0,4.0,8.3,SSE,19,12:11,16.2,53,1,SW,7,1025.6,20.6,51,7,E,9,1023.1
,2018-06-22,10.7,22.7,0,3.6,9.5,ENE,24,14:32,15.8,66,1,SW,6,1027.1,21.4,47,1,E,9,1024.1
,2018-06-23,9.1,23.1,0,3.4,9.2,E,19,14:44,13.7,70,1,SW,6,1026.4,22.1,40,1,ENE,4,1022.3
,2018-06-24,8.6,23.4,0,3.8,9.3,SW,17,10:07,14.4,66,1,SSW,4,1025.2,22.1,28,1,ESE,7,1021.9
,2018-06-25,10.3,21.6,0,3.2,6.4,ESE,28,14:32,13.6,70,7,WSW,7,1028.6,20.1,51,6,ESE,13,1025.4
,2018-06-26,13.4,22.0,0.8,2.6,3.8,E,26,13:19,16.0,63,7,SSW,4,1030.1,20.2,56,8,SE,7,1027.9
,2018-06-27,14.1,16.9,1.0,3.0,0.0,WSW,13,10:33,15.4,83,7,SSW,4,1028.4,16.2,85,8,WSW,4,1026.0
,2018-06-28,13.8,22.0,7.4,0.8,1.3,WSW,15,13:51,16.1,86,6,SW,2,1025.2,20.6,68,4,WSW,4,1021.2
,2018-06-29,12.4,23.7,0,1.2,7.6,WSW,15,10:13,14.0,98,8,WSW,4,1023.2,22.9,59,2,NNE,6,1020.8
,2018-06-30,12.9,24.6,0.2,2.0,4.1,SW,17,08:50,15.7,81,8,SSW,6,1025.4,23.4,53,7,NE,6,1023.0
