"Daily Weather Observations for Brisbane, Queensland for July 2018"
"Prepared at 13:01 UTC on Tuesday 21 August 2018   IDCJDW4019.201807"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-07-1,15.1,22.4,0,1.4,0.2,SW,11,23:34,18.2,85,8, ,Calm,1027.6,22.1,72,7,NE,4,1024.7
,2018-07-2,14.8,24.4,6.4,1.8,7.3,SW,17,09:28,18.7,75,3,SSW,4,1025.8,23.1,53,4,SSE,6,1021.6
,2018-07-3,13.3,23.3,0,3.0,9.9,S,30,11:48,17.1,65,1,WSW,9,1024.9,22.5,44,4,SSW,7,1020.4
,2018-07-4,14.8,24.0,0,4.0,9.2,ESE,24,11:49,17.8,77,2,WSW,6,1024.0,22.6,56,3,E,11,1022.2
,2018-07-5,15.4,22.9,3.2,3.4,3.7,E,24,12:39,18.2,91,2,WSW,4,1024.1,19.4,91,7,ENE,6,1021.1
,2018-07-6,17.6,23.9,8.6,2.0,7.1,NE,26,14:57,21.2,82,6,N,6,1019.7,22.9,70,4,NNE,11,1015.6
,2018-07-7,18.2,24.9,2.6,1.6,2.6,WNW,30,15:38,20.3,85,7,NNE,2,1015.2,24.4,58,6,WNW,13,1010.6
,2018-07-8,9.7,20.4,0.2,5.6,9.8,WSW,33,01:50,14.1,39,0,WSW,9,1020.5,19.7,28,0,W,13,1017.2
,2018-07-9,9.0,20.6,0,6.4,9.2,W,26,02:48,14.2,47,0,SW,6,1022.5,19.2,34,7,WNW,2,1020.5
,2018-07-10,9.0,22.2,0,2.4,6.9,WSW,20,10:43,13.1,66,7,SW,6,1025.0,20.6,47,3,SE,9,1021.5
,2018-07-11,10.7,20.8,0,3.4,3.4,SSE,19,12:08,15.4,70,4,SW,6,1024.2,17.0,82,8,WNW,9,1020.8
,2018-07-12,13.9,21.8,2.4,,5.7,SSW,15,08:45,15.0,88,7,SSW,7,1021.7,21.4,59,4,W,7,1017.1
,2018-07-13,11.0,21.7,0,2.8,10.1,W,28,13:00,15.8,56,0,SW,6,1018.8,21.3,16,0,WSW,9,1014.7
,2018-07-14,6.7,21.0,0,5.0,9.9,WSW,17,10:31,12.5,47,1,SSW,6,1020.1,20.6,26,0,WSW,2,1016.1
,2018-07-15,5.2,21.6,0,3.0,9.9,ENE,15,15:27,10.5,65,1,SW,4,1020.1,20.1,33,1,ENE,7,1015.5
,2018-07-16,7.3,23.6,0,2.8,9.2,NNW,17,13:30,13.3,65,1,SW,6,1016.8,23.2,25,3,NNW,2,1012.6
,2018-07-17,7.1,24.3,0,4.8,10.0,W,17,11:13,14.5,40,0,SSW,4,1020.2,23.8,18,0,NNW,4,1017.6
,2018-07-18,6.2,25.0,0,3.2,9.9,WSW,17,07:33,11.7,60,0,WSW,6,1021.7,23.8,18,0,SE,4,1018.6
,2018-07-19,6.3,23.8,0,2.6,9.8,NW,22,23:53,12.0,55,0,SSW,4,1022.4,21.9,38,0,NE,7,1018.0
,2018-07-20,9.8,24.9,0,3.4,5.7,W,26,19:34,17.2,66,1, ,Calm,1017.9,22.2,53,7,W,7,1012.7
,2018-07-21,9.8,20.2,0,4.8,10.0,W,30,04:43,14.2,36,1,SW,7,1022.4,18.7,35,1,NE,6,1020.1
,2018-07-22,7.8,20.7,0,3.6,9.3,E,22,12:51,12.8,60,7,WSW,6,1024.3,19.9,42,2,ENE,11,1020.2
,2018-07-23,8.2,22.2,0,3.2,9.6,ENE,17,14:12,13.9,66,1,SW,6,1022.7,20.0,41,2,NE,6,1017.9
,2018-07-24,8.5,24.1,0,3.2,9.9,NE,17,14:36,13.6,69,0,SW,4,1020.6,22.1,53,0,NNE,7,1016.1
,2018-07-25,10.3,24.1,0,2.8,4.8,W,9,10:36,13.6,75,7,SW,2,1020.0,23.1,44,7, ,Calm,1016.7
,2018-07-26,13.5,26.3,0.8,1.2,9.0,W,19,00:39,18.6,61,1,WSW,2,1019.7,24.0,36,1,ENE,11,1015.7
,2018-07-27,11.4,25.6,0.2,3.8,9.7,NNE,22,16:11,17.0,74,0,SW,4,1019.5,22.7,55,1,NNE,9,1015.0
,2018-07-28,11.6,26.4,0,3.2,9.7,NNE,19,15:23,18.4,71,0,SSW,2,1018.5,24.9,47,1,NE,7,1014.2
,2018-07-29,12.4,26.4,0,3.0,8.7,W,37,23:47,18.1,77,1,SE,2,1017.5,24.2,54,2,NE,7,1012.8
,2018-07-30,11.8,23.7,1.4,3.0,10.3,W,31,12:28,18.7,47,0,WSW,6,1017.7,23.3,25,0,W,9,1015.3
,2018-07-31,8.4,23.3,0,6.4,10.1,ENE,17,13:42,14.5,45,0,SW,4,1021.7,22.4,30,0,NNE,6,1017.8
