"Daily Weather Observations for Brisbane, Queensland for August 2018"
"Prepared at 13:01 UTC on Monday 12 August 2019   IDCJDW4019.201808"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-08-1,7.0,24.7,0,4.0,10.2,ENE,19,16:46,12.8,51,4,SW,6,1021.8,22.7,33,2,NE,7,1017.5
,2018-08-2,9.1,23.0,0,3.0,10.0,ENE,24,16:04,14.8,61,0,SW,6,1023.1,21.3,43,1,E,13,1020.9
,2018-08-3,11.1,23.9,0,4.8,10.0,NNE,20,14:34,16.4,65,1,SW,6,1023.1,22.5,46,1,NNE,7,1017.7
,2018-08-4,11.7,27.1,0,2.8,9.8,W,19,14:33,20.4,63,1,NW,4,1018.4,27.0,33,1,WSW,6,1014.7
,2018-08-5,10.3,25.3,0,5.4,10.0,ENE,19,13:48,16.8,48,0,SSW,4,1019.9,23.9,40,0,NNE,7,1014.7
,2018-08-6,11.5,27.6,0,3.6,9.1,WNW,31,21:03,17.3,80,1,SW,6,1015.7,25.1,57,1,NE,9,1008.8
,2018-08-7,15.9,22.9,2.8,3.6,4.1,W,43,12:26,16.2,49,7,WSW,7,1015.4,20.9,18,7,W,13,1012.2
,2018-08-8,7.0,22.6,0.2,7.0,10.3,NNE,19,16:32,14.6,44,0,SW,6,1019.9,22.2,21,0,NW,6,1016.0
,2018-08-9,7.3,23.0,0,4.8,10.2,E,22,16:01,14.9,46,0,SW,6,1022.7,22.3,26,1,SE,7,1019.8
,2018-08-10,9.5,23.4,0,4.8,10.3,ESE,20,12:20,16.5,55,1,SW,6,1024.7,21.7,35,1,E,7,1020.2
,2018-08-11,11.0,24.9,0,4.0,8.2,NE,26,15:40,15.7,74,7,SSW,4,1021.3,22.8,44,1,NNE,9,1015.4
,2018-08-12,11.6,24.4,0,4.4,10.5,W,46,13:21,20.2,59,1,NW,4,1016.5,23.1,15,0,W,20,1014.2
,2018-08-13,7.9,22.5,0,9.8,10.5,SSW,19,09:54,14.7,27,0,SW,7,1022.7,21.7,13,0,SSW,6,1020.0
,2018-08-14,6.8,22.7,0,4.6,10.5,E,24,13:35,14.2,48,0,SW,6,1025.4,21.4,36,0,ENE,9,1021.0
,2018-08-15,7.6,25.2,0,3.8,10.3,NE,20,15:32,14.4,58,0,WSW,2,1021.8,24.0,37,0,NNE,7,1015.8
,2018-08-16,7.5,29.5,0,4.4,10.7,WNW,35,14:50,18.6,49,0, ,Calm,1015.8,28.9,10,0,W,13,1010.5
,2018-08-17,8.6,29.3,0,4.8,10.7,WSW,24,15:09,16.7,40,1,WSW,6,1015.1,29.0,13,1,WSW,9,1010.7
,2018-08-18,9.4,28.1,0,4.6,10.6,W,31,15:16,18.1,43,0,SW,6,1017.4,27.3,18,1,WNW,13,1012.0
,2018-08-19,8.5,22.8,0,5.6,11.1,W,52,13:21,20.1,29,0,WSW,6,1015.4,22.1,14,0,WSW,20,1012.5
,2018-08-20,10.4,21.9,0,13.4,10.8,W,33,08:37,14.0,28,0,WSW,11,1018.9,21.1,10,0,SW,7,1016.0
,2018-08-21,6.8,23.8,0,5.2,10.9,WSW,22,15:08,15.4,25,0,W,6,1019.4,23.1,11,1,W,7,1013.1
,2018-08-22,5.2,24.4,0,6.6,10.9,WNW,33,12:24,17.4,24,0,SW,4,1017.0,23.9,11,0,W,11,1012.7
,2018-08-23,8.7,23.1,0,5.8,10.7,ENE,24,14:47,16.4,43,1,SW,4,1020.1,21.2,46,1,ENE,13,1017.0
,2018-08-24,10.8,24.5,0,4.4,10.5,NE,26,14:34,18.5,59,1,SW,2,1022.6,21.6,49,1,ENE,13,1019.8
,2018-08-25,12.4,22.5,0.8,4.4,5.1,E,28,15:48,17.3,74,5,SW,4,1023.0,21.2,46,7,ENE,11,1018.8
,2018-08-26,14.0,20.2,11.2,2.4,1.5,WSW,15,12:47,15.3,92,8,WSW,4,1018.1,19.4,69,7,NNE,2,1012.6
,2018-08-27,9.6,24.4,10.6,2.0,10.5,W,28,10:01,17.7,61,1,SSW,9,1017.2,23.3,32,2,SSE,6,1015.6
,2018-08-28,11.1,22.8,0.2,5.0,10.7,ENE,19,14:44,17.6,64,1,SW,4,1021.2,20.9,51,2,ENE,9,1015.7
,2018-08-29,9.6,24.8,0,4.4,11.1,W,30,12:26,17.0,57,0,SSW,2,1019.4,24.2,15,0,SW,11,1014.8
,2018-08-30,8.7,23.7,0,6.8,10.9,ENE,20,14:17,16.5,40,1,SW,7,1020.7,21.8,40,1,ENE,9,1016.8
,2018-08-31,10.3,25.7,0,4.2,9.9,NE,37,13:54,18.4,63,1, ,Calm,1018.7,23.0,54,0,NNE,13,1010.2
