"Daily Weather Observations for Brisbane, Queensland for June 2019"
"Prepared at 16:01 UTC on Friday 16 August 2019   IDCJDW4019.201906"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-06-1,7.6,22.9,0,3.2,5.5,WSW,17,11:52,14.4,45,1,SW,4,1025.3,21.5,47,7,ENE,4,1022.0
,2019-06-2,14.4,22.3,0,2.6,6.6,E,28,12:11,18.5,69,7,SSW,4,1024.6,21.2,57,6,ESE,7,1020.7
,2019-06-3,14.0,22.0,4.0,3.0,9.3,W,35,15:22,18.2,73,1,W,2,1018.6,21.0,44,1,W,17,1013.4
,2019-06-4,9.8,17.2,0,6.2,10.0,W,52,11:09,12.2,51,1,W,20,1014.1,15.6,45,3,W,19,1012.8
,2019-06-5,10.9,22.4,0,5.0,9.4,W,20,11:10,16.9,47,3,WSW,7,1020.5,21.7,38,7,SW,6,1019.0
,2019-06-6,11.0,22.3,0,3.4,9.1,E,20,13:27,16.5,54,2,SW,6,1028.3,20.9,46,7,ESE,6,1026.0
,2019-06-7,10.7,22.4,0,2.8,5.4,SE,28,11:24,16.6,64,3,SSW,4,1032.0,20.2,61,7,ESE,11,1029.0
,2019-06-8,13.5,18.1,2.2,3.0,0.0,SW,19,02:42,15.8,83,7,WSW,4,1031.1,17.7,75,7,SW,2,1027.6
,2019-06-9,14.0,24.9,3.8,1.2,9.4,WSW,15,00:50,17.5,79,7,SW,6,1024.5,22.9,55,2,NE,6,1020.8
,2019-06-10,13.3,24.7,0.2,2.0,9.7,SSW,15,09:24,17.8,78,1,SW,6,1023.9,22.5,60,3,N,4,1019.6
,2019-06-11,13.2,25.9,0,8.0,9.5,E,20,14:51,18.3,72,1,SW,6,1023.9,24.7,40,1,E,11,1022.0
,2019-06-12,12.5,25.0,0,3.8,9.4,ENE,17,14:48,17.9,66,1,SW,4,1024.9,23.7,52,1,NE,7,1021.4
,2019-06-13,13.8,25.2,0,2.8,2.8,N,13,14:28,17.9,77,6,WSW,2,1022.2,23.1,61,7,NE,6,1017.5
,2019-06-14,13.2,27.5,0,3.6,9.9,W,17,11:55,19.0,71,1,SSW,2,1019.1,26.7,38,3,ENE,2,1015.7
,2019-06-15,15.2,25.9,0,1.2,7.8,ENE,15,15:13,20.1,76,1,SW,4,1019.7,24.2,58,1,NE,7,1016.1
,2019-06-16,15.3,24.0,0,2.6,4.1,SSW,17,15:20,17.9,92,7,SW,2,1020.0,21.7,70,7,E,2,1016.0
,2019-06-17,14.6,22.7,20.6,2.6,9.5,WNW,28,12:29,17.5,51,1,SW,6,1017.7,21.9,29,0,W,7,1014.6
,2019-06-18,9.6,23.6,0,5.0,9.9,W,17,10:40,15.4,57,0,SW,6,1018.6,22.9,34,1,SW,4,1015.2
,2019-06-19,10.6,24.2,0,3.2,9.5,ENE,17,18:28,16.5,56,1,SW,6,1019.2,22.6,44,1,ENE,4,1016.9
,2019-06-20,12.7,20.7,0,3.0,0.6,SW,22,09:01,17.0,61,7,SSW,6,1021.9,19.9,52,7,SE,4,1019.2
,2019-06-21,15.6,23.3,0,2.2,7.1,WNW,26,14:07,18.1,58,7,SW,6,1019.6,22.4,29,1,W,11,1016.4
,2019-06-22,9.6,21.4,0,6.0,9.9,SSE,20,13:04,14.5,48,1,SW,6,1022.7,21.0,24,1,SSW,6,1019.8
,2019-06-23,8.4,21.7,0,3.8,7.6,W,17,09:50,12.3,65,6,SW,4,1022.6,19.0,49,2,ESE,7,1019.3
,2019-06-24,10.9,20.4,0,3.4,9.2,S,28,11:58,15.0,60,1,SW,6,1023.7,18.7,49,5,S,9,1022.3
,2019-06-25,12.2,20.3,0,4.2,2.6,SE,28,12:57,15.7,78,6,SSW,6,1026.8,18.5,69,7,SSE,9,1025.0
,2019-06-26,13.9,17.7,0,1.8,0.0,SSW,17,10:46,15.3,91,7,SSW,4,1029.1,16.8,84,8,S,4,1026.5
,2019-06-27,13.2,22.7,4.8,1.2,8.6,ESE,31,14:46,17.2,77,7,SW,4,1030.3,20.2,62,3,ESE,11,1027.6
,2019-06-28,13.7,23.0,3.8,2.8,8.2,ESE,28,13:36,17.3,81,4,SSW,6,1030.7,20.3,59,5,SE,11,1027.1
,2019-06-29,13.4,23.5,1.2,2.2,7.3,E,30,13:41,16.7,81,1,SW,4,1026.1,22.0,63,2,E,7,1022.2
,2019-06-30,12.6,25.0,0.6,2.8,9.5,W,13,11:18,16.0,83,1,SW,4,1022.8,24.2,42,1,WNW,4,1018.9
