"Daily Weather Observations for Brisbane, Queensland for September 2019"
"Prepared at 13:01 UTC on Tuesday 11 August 2020   IDCJDW4019.201909"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-09-1,10.4,25.8,0,6.0,10.0,E,20,15:44,18.1,64,0,SW,6,1021.4,23.2,36,1,NE,9,1017.3
,2019-09-2,11.6,29.3,0,5.0,10.1,W,28,12:09,18.5,67,0,SW,4,1020.5,28.7,19,0,WNW,6,1014.3
,2019-09-3,10.5,27.3,0,5.0,10.8,ENE,22,14:57,20.3,51,1,WSW,2,1019.1,23.5,35,0,NE,13,1015.3
,2019-09-4,11.6,33.7,0,5.0,10.7,W,31,12:27,22.1,44,0, ,Calm,1016.8,33.0,9,1,WSW,9,1011.5
,2019-09-5,13.2,31.7,0,7.4,10.8,NNE,22,15:25,21.7,36,0,SW,4,1017.0,29.5,19,1,NNE,7,1012.1
,2019-09-6,11.9,34.8,0,6.8,10.5,NNW,37,15:36,22.4,59,1,NE,4,1014.2,34.4,7,0,NNW,11,1006.6
,2019-09-7,16.9,26.4,0,13.6,10.1,W,50,04:22,19.6,24,0,W,15,1015.7,25.8,13,0,W,15,1011.3
,2019-09-8,14.1,25.9,0,14.4,11.0,W,48,13:43,19.2,22,0,WSW,13,1015.2,25.0,13,0,W,13,1010.1
,2019-09-9,14.1,23.6,0,12.6,10.9,W,48,14:08,18.3,30,0,W,17,1012.3,22.6,10,0,W,22,1008.1
,2019-09-10,11.0,23.1,0,14.0,10.5,ENE,30,14:44,17.1,30,0,SW,7,1020.3,20.6,38,1,E,13,1019.6
,2019-09-11,11.6,23.0,0,6.4,8.5,ESE,26,16:40,18.9,45,1,S,6,1028.8,21.1,45,1,E,9,1026.4
,2019-09-12,10.5,25.1,0,,10.9,ENE,20,14:17,18.1,53,1,SW,6,1028.6,22.9,36,1,NNE,7,1022.5
,2019-09-13,11.0,30.5,0,,10.8,ESE,35,15:41,20.3,45,0,WSW,6,1021.1,28.3,13,0,E,13,1017.8
,2019-09-14,12.0,30.5,0,,10.6,ESE,28,19:07,20.9,55,1,SSW,6,1023.1,26.7,33,0,NE,9,1017.4
,2019-09-15,13.2,25.0,0,,10.5,NE,24,15:07,20.8,55,1,SE,4,1025.8,23.8,39,0,NNE,9,1022.2
,2019-09-16,12.0,26.2,0,,10.5,NNE,31,16:13,22.1,48,0,N,6,1023.1,23.6,56,1,NNE,13,1017.6
,2019-09-17,12.1,27.7,0,,8.6,ESE,33,18:20,21.6,54,2,ENE,4,1017.4,23.3,62,4,ENE,7,1013.1
,2019-09-18,15.1,27.2,3.8,,11.2,WNW,30,09:35,19.3,29,0,WNW,15,1020.4,25.9,10,0,SW,7,1017.4
,2019-09-19,12.8,25.7,0.2,,10.9,ENE,26,14:40,20.9,52,0,SSW,4,1024.5,22.7,58,1,NE,9,1021.7
,2019-09-20,14.5,26.9,0,,10.9,ENE,26,14:48,21.9,60,2,E,6,1026.0,24.2,55,1,ENE,11,1022.5
,2019-09-21,16.5,26.9,4.4,,10.0,NNE,30,16:57,21.5,74,2,NNE,2,1026.3,24.5,54,1,NNE,11,1022.9
,2019-09-22,17.9,26.8,0.2,,10.0,ENE,28,12:31,22.2,69,3,NNW,6,1026.0,25.4,44,1,NE,11,1022.6
,2019-09-23,16.4,29.7,0,,10.8,NE,24,15:30,23.8,52,1,NNE,9,1024.0,25.7,59,2,NE,9,1018.2
,2019-09-24,16.8,24.9,0,,9.6,ESE,30,09:35,22.4,49,3,SE,13,1025.6,22.7,47,6,E,11,1023.2
,2019-09-25,17.3,26.3,0,,7.4,E,22,12:46,21.3,60,7,WSW,2,1027.1,24.3,54,2,NNE,9,1023.7
,2019-09-26,19.8,25.8,0,,5.1,NNE,28,16:41,21.6,60,6,N,6,1027.1,22.3,51,6,NNE,9,1022.7
,2019-09-27,16.6,26.9,0,,9.6,NNE,30,16:53,22.5,57,2,NW,11,1023.2,24.7,55,2,NNE,11,1018.2
,2019-09-28,17.9,31.1,0,,8.8,W,24,11:40,25.4,46,1,N,6,1018.4,24.6,66,7,NNW,6,1013.6
,2019-09-29,15.4,26.1,0,,9.1,ENE,26,14:12,22.4,51,4,NNE,6,1020.2,24.1,55,1,ENE,13,1015.2
,2019-09-30,18.1,28.2,0.2,,9.2,ESE,30,19:54,23.0,62,5,SW,6,1020.5,26.6,53,2,ESE,13,1017.5
