"Daily Weather Observations for Brisbane, Queensland for December 2019"
"Prepared at 13:01 UTC on Saturday  8 August 2020   IDCJDW4019.201912"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-12-1,22.9,31.4,3.6,,5.6,NNE,33,13:11,28.3,60,3,ENE,9,1006.8,25.6,78,7,NE,9,1001.9
,2019-12-2,21.8,34.5,3.0,,13.0,W,56,13:36,29.7,26,2,W,20,999.9,34.0,15,1,W,20,997.9
,2019-12-3,20.3,35.2,0,,12.5,W,33,13:18,29.1,21,0,SSW,4,1008.9,34.5,12,0,W,11,1004.9
,2019-12-4,17.4,33.9,0,,13.0,NE,28,12:54,29.5,15,0,SW,7,1011.8,31.1,17,0,NNE,9,1008.8
,2019-12-5,18.7,37.7,0,,13.2,NNE,28,17:20,30.0,24,0,SSW,6,1011.9,34.0,14,0,NNE,13,1007.2
,2019-12-6,18.5,38.6,0,,12.9,NE,33,16:10,31.6,22,0,WNW,4,1010.1,36.4,14,0,NNE,9,1005.0
,2019-12-7,22.0,38.1,0,,11.9,ENE,33,15:48,32.2,37,0,ENE,2,1010.0,33.0,34,0,ENE,13,1007.7
,2019-12-8,22.9,32.6,0,,6.7,ESE,30,15:20,25.9,60,7,ESE,6,1017.3,30.1,48,1,E,15,1014.7
,2019-12-9,22.5,31.7,0,,11.8,E,30,13:18,29.4,55,2,SE,7,1020.7,30.7,51,5,ENE,11,1018.2
,2019-12-10,23.5,33.5,0,,11.9,NE,30,17:24,28.7,54,3,NW,7,1018.0,31.2,47,1,NNE,11,1013.3
,2019-12-11,23.1,34.4,0,,9.1,SSW,59,22:35,30.2,54,0,NNE,6,1013.6,31.8,45,2,NNE,13,1009.8
,2019-12-12,19.1,31.3,130.4,,10.8,NNE,35,19:53,27.4,69,2,ENE,7,1011.3,30.4,55,1,NNE,11,1008.8
,2019-12-13,22.9,30.6,0,,7.1,SE,50,16:09,27.3,64,6,NNE,6,1011.3,29.8,57,7,NNE,11,1008.3
,2019-12-14,20.4,30.7,26.6,,10.0,NNE,30,16:05,26.9,68,5,NE,4,1011.2,30.0,58,1,NNE,9,1006.8
,2019-12-15,23.9,31.9,0,,9.9,NNE,35,15:04,29.9,61,3,ENE,7,1010.1,30.3,60,6,NNE,15,1006.5
,2019-12-16,23.5,41.2,0,,11.8,ESE,46,17:52,31.1,53,1,E,4,1007.9,35.2,22,1,ESE,20,1005.0
,2019-12-17,20.9,29.1,0,,12.9,ESE,35,15:38,26.2,44,5,ESE,11,1017.1,27.4,45,1,E,19,1015.6
,2019-12-18,19.4,28.9,0,,11.8,ENE,33,15:18,25.3,53,2,ESE,9,1020.3,27.0,43,1,E,15,1017.8
,2019-12-19,18.7,29.6,0,,12.4,ENE,22,10:08,26.7,51,1,NNE,4,1019.2,28.5,46,0,NNE,7,1016.0
,2019-12-20,20.1,30.3,0,,11.5,NE,20,14:21,27.2,54,1,NNW,6,1017.4,28.3,54,7,NE,9,1015.2
,2019-12-21,20.2,31.2,0,,11.8,NE,28,15:54,27.4,56,4,N,4,1017.6,29.6,51,0,NNE,9,1013.5
,2019-12-22,21.9,30.1,0,,9.6,ENE,22,20:00,27.1,60,1,NE,2,1015.5,28.4,61,1,ENE,11,1014.0
,2019-12-23,22.5,30.8,0,,8.2,E,20,15:43,24.8,75,7,S,2,1017.6,30.2,54,4,NE,7,1013.5
,2019-12-24,24.4,30.4,0,,5.7,SSE,46,19:40,28.3,62,7,N,7,1013.2,29.2,59,4,NNE,11,1009.2
,2019-12-25,21.6,26.6,25.2,,2.7,E,33,11:21,24.8,77,7,SE,7,1013.1,25.7,68,7,E,9,1011.9
,2019-12-26,20.8,29.2,14.8,,11.5,ESE,35,15:15,25.5,64,5,ESE,9,1017.6,28.1,43,2,ESE,11,1015.8
,2019-12-27,20.0,27.5,1.0,,5.7,E,31,18:00,24.6,60,7,ESE,11,1019.0,26.4,50,7,ENE,15,1017.2
,2019-12-28,20.9,28.9,0,,6.6,E,31,12:05,25.5,57,7,E,7,1020.1,27.9,49,6,E,11,1017.8
,2019-12-29,20.3,29.2,0,,12.8,ENE,28,14:57,27.5,40,3,NNE,6,1020.1,27.9,47,2,NE,11,1017.2
,2019-12-30,20.7,30.1,0,,10.6,E,24,12:31,26.1,56,7,E,7,1018.4,29.0,46,4,ENE,11,1015.1
,2019-12-31,21.2,29.4,3.2,,8.8,ENE,26,16:11,23.1,82,7,NE,2,1016.0,27.6,58,1,ENE,15,1012.4
