"Daily Weather Observations for Brisbane, Queensland for August 2021"
"Prepared at 13:01 UTC on Saturday  4 December 2021   IDCJDW4019.202108"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-08-1,10.3,25.8,0,,9.9,,,,18.5,69,1, ,Calm,1017.5,24.7,58,0,NE,6,1012.4
,2021-08-2,14.1,24.6,,,8.3,ENE,24,16:16,20.8,77,3,SSE,4,1017.8,22.5,62,4,E,11,1016.0
,2021-08-3,16.3,25.2,0,,2.4,W,41,21:28,19.4,87,7,NNE,2,1017.5,22.1,73,7,NE,4,1013.8
,2021-08-4,13.1,20.2,0,,10.5,W,46,14:02,16.1,42,1,W,9,1018.5,19.7,30,1,W,20,1014.8
,2021-08-5,8.6,21.1,0,,10.3,WNW,31,15:27,14.0,46,0,WSW,9,1020.1,21.0,33,0,WSW,9,1016.7
,2021-08-6,9.5,22.5,0,,10.3,W,17,08:57,15.9,54,1,SW,7,1023.8,21.5,35,1,ESE,2,1020.5
,2021-08-7,9.2,23.2,0,,7.3,,,,13.3,75,6,SW,2,1026.5,22.7,37,1,ENE,4,1022.1
,2021-08-8,7.0,23.2,0,,9.7,ESE,33,15:18,15.1,57,0,SW,6,1027.6,21.6,51,1,SE,11,1024.7
,2021-08-9,14.1,21.1,1.4,,2.1,ESE,28,13:24,15.5,84,7,S,4,1029.9,19.2,52,4,E,11,1026.7
,2021-08-10,12.3,21.4,0,,4.3,E,24,11:29,16.0,71,7,SW,4,1030.1,20.6,51,6,ENE,9,1027.1
,2021-08-11,11.4,22.4,0.2,,7.1,ENE,22,14:12,15.2,79,7,WNW,6,1030.3,21.6,54,1,N,9,1026.4
,2021-08-12,12.4,23.9,0,,10.2,NE,22,14:46,17.8,75,1,SW,4,1028.1,22.7,57,1,NNE,9,1024.4
,2021-08-13,15.4,25.9,0.2,,9.2,E,19,15:57,19.9,72,1,WSW,6,1026.5,24.2,51,2,NNE,6,1022.4
,2021-08-14,15.2,25.1,1.8,,6.3,E,17,14:12,17.2,86,7,SSW,6,1027.6,23.7,51,1,ENE,9,1023.9
,2021-08-15,14.3,25.5,0,,9.5,NNE,19,17:04,17.7,83,1,SW,6,1027.1,22.1,57,3,NNE,7,1022.5
,2021-08-16,13.8,26.8,0,,9.7,W,28,13:26,19.6,69,1,SW,2,1023.3,25.4,38,6,W,9,1018.6
,2021-08-17,12.1,24.9,0,,10.5,ENE,20,16:21,18.3,36,0,SSW,7,1020.7,24.3,18,1,WNW,4,1017.2
,2021-08-18,12.8,19.2,0,,0.2,SE,24,12:21,15.5,73,7,SSW,4,1024.2,19.1,58,8,SE,4,1021.5
,2021-08-19,11.2,22.5,0,,9.6,E,22,14:30,16.6,67,1,SW,7,1025.3,21.2,53,3,ENE,9,1021.7
,2021-08-20,11.7,24.8,0.2,,10.6,NE,17,14:46,18.5,61,1,SW,6,1024.0,22.4,49,1,N,6,1019.6
,2021-08-21,12.0,26.4,0,,10.7,NNE,17,13:32,18.9,68,0,S,4,1023.0,24.8,48,1,NNE,7,1018.6
,2021-08-22,12.7,25.7,0,,10.4,NE,20,13:38,19.3,63,0,SSW,4,1023.9,24.1,50,1,NE,11,1019.9
,2021-08-23,13.7,24.9,0,,,NNE,28,17:01,19.1,76,1,SW,6,1021.5,23.3,52,1,NE,9,1016.4
,2021-08-24,13.8,21.0,4.2,,,W,56,13:25,13.8,85,7,W,17,1013.7,20.2,29,1,W,22,1010.8
,2021-08-25,10.0,20.8,0.4,,,WSW,35,12:15,14.7,46,0,WSW,13,1016.6,20.5,33,1,W,15,1013.4
,2021-08-26,9.6,21.9,,,10.3,,,,14.7,43,4,W,11,1018.9,21.6,19,1,W,9,1014.8
,2021-08-27,,23.4,,,11.2,,,,16.6,41,0,WSW,6,1019.9,22.9,20,1,WSW,13,1015.5
,2021-08-28,8.3,24.7,0,,11.0,NNE,19,15:56,16.0,45,1,SSW,4,1020.5,23.7,29,1,NNE,7,1014.8
,2021-08-29,10.4,24.7,0,,8.8,NNW,22,20:29,15.8,51,7,SSW,4,1018.2,24.2,52,1,NE,7,1012.4
,2021-08-30,10.4,28.0,0,,10.0,ENE,20,16:13,20.7,44,0,S,7,1019.5,24.5,33,7,ENE,9,1016.7
,2021-08-31,14.6,25.7,0,,5.3,NE,17,16:08,18.6,65,7,SW,4,1023.9,24.0,60,1,NE,9,1020.8
