"Daily Weather Observations for Brisbane, Queensland for September 2021"
"Prepared at 13:01 UTC on Friday  3 December 2021   IDCJDW4019.202109"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-09-1,16.9,26.8,0,,8.3,ENE,22,15:05,21.0,75,4,S,2,1027.4,25.0,53,1,ENE,11,1024.0
,2021-09-2,16.4,23.7,3.4,,10.2,ENE,35,12:41,21.1,61,2,E,9,1029.6,21.9,49,1,ESE,13,1026.5
,2021-09-3,15.2,24.5,0.2,,,NE,31,10:39,18.6,79,7,WSW,2,1027.0,22.6,54,7,ENE,11,1023.5
,2021-09-4,14.4,24.3,2.2,,,NNE,24,14:13,19.4,74,4,SW,4,1024.3,22.1,59,2,NE,11,1019.9
,2021-09-5,15.0,24.4,0,,3.0,W,35,20:28,19.2,74,7,WSW,4,1020.0,20.7,77,7,NE,2,1016.4
,2021-09-6,11.1,23.8,0.2,,9.9,WSW,24,00:01,15.7,48,6,SW,7,1024.5,23.4,24,2,WSW,6,1019.9
,2021-09-7,10.8,24.2,0,,11.0,S,30,08:38,18.1,34,0,SSW,11,1028.3,22.9,23,0,SSE,6,1024.5
,2021-09-8,9.8,23.9,0,,,E,22,14:05,17.4,53,1,SW,6,1030.7,23.3,43,2,E,7,1027.5
,2021-09-9,12.3,25.0,0,,10.3,N,19,13:39,18.7,62,1,SSW,7,1031.0,23.0,43,1,NNE,9,1026.3
,2021-09-10,12.1,30.1,0,,10.7,WSW,19,12:50,19.9,59,0,S,4,1025.1,29.2,23,0,N,6,1019.7
,2021-09-11,12.3,25.9,0,,11.0,NNE,24,16:08,20.2,54,0,WSW,4,1021.7,24.5,44,1,NNE,9,1017.7
,2021-09-12,12.0,26.1,0,,10.7,NNE,33,16:10,21.3,54,1,NW,7,1018.0,24.2,53,1,NNE,13,1013.0
,2021-09-13,14.7,28.9,0,,,NE,24,16:28,23.8,55,1,WNW,6,1013.9,24.1,73,7,NNE,7,1009.9
,2021-09-14,14.2,22.5,0.8,,,W,44,12:13,18.4,35,1,SW,9,1017.2,21.4,19,2,W,22,1014.2
,2021-09-15,10.6,24.9,0,,11.1,S,24,09:04,17.8,40,0,S,11,1020.5,23.8,23,1,SE,9,1016.7
,2021-09-16,11.4,24.1,0,,10.4,ENE,28,16:16,18.4,48,1,SSW,6,1022.3,21.8,46,1,ENE,11,1018.3
,2021-09-17,12.0,24.8,0,,11.0,ENE,24,14:10,19.1,55,1,SW,6,1024.1,22.7,52,1,NNE,9,1020.5
,2021-09-18,13.5,25.2,0,,8.9,NE,30,15:20,21.4,59,1,W,4,1024.7,23.3,52,4,NE,11,1020.1
,2021-09-19,15.5,28.2,0,,10.9,ENE,24,13:42,23.4,51,1,S,6,1023.1,26.4,35,1,ENE,11,1019.3
,2021-09-20,15.2,26.9,0,,10.8,NE,30,14:34,22.7,64,1,NNW,2,1020.9,25.3,60,1,NNE,13,1013.5
,2021-09-21,16.9,24.7,0,,11.1,W,54,13:26,22.3,36,1,WSW,13,1011.7,20.3,20,2,WSW,26,1012.4
,2021-09-22,,,0,,11.3,,,,16.7,35,1,WSW,15,1021.3,,,1,,,
,2021-09-23,,,,,11.4,,,,,,1,,,,23.8,32,0,NE,9,1019.0
,2021-09-24,,27.0,,,11.2,NE,28,16:28,20.7,57,0,SW,4,1020.8,24.7,50,1,NNE,11,1014.9
,2021-09-25,12.1,28.8,0,,10.8,NE,22,14:19,22.4,49,6,N,2,1017.4,25.1,47,4,NNE,7,1013.1
,2021-09-26,16.6,26.0,0,,4.2,ESE,39,18:58,22.5,59,7,SE,11,1019.2,22.6,57,7,ESE,13,1017.2
,2021-09-27,15.2,19.8,0.4,,0.5,SSE,24,09:47,18.7,68,8,SE,7,1023.9,19.3,53,7,E,13,1020.7
,2021-09-28,13.9,21.8,0,,2.0,ESE,24,11:51,19.5,49,8,E,11,1023.7,20.6,48,8,ENE,11,1020.5
,2021-09-29,13.0,23.6,0.2,,1.0,NNE,31,12:42,20.7,61,8,NE,7,1022.7,21.4,55,8,NNE,13,1019.4
,2021-09-30,17.1,26.7,3.4,,7.0,NNE,28,15:47,20.5,75,7,WNW,9,1018.9,22.9,73,6,NE,9,1012.9
