"Daily Weather Observations for Brisbane, Queensland for January 2022"
"Prepared at 13:01 UTC on Sunday 11 December 2022   IDCJDW4019.202201"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-01-1,20.9,26.6,,,0.3,ENE,20,14:59,22.7,85,8,SSE,6,1012.0,23.1,75,8,ESE,7,1010.1
,2022-01-2,19.5,27.7,,,7.8,SE,28,12:25,26.2,58,7,S,11,1007.9,26.7,57,7,S,7,1005.1
,2022-01-3,20.5,30.2,0,,10.1,S,43,11:41,26.4,53,5,SSW,15,1002.8,29.2,47,7,S,19,1001.2
,2022-01-4,22.9,31.8,0,,8.6,SSW,35,10:48,28.1,55,7,SSW,13,1002.1,31.1,48,6,S,15,1001.5
,2022-01-5,23.4,30.3,0.2,,9.3,SE,31,10:13,27.9,64,6,SE,13,1005.1,29.4,63,4,ESE,13,1004.0
,2022-01-6,23.2,30.0,3.8,,5.0,E,35,11:19,28.0,69,7,ESE,9,1009.5,27.8,65,7,E,15,1009.1
,2022-01-7,24.8,28.8,0,,0.6,ENE,43,09:34,27.1,76,8,E,17,1012.0,25.2,86,8,E,11,1010.9
,2022-01-8,23.7,27.6,9.4,,0.0,ENE,22,13:07,25.0,87,8,ENE,6,1012.2,26.6,77,8,ENE,7,1010.7
,2022-01-9,23.5,30.3,0.6,,7.4,ENE,24,11:52,26.1,79,7,E,2,1014.0,28.4,63,3,NE,7,1012.5
,2022-01-10,21.5,30.4,,,12.9,ENE,28,13:29,27.9,63,2,ESE,9,1017.8,29.1,51,1,E,13,1016.6
,2022-01-11,22.6,29.8,0.2,,11.5,E,33,12:43,27.9,55,7,E,13,1018.2,28.8,53,1,E,13,1016.2
,2022-01-12,19.4,29.7,0,,9.5,ENE,31,14:38,24.8,70,7,WSW,6,1017.3,28.4,49,1,E,15,1014.1
,2022-01-13,20.4,29.8,0.2,,11.0,E,30,16:14,27.1,55,5,ESE,9,1015.8,29.4,47,1,ESE,13,1012.7
,2022-01-14,19.8,29.6,0,,10.9,E,28,13:31,26.0,63,6,SSW,4,1012.4,28.5,54,5,NE,11,1009.2
,2022-01-15,19.9,30.7,0,,13.0,NNE,26,18:23,27.3,57,2,N,2,1009.7,30.0,53,1,ENE,11,1007.3
,2022-01-16,21.2,31.4,4.2,,9.1,SSW,35,02:18,25.7,73,7,SW,4,1009.0,30.4,56,5,NE,9,1006.2
,2022-01-17,23.5,32.4,,,9.6,ENE,26,14:58,29.6,56,1,NE,6,1010.8,30.6,56,6,ENE,11,1008.9
,2022-01-18,24.0,31.5,0,,11.5,ENE,26,14:20,28.0,62,7,ENE,6,1012.3,29.8,57,7,NE,11,1009.4
,2022-01-19,22.7,32.4,0,,10.2,,,,27.1,73,6, ,Calm,1012.4,30.4,52,3,ENE,13,1010.2
,2022-01-20,21.7,26.7,,,0.0,SE,30,14:50,24.5,80,8,SE,11,1016.0,23.4,84,8,SE,11,1016.5
,2022-01-21,21.0,28.0,19.2,,10.2,SE,44,13:59,24.9,58,7,SE,19,1021.1,26.5,50,6,SE,15,1019.8
,2022-01-22,19.3,27.7,1.6,,5.0,E,35,13:21,23.2,80,7,SSW,6,1018.2,24.9,61,7,SE,9,1015.8
,2022-01-23,19.3,28.3,2.0,,10.2,ESE,28,15:28,25.0,60,5,SE,9,1014.4,27.2,55,5,E,13,1011.4
,2022-01-24,19.4,29.8,0,,10.4,ENE,22,15:36,25.7,60,7,WSW,6,1012.5,27.5,58,7,ENE,11,1008.7
,2022-01-25,21.8,30.5,0,,6.7,E,17,16:40,27.2,57,5,SSW,4,1011.4,28.0,60,7,NE,7,1008.5
,2022-01-26,23.2,26.6,2.0,,0.0,E,19,11:47,24.8,88,8,SE,4,1012.0,23.8,89,8,E,7,1010.8
,2022-01-27,22.1,28.4,15.2,,2.6,SE,22,15:32,26.2,62,7,S,6,1014.8,26.6,57,8,ESE,11,1012.9
,2022-01-28,21.5,30.1,3.0,,10.6,E,37,14:20,24.6,86,7,SE,4,1015.4,28.2,52,3,E,17,1013.3
,2022-01-29,21.4,31.2,0.4,,9.2,SE,33,12:29,27.1,66,4,SE,7,1014.9,28.9,56,5,ESE,15,1011.8
,2022-01-30,21.1,31.6,0.2,,11.5,SE,31,14:06,27.7,64,5,SE,9,1012.3,29.4,57,7,ESE,13,1009.8
,2022-01-31,22.6,32.0,0,,11.9,ENE,19,16:04,28.8,60,6,SW,6,1008.8,31.4,54,1,NE,7,1005.2
