"Daily Weather Observations for Brisbane, Queensland for May 2022"
"Prepared at 16:01 UTC on Wednesday  7 December 2022   IDCJDW4019.202205"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-05-1,18.7,23.1,0,,0.4,S,19,09:25,20.9,79,8,SSW,6,1019.5,19.9,86,8,SW,7,1017.4
,2022-05-2,17.6,25.4,0,,8.5,SSE,30,12:26,21.8,68,3,SSW,6,1021.4,23.6,53,1,ESE,11,1018.8
,2022-05-3,15.0,25.8,0.4,,9.1,ENE,17,15:04,20.6,64,2,SSW,6,1020.3,23.5,67,2,E,9,1017.1
,2022-05-4,16.0,26.3,0,,7.5,SSW,15,10:00,20.7,73,4,WSW,4,1018.3,25.0,63,5,E,6,1014.4
,2022-05-5,17.8,28.3,0,,9.0,NE,20,16:54,22.7,77,7,SW,2,1015.8,26.9,60,5,NNE,6,1012.5
,2022-05-6,20.0,26.9,11.0,,3.7,WSW,17,15:45,21.1,97,8, ,Calm,1017.0,26.0,64,7,WSW,9,1014.9
,2022-05-7,18.8,25.3,0.4,,1.2,SW,22,21:51,22.0,67,7,SW,6,1020.1,22.5,68,8,WSW,9,1018.6
,2022-05-8,15.7,23.0,2.6,,1.0,ESE,20,15:05,17.8,84,7,SW,6,1022.1,22.7,69,7,SE,11,1019.7
,2022-05-9,17.0,19.3,2.0,,0.0,SSE,24,13:36,17.4,89,8,SW,4,1024.4,17.3,91,8,S,7,1022.5
,2022-05-10,16.5,23.6,12.6,,0.0,ESE,39,21:26,19.2,84,8,WSW,6,1024.7,21.7,66,8,ESE,11,1021.5
,2022-05-11,18.7,22.3,11.2,,0.0,ENE,37,14:43,20.2,90,8,E,13,1022.3,19.6,93,8,ENE,13,1019.0
,2022-05-12,19.1,23.3,40.4,,0.3,ENE,43,20:03,20.7,92,8,E,9,1018.2,22.5,92,7,ENE,13,1014.8
,2022-05-13,20.6,24.2,67.6,,0.0,E,46,13:35,23.2,80,8,ENE,9,1016.1,22.6,91,8,ENE,7,1012.9
,2022-05-14,19.1,24.6,28.2,,0.0,SE,26,05:50,20.9,96,8,E,7,1015.2,21.9,96,8,E,9,1011.8
,2022-05-15,20.8,27.5,18.8,,4.8,ENE,22,00:27,24.4,97,7,E,9,1013.8,26.0,77,4,ENE,6,1010.4
,2022-05-16,21.8,27.6,0.8,,4.0,W,15,14:50,24.9,81,7,SW,4,1014.3,24.5,84,3,W,7,1012.3
,2022-05-17,20.9,27.6,27.0,,4.7,SE,26,17:04,22.7,89,8,SSE,4,1017.1,25.1,73,6,E,9,1015.3
,2022-05-18,20.0,26.3,0.4,,4.8,SSE,15,14:12,20.2,88,7,SSW,6,1019.8,25.6,65,4,E,2,1016.4
,2022-05-19,17.7,22.7,0.4,,2.6,SE,26,12:50,19.7,86,7, ,Calm,1022.3,22.0,67,7,E,9,1020.8
,2022-05-20,16.8,21.3,0.4,,0.0,SE,20,15:41,18.8,74,8,SW,2,1025.6,19.5,74,8,SSE,4,1024.5
,2022-05-21,16.0,18.2,15.6,,0.0,SE,20,09:41,16.6,96,8, ,Calm,1025.3,17.5,94,8,WSW,4,1022.4
,2022-05-22,16.1,20.4,23.2,,1.4,SSE,26,14:24,17.4,94,8,SSW,7,1021.5,20.1,78,7,SSE,6,1018.9
,2022-05-23,14.9,22.1,8.8,,2.8,ESE,33,12:03,18.7,81,7,SSW,6,1023.0,19.8,72,8,SE,7,1020.9
,2022-05-24,15.1,22.7,6.4,,7.2,SSE,30,14:50,18.0,89,7,SW,6,1022.6,20.8,69,2,SE,15,1020.2
,2022-05-25,15.5,23.1,0.4,,3.0,SE,24,12:31,19.6,73,3,SSW,4,1021.4,20.1,73,8,ESE,9,1017.9
,2022-05-26,15.1,24.0,0.4,,7.6,ESE,30,15:09,17.9,82,5,SW,4,1019.2,21.3,65,3,E,17,1016.6
,2022-05-27,14.8,24.6,0.2,,8.9,SSE,20,14:54,19.2,74,1,SW,6,1017.5,22.5,60,2,SE,11,1013.4
,2022-05-28,14.3,24.8,0,,9.8,W,15,12:54,19.0,75,1,SW,6,1013.8,24.5,51,2,W,6,1009.1
,2022-05-29,11.2,21.2,0,,9.8,W,39,14:17,19.4,59,1,WNW,7,1010.5,21.1,41,2,W,17,1006.8
,2022-05-30,11.5,20.7,0,,0.0,W,48,22:19,16.1,66,8, ,Calm,1009.5,19.1,65,8, ,Calm,1002.9
,2022-05-31,14.9,20.6,0.8,,9.3,W,61,11:18,16.9,47,1,W,24,1006.9,19.2,43,6,W,19,1005.8
