"Daily Weather Observations for Darwin, Northern Territory for June 2012"
"Prepared at 16:09 UTC on Thursday 16 August 2012   IDCJDW8014.201206"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2012-06-1,22.1,32.4,0,5.0,9.9,NNE,37,15:42,26.4,67,0,E,15,1012.2,32.2,43,4,NE,22,1008.6
,2012-06-2,23.1,31.5,0,4.6,9.0,ENE,33,11:44,26.1,69,3,E,19,1011.9,30.1,54,6,NW,17,1008.7
,2012-06-3,21.8,31.8,0,5.0,10.8,SE,39,10:15,24.9,60,2,SE,20,1012.2,31.3,35,2,SE,13,1008.3
,2012-06-4,19.8,29.6,0,7.2,10.6,ESE,52,10:10,23.1,,6,ESE,24,1013.8,28.4,26,6,ESE,20,1010.3
,2012-06-5,18.1,28.0,0,6.4,10.0,ESE,50,10:19,20.9,42,7,ESE,26,1014.9,27.3,23,7,SSE,22,1010.7
,2012-06-6,14.6,27.2,0,5.8,10.3,E,44,11:33,20.3,40,5,SE,19,1015.1,26.7,22,6,ENE,17,1011.1
,2012-06-7,14.7,28.2,0,6.0,10.9,E,43,11:43,20.2,51,0,E,22,1015.0,27.8,27,1,NE,13,1011.0
,2012-06-8,16.0,29.0,0,7.0,10.9,E,41,10:55,20.3,53,1,ESE,20,1015.6,28.1,26,1,E,13,1012.1
,2012-06-9,16.7,29.3,0,6.0,10.7,E,37,10:47,21.1,46,0,SE,17,1016.1,28.8,25,0,E,20,1012.2
,2012-06-10,16.7,29.7,0,5.2,10.9,ESE,39,11:14,20.4,55,0,SE,19,1015.6,28.7,22,0,SE,19,1011.6
,2012-06-11,16.2,28.7,0,6.4,11.0,SE,26,04:53,20.5,38,1,SE,17,1013.8,27.9,31,0,NW,17,1010.2
,2012-06-12,14.8,28.5,0,4.8,10.9,WNW,30,13:31,21.4,60,2,E,9,1015.1,26.8,55,2,NW,17,1011.0
,2012-06-13,17.0,28.4,0,4.2,10.4,NW,28,16:21,23.7,72,6,SSE,6,1015.8,27.3,53,5,NW,17,1011.9
,2012-06-14,18.1,28.5,0,4.4,10.0,NW,26,13:08,23.7,76,5,ENE,13,1014.4,27.2,59,2,N,17,1011.5
,2012-06-15,18.4,30.1,0,4.0,10.8,N,31,15:38,23.0,82,1,SSE,7,1014.0,28.3,53,1,NNW,19,1010.0
,2012-06-16,19.9,30.9,0,4.0,10.6,E,39,13:02,23.9,83,2,ESE,15,1015.2,29.9,46,1,ENE,24,1011.3
,2012-06-17,18.8,31.2,0,5.8,10.9,E,56,12:28,23.8,87,2,SE,9,1018.2,30.7,28,2,E,28,1013.9
,2012-06-18,19.2,31.1,0,7.6,10.9,ESE,50,12:05,24.0,40,3,E,28,1017.4,30.4,30,5,ESE,31,1013.8
,2012-06-19,18.3,31.0,0,8.0,10.7,E,52,10:39,22.2,45,0,SE,20,1016.4,30.4,25,0,ESE,19,1011.9
,2012-06-20,18.2,29.8,0,6.4,10.8,ESE,43,10:14,21.6,42,0,ESE,19,1015.5,29.2,23,0,SSE,13,1012.4
,2012-06-21,16.0,30.2,0,5.6,10.7,N,28,14:04,21.1,61,0,SSE,15,1016.0,29.1,32,0,NNW,15,1011.7
,2012-06-22,16.3,31.4,0,5.0,10.0,ESE,35,12:51,20.9,65,2,SE,11,1015.0,30.4,16,3,WNW,13,1012.0
,2012-06-23,16.4,28.7,0,6.0,10.8,ESE,48,10:23,20.4,35,2,SE,24,1016.5,28.0,17,2,ESE,24,1013.8
,2012-06-24,14.7,26.3,0,9.2,10.7,SE,48,09:02,17.6,28,1,SE,33,1019.3,25.1,16,2,SE,19,1015.1
,2012-06-25,14.5,27.9,0,7.8,10.9,SE,48,09:47,17.7,29,0,SE,28,1017.8,27.3,24,0,SE,15,1013.6
,2012-06-26,16.7,29.3,0,6.6,10.8,SE,33,09:34,18.7,36,0,SE,22,1017.8,28.6,23,1,SW,6,1012.7
,2012-06-27,17.3,30.4,0,5.8,10.7,SE,39,11:02,19.7,42,0,SE,22,1016.1,29.1,26,0,SE,13,1011.5
,2012-06-28,17.5,31.1,0,5.0,10.5,SE,30,09:58,20.3,55,3,SSE,19,1014.6,29.9,36,1,WNW,20,1010.8
,2012-06-29,16.4,31.3,0,5.8,10.9,SE,28,10:14,21.8,53,1,SSE,17,1013.0,30.5,27,1,NW,15,1009.1
,2012-06-30,15.9,30.1,0,5.6,10.8,ESE,26,10:17,22.2,78,0,S,9,1013.4,28.9,35,0,NNW,17,1009.8
