"Daily Weather Observations for Darwin, Northern Territory for August 2012"
"Prepared at 07:01 UTC on Friday 24 August 2012   IDCJDW8014.201208"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2012-08-1,16.3,30.3,0,7.2,11.2,E,52,10:43,20.9,28,1,E,28,1017.1,29.3,18,0,NE,17,1012.5
,2012-08-2,16.3,29.8,0,7.4,11.2,ESE,33,11:56,22.3,45,1,E,15,1016.8,28.9,33,0,NW,20,1012.7
,2012-08-3,17.3,31.2,0,5.6,11.1,ENE,33,09:52,23.6,68,1,E,17,1016.1,29.7,38,1,NW,19,1012.3
,2012-08-4,16.6,29.9,0,5.4,11.0,NW,31,15:00,24.2,74,1,E,9,1016.1,28.8,44,2,NW,20,1012.0
,2012-08-5,17.3,30.4,0,5.4,10.6,ENE,35,12:25,24.5,71,2,E,13,1016.7,27.4,59,1,NNW,22,1012.7
,2012-08-6,17.3,32.3,0,5.2,11.0,NE,33,12:37,23.9,77,1,ENE,9,1017.5,30.8,33,1,NW,20,1013.3
,2012-08-7,15.4,31.0,0,6.6,11.1,E,54,11:28,22.7,44,2,ESE,22,1016.8,30.3,13,0,E,24,1013.2
,2012-08-8,17.8,31.4,0,7.0,11.1,E,48,12:06,23.7,57,1,E,20,1017.3,30.7,15,0,ENE,20,1013.0
,2012-08-9,18.4,32.2,0,7.4,11.1,E,35,12:34,24.2,66,0,E,13,1017.4,29.4,42,1,N,22,1012.5
,2012-08-10,17.3,32.8,0,7.6,10.9,E,52,12:41,24.1,74,0,E,13,1017.9,32.0,17,0,SE,24,1012.9
,2012-08-11,17.7,31.6,0,7.4,11.1,ESE,48,10:19,21.7,42,0,SE,28,1018.5,30.4,10,0,SE,30,1013.7
,2012-08-12,16.0,28.9,0,10.0,11.2,ESE,50,10:18,19.3,19,0,SE,22,1018.5,27.7,8,0,SSE,24,1013.7
,2012-08-13,13.1,29.6,0,7.8,11.0,ESE,48,10:45,20.9,24,5,ESE,26,1017.7,28.4,11,2,SE,15,1013.2
,2012-08-14,14.5,30.5,0,7.0,11.2,E,41,13:00,21.3,50,1,E,24,1017.1,29.5,15,2,ENE,13,1013.5
,2012-08-15,15.3,29.2,0,6.8,11.1,E,39,09:48,22.9,57,1,ENE,26,1017.4,27.3,49,2,NNW,24,1013.5
,2012-08-16,17.6,29.3,0,6.0,11.1,E,33,06:55,23.3,56,2,E,19,1016.3,28.3,41,4,NNW,20,1011.4
,2012-08-17,16.4,29.5,0,6.0,10.8,NNW,31,12:18,23.7,79,5,NE,11,1014.9,28.1,54,2,NNW,19,1010.5
,2012-08-18,17.1,30.8,0,4.6,11.1,ESE,31,11:48,25.1,59,0,NNE,9,1015.7,28.3,51,1,NNW,20,1011.1
,2012-08-19,17.8,31.0,0,6.2,10.7,ENE,33,10:59,24.9,68,1,SSE,7,1015.1,30.0,40,1,N,20,1011.8
,2012-08-20,18.0,32.9,0,6.0,9.5,E,39,14:05,21.1,98,8,SSE,11,1015.5,29.7,32,7,NNW,20,1011.7
,2012-08-21,17.3,31.3,0,6.8,8.4,E,30,11:08,22.5,87,7,S,9,1014.5,29.0,41,7,NNW,22,1010.4
,2012-08-22,17.6,32.1,0,5.4,10.8,WNW,33,15:41,23.6,84,7,SSW,9,1014.8,30.3,44,7,NW,24,1010.1
,2012-08-23,19.0,31.9,0,5.8,10.1,N,31,15:16,21.8,93,6,ESE,9,1014.3,30.5,34,3,NNW,24,1010.6
,2012-08-24,20.7,,0,6.6,,,,,27.3,65,1,E,9,1014.7,32.3,44,2,N,26,1010.6
