"Daily Weather Observations for Darwin, Northern Territory for October 2012"
"Prepared at 13:10 UTC on Saturday 10 August 2013   IDCJDW8014.201210"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2012-10-1,22.6,31.3,3.2,3.8,5.2,W,30,13:13,27.6,69,5,ESE,15,1016.9,29.2,66,7,NW,20,1012.9
,2012-10-2,23.0,34.2,0,3.6,10.6,ESE,39,12:56,27.5,72,2,SE,11,1016.7,31.3,49,1,NNW,22,1011.3
,2012-10-3,22.7,35.1,0,7.4,10.8,NW,31,13:16,28.2,62,2,ENE,9,1014.7,31.7,51,2,N,26,1010.0
,2012-10-4,24.4,32.9,0.4,7.6,10.4,N,39,16:31,28.0,71,3,SSE,9,1013.8,31.0,56,1,NW,20,1009.5
,2012-10-5,24.6,33.9,0,8.4,10.5,N,37,16:22,29.2,64,5,ENE,17,1014.2,32.2,52,5,NNW,22,1010.1
,2012-10-6,25.5,31.9,0,7.2,6.3,WNW,31,17:08,28.1,73,7,NNE,15,1014.1,29.3,67,6,NNW,19,1010.0
,2012-10-7,22.7,32.6,0.6,4.6,9.8,NE,33,01:54,27.9,66,6,NNE,15,1013.6,31.3,47,4,NNW,24,1009.0
,2012-10-8,24.3,32.9,0,7.0,8.8,NNW,35,13:29,29.2,61,1,NE,13,1012.1,29.7,59,6,NW,19,1007.9
,2012-10-9,24.3,34.2,0,7.4,10.5,N,33,15:46,29.6,63,3,NNE,11,1011.1,32.6,47,5,N,15,1006.9
,2012-10-10,24.6,35.1,0,7.6,10.9,NNW,30,12:57,30.5,63,6,NNW,11,1011.4,34.0,38,4,NNW,17,1007.7
,2012-10-11,25.6,33.9,0,7.2,11.4,WNW,35,14:49,29.5,71,3,SSW,15,1011.8,33.0,52,2,NW,28,1008.7
,2012-10-12,25.3,34.7,0,9.2,9.2,E,44,10:50,28.5,66,7,SE,26,1014.5,33.6,33,3,E,22,1011.2
,2012-10-13,23.5,36.6,0,9.0,11.1,NNE,41,15:01,29.1,64,2,ESE,13,1014.8,34.3,28,1,NNE,28,1009.9
,2012-10-14,23.4,36.2,0,9.6,11.0,NNW,37,13:49,29.5,55,5,S,9,1015.3,32.6,31,6,N,20,1011.1
,2012-10-15,24.3,34.4,0,8.0,11.2,NW,37,13:31,28.6,68,3,NE,11,1015.0,33.6,46,1,N,26,1011.7
,2012-10-16,24.5,33.6,0,7.6,9.4,N,35,14:22,29.4,64,2,SSE,13,1014.9,32.6,52,4,NNW,24,1011.0
,2012-10-17,26.2,34.8,0,7.0,10.3,NW,37,13:25,30.0,59,4,NE,20,1014.3,33.8,43,2,N,24,1009.5
,2012-10-18,25.4,31.3,0.6,6.8,3.8,SW,41,15:51,28.6,76,6,N,11,1013.6,30.7,62,8,WNW,26,1010.2
,2012-10-19,24.5,33.2,1.2,4.6,10.0,NNW,33,15:23,28.7,67,3,NNE,17,1013.4,32.0,43,3,N,22,1008.8
,2012-10-20,23.3,33.6,0,6.6,10.6,NNW,35,16:16,29.9,60,1,NNW,13,1012.3,32.9,32,1,NNW,22,1008.4
,2012-10-21,24.8,33.3,0,7.8,10.5,NW,41,14:44,29.5,58,2,ENE,9,1012.0,31.7,50,1,NW,22,1007.2
,2012-10-22,24.2,33.4,0.6,7.0,7.8,NW,33,18:33,29.9,63,5,NE,11,1011.2,32.2,49,2,NNW,17,1006.7
,2012-10-23,24.2,35.2,0.6,5.2,11.5,NNE,35,15:57,28.6,67,1,S,7,1010.6,33.6,40,1,NNW,20,1006.2
,2012-10-24,23.5,35.3,0.4,7.6,11.3,NNE,41,14:53,29.6,69,4,NE,15,1010.5,34.3,41,2,NNE,26,1005.7
,2012-10-25,25.4,33.6,0,8.8,8.2,ESE,30,13:54,29.4,66,6,E,11,1011.3,32.5,51,7,N,11,1006.9
,2012-10-26,24.7,34.3,0.2,5.8,10.0,NNW,35,13:51,30.7,61,7,NE,13,1011.1,33.9,46,3,NNW,20,1007.0
,2012-10-27,25.2,34.1,0,7.6,10.2,NW,37,15:34,29.9,72,5,WSW,4,1010.5,32.1,61,3,NW,22,1006.5
,2012-10-28,22.9,32.8,5.8,7.4,4.4,N,57,06:10,23.4,96,8,N,13,1012.1,32.0,61,5,NNW,9,1007.4
,2012-10-29,23.3,34.2,3.2,5.0,10.2,ENE,35,04:51,29.9,60,3,NE,6,1011.1,32.0,56,2,NNW,19,1007.0
,2012-10-30,25.5,34.1,0,6.8,10.5,NNW,30,12:18,29.8,67,5,NNW,11,1010.9,33.5,50,1,NNW,15,1007.0
,2012-10-31,26.0,34.4,0,6.0,10.7,NNE,39,16:16,30.3,61,2,NE,13,1011.5,33.1,55,2,N,24,1007.5
