"Daily Weather Observations for Darwin, Northern Territory for November 2012"
"Prepared at 13:09 UTC on Friday  9 August 2013   IDCJDW8014.201211"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2012-11-1,26.7,34.9,0,7.0,9.8,N,41,15:02,30.4,65,7,E,9,1012.5,34.4,47,2,N,24,1007.6
,2012-11-2,25.6,34.1,0.8,7.6,11.3,N,35,15:09,29.2,71,4,NNE,9,1011.2,33.1,55,3,NNW,17,1006.9
,2012-11-3,23.2,33.4,32.6,13.0,6.9,SE,48,03:36,26.0,88,7,ESE,9,1010.3,32.3,58,2,WNW,17,1007.0
,2012-11-4,25.4,33.3,0,4.0,9.1,S,52,16:46,29.8,76,6,S,13,1010.6,32.4,68,4,WNW,30,1006.2
,2012-11-5,25.8,32.9,0,7.6,6.7,N,31,20:17,30.7,70,5,N,9,1010.2,32.0,65,2,NNW,19,1006.7
,2012-11-6,25.2,34.5,3.0,4.0,9.2,NNE,39,14:38,29.6,66,7,N,11,1011.3,33.4,46,7,NNE,22,1007.9
,2012-11-7,26.2,33.3,0,6.0,5.9,N,54,23:12,30.2,66,4,ENE,13,1010.4,25.2,93,8,E,13,1006.8
,2012-11-8,24.9,32.8,20.2,6.2,8.7,WNW,37,14:34,29.5,72,4,NNE,13,1009.9,32.0,55,6,NW,20,1006.2
,2012-11-9,25.5,33.1,0,4.8,7.1,SSE,37,11:50,28.6,62,7,E,20,1011.1,31.5,58,7,WSW,13,1006.9
,2012-11-10,24.9,34.3,0,5.6,8.6,N,39,15:19,29.8,63,7,ENE,17,1012.1,33.2,46,3,NE,22,1007.9
,2012-11-11,25.0,33.9,0,6.8,7.4,N,31,14:51,29.4,72,7,SSW,7,1012.1,33.3,56,3,NNW,22,1007.1
,2012-11-12,22.8,33.4,11.8,6.4,8.3,NNE,44,03:03,28.3,76,4,E,7,1011.3,32.1,59,5,N,17,1007.1
,2012-11-13,23.7,33.8,3.0,4.6,8.1,NNE,41,00:10,28.1,79,7,ESE,13,1011.3,32.3,56,5,NNE,19,1008.5
,2012-11-14,25.6,32.9,0,6.0,9.7,WNW,33,21:35,30.1,70,7,ENE,9,1011.4,32.1,62,7,NNW,20,1008.1
,2012-11-15,24.9,33.4,2.2,6.0,9.9,NNW,31,23:31,29.7,68,2,NNE,9,1012.0,31.0,64,1,N,22,1008.7
,2012-11-16,27.1,33.2,0,6.4,10.1,SW,37,17:52,30.6,64,4,NNE,11,1011.8,32.4,48,5,WNW,22,1008.0
,2012-11-17,26.3,33.1,0.5,6.6,8.7,E,56,16:15,30.1,72,6,NW,20,1010.7,32.8,59,3,WNW,26,1006.8
,2012-11-18,24.3,32.0,1.0,5.6,1.8,SSE,26,05:03,27.8,68,7,E,9,1010.4,31.0,64,7,WNW,9,1007.7
,2012-11-19,25.7,33.3,0,4.0,8.3,WNW,31,14:36,30.0,73,6,WNW,13,1010.5,32.6,57,4,NW,19,1007.1
,2012-11-20,24.6,34.5,0,6.2,11.7,WNW,30,12:44,30.4,62,3,N,11,1011.3,34.3,40,2,WNW,17,1008.0
,2012-11-21,26.1,34.0,0,7.2,11.1,WNW,37,15:00,31.0,64,6,W,13,1010.2,33.2,56,2,WNW,28,1006.9
,2012-11-22,27.2,34.6,0,8.0,11.2,WNW,41,15:52,31.0,68,6,WNW,19,1010.4,33.3,59,3,WNW,31,1006.8
,2012-11-23,27.9,32.4,0,8.4,2.2,NW,31,01:33,28.3,80,7,SSE,15,1012.3,32.3,52,7,SE,11,1008.9
,2012-11-24,25.5,34.1,0,5.0,6.2,SE,52,13:53,30.9,68,4,NE,13,1011.6,27.1,76,7,SSE,9,1008.6
,2012-11-25,24.4,35.7,0.4,4.8,11.7,N,39,15:04,30.7,67,6,E,9,1012.2,33.9,44,6,N,31,1009.3
,2012-11-26,25.0,35.4,0,7.4,11.7,N,39,16:20,31.4,57,2,NNE,9,1012.3,34.3,42,2,N,20,1008.1
,2012-11-27,26.5,35.9,0,8.0,10.3,N,35,12:08,31.4,65,6,E,6,1010.3,35.1,40,3,NNW,20,1007.3
,2012-11-28,27.4,35.0,0,7.8,6.5,WNW,31,17:17,29.9,69,6,NE,13,1011.0,33.7,48,7,NW,17,1007.8
,2012-11-29,24.8,33.5,3.6,7.4,4.7,E,43,05:50,27.3,84,7,ENE,9,1010.8,29.0,75,7,W,15,1007.6
,2012-11-30,24.5,34.9,0.2,7.0,9.2,N,35,11:36,30.1,71,6,NE,17,1010.7,33.4,53,6,NNW,22,1006.8
