"Daily Weather Observations for Darwin, Northern Territory for August 2013"
"Prepared at 13:09 UTC on Tuesday 12 August 2014   IDCJDW8014.201308"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2013-08-1,16.4,31.9,0,6.6,11.1,ESE,37,12:34,23.9,46,3,E,11,1013.7,30.4,28,1,NNW,20,1009.6
,2013-08-2,16.5,33.0,0,7.6,11.1,ESE,43,13:00,23.7,57,4,ESE,13,1015.5,31.9,17,1,ESE,22,1011.0
,2013-08-3,17.0,32.0,0,10.2,11.0,ESE,48,12:29,22.6,62,1,SSE,17,1016.1,30.7,19,0,ESE,19,1012.2
,2013-08-4,17.8,32.1,0,8.4,11.2,ESE,57,11:45,22.0,26,1,SE,17,1016.8,31.2,10,1,ESE,24,1011.6
,2013-08-5,17.3,31.2,0,9.0,11.1,E,52,11:18,23.8,26,1,E,22,1016.5,30.1,11,0,ESE,22,1012.1
,2013-08-6,18.6,32.1,0,8.4,11.0,E,41,10:56,23.7,45,0,SE,11,1016.1,31.7,11,0,ESE,17,1011.5
,2013-08-7,16.2,32.3,0,5.8,11.2,ESE,37,12:22,24.5,65,0,E,17,1015.6,29.3,35,0,NNW,28,1011.4
,2013-08-8,15.8,31.8,0,6.6,11.4,N,37,15:41,24.0,65,0,ESE,11,1015.7,27.9,40,0,NNW,24,1011.1
,2013-08-9,16.3,31.2,0,7.2,11.2,N,35,15:01,24.6,65,0,NE,9,1014.5,28.9,42,0,NW,19,1010.6
,2013-08-10,16.1,31.2,0,6.0,10.1,N,37,15:06,23.5,65,6,E,11,1014.2,27.1,50,4,NNW,22,1010.9
,2013-08-11,16.9,30.0,0,6.2,9.0,N,31,16:26,24.1,63,7,E,13,1014.8,28.4,47,7,NW,17,1010.8
,2013-08-12,18.1,30.3,0,5.2,10.5,NNW,35,13:45,23.3,75,7,ENE,15,1014.1,28.7,56,7,NNW,22,1010.5
,2013-08-13,19.7,30.5,0,4.8,10.9,WNW,31,12:35,25.5,72,3,ENE,11,1014.5,29.0,54,2,NNW,20,1010.8
,2013-08-14,20.5,30.3,0,5.4,10.5,W,30,11:40,25.9,73,2,E,7,1014.3,29.5,55,2,N,24,1010.7
,2013-08-15,20.4,31.0,0,5.8,10.9,WNW,31,12:49,26.5,69,1,NNE,6,1015.2,30.2,55,1,NNW,19,1010.8
,2013-08-16,21.2,32.6,0,6.2,10.9,NW,35,15:08,26.2,76,1,NNE,9,1014.9,30.0,58,2,NW,28,1010.3
,2013-08-17,21.2,31.7,0,6.8,11.1,NNW,33,12:46,26.0,75,1,NE,15,1013.9,30.1,55,2,N,17,1010.0
,2013-08-18,20.9,33.1,0,8.0,11.2,ENE,39,12:44,26.5,63,2,ENE,11,1014.8,30.3,51,1,NW,28,1011.4
,2013-08-19,20.8,34.3,0,6.4,11.3,E,37,11:45,26.2,65,0,SE,13,1014.4,29.9,50,1,NNW,22,1009.7
,2013-08-20,20.9,32.3,0,7.2,10.9,NNW,31,15:44,26.8,65,0,WSW,11,1013.3,30.9,52,1,NW,24,1009.8
,2013-08-21,21.1,33.2,0,6.4,11.3,NNE,37,16:28,26.7,68,1,NE,13,1013.1,31.2,51,1,NNW,17,1009.8
,2013-08-22,22.3,31.3,0,6.4,8.7,NW,30,15:32,27.2,72,5,NNE,2,1014.0,30.1,56,2,NNW,20,1010.3
,2013-08-23,21.1,31.5,2.6,5.2,2.1,E,37,04:45,23.4,87,7,SSE,9,1015.4,30.8,23,6,ENE,15,1012.2
,2013-08-24,18.5,33.2,0,4.8,11.3,E,39,11:09,24.9,44,1,ESE,20,1016.7,32.6,10,2,WNW,20,1011.9
,2013-08-25,17.1,33.0,0,8.0,11.5,ENE,35,11:32,24.4,52,1,SE,13,1016.9,30.2,31,1,NW,24,1012.2
,2013-08-26,21.2,33.1,0,7.2,10.7,N,41,15:11,25.7,67,1,ENE,17,1016.4,31.8,35,5,NNE,31,1011.4
,2013-08-27,22.7,34.1,0,7.4,11.1,E,39,09:51,26.8,58,6,ENE,20,1016.3,31.6,31,6,N,24,1012.0
,2013-08-28,20.7,32.4,0,8.4,11.2,SW,35,12:47,26.6,68,1,NE,17,1016.1,29.8,47,3,N,24,1011.2
,2013-08-29,21.1,32.5,0,7.0,11.1,N,39,15:31,26.9,67,1,ENE,15,1015.9,30.2,52,1,N,24,1010.7
,2013-08-30,23.2,32.2,0,6.4,10.8,NNW,33,14:18,27.2,70,2,NE,9,1015.9,30.7,51,3,N,24,1012.1
,2013-08-31,23.2,32.7,0,6.0,10.6,ENE,39,11:51,28.1,61,2,E,13,1015.3,31.1,44,2,NNW,22,1011.5
