"Daily Weather Observations for Darwin, Northern Territory for September 2013"
"Prepared at 13:09 UTC on Monday 11 August 2014   IDCJDW8014.201309"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2013-09-1,23.3,34.6,0,7.0,11.3,E,39,11:25,27.7,71,1,NE,13,1016.0,31.8,43,1,N,26,1011.5
,2013-09-2,19.3,33.2,0,7.4,11.3,ESE,54,10:52,26.9,61,0,ESE,17,1016.6,32.5,33,1,NNE,28,1011.6
,2013-09-3,21.5,33.5,0,9.0,11.1,E,54,10:03,26.4,45,1,ESE,22,1016.5,32.0,32,1,NNE,24,1011.7
,2013-09-4,21.8,32.9,0,9.4,11.1,NE,61,12:41,25.4,40,1,ESE,31,1015.9,31.4,30,2,NE,31,1011.8
,2013-09-5,21.6,33.2,0,10.2,11.1,ENE,57,09:55,25.6,47,1,ESE,28,1015.7,32.2,26,2,E,13,1011.2
,2013-09-6,22.1,31.9,0,9.2,11.1,ENE,50,13:10,25.3,43,1,E,31,1016.5,30.8,27,1,NE,33,1011.8
,2013-09-7,21.1,32.9,0,9.4,11.2,NE,52,15:15,25.5,39,0,E,28,1015.6,32.3,30,2,NE,31,1011.5
,2013-09-8,23.2,33.2,0,9.0,11.1,NE,44,13:29,26.7,48,1,E,26,1016.0,31.1,37,2,NNE,24,1010.9
,2013-09-9,23.1,32.8,0,8.0,10.5,NE,41,11:19,27.2,64,5,E,19,1015.2,31.2,41,3,NNE,26,1010.3
,2013-09-10,23.2,32.4,0.2,7.6,10.4,N,33,16:05,27.0,65,2,NE,13,1013.7,31.1,47,2,N,20,1009.7
,2013-09-11,22.2,31.9,0,8.4,10.3,N,35,15:24,28.0,58,6,SE,7,1014.0,31.5,48,6,N,24,1010.6
,2013-09-12,23.6,32.5,0,7.8,10.9,NW,31,13:39,27.8,65,5,S,11,1015.4,31.0,52,6,NW,22,1010.5
,2013-09-13,22.7,34.3,0,8.0,10.8,N,37,16:08,28.0,66,6,E,6,1014.5,33.7,37,2,NNW,22,1009.1
,2013-09-14,23.3,33.0,0,9.6,10.4,WNW,30,12:24,27.5,71,4,WSW,9,1012.6,31.9,50,1,NNW,19,1008.8
,2013-09-15,23.9,32.5,0,6.6,10.8,NW,31,13:43,28.2,69,2,NE,15,1013.1,30.8,52,1,NNW,17,1009.1
,2013-09-16,23.2,32.2,0,6.0,10.0,WNW,37,15:13,27.9,71,4,NE,15,1011.8,30.6,59,2,NW,26,1008.1
,2013-09-17,26.2,32.8,0,7.2,10.7,WNW,37,11:35,28.4,71,5,WSW,15,1011.6,31.7,58,1,WNW,30,1006.7
,2013-09-18,25.0,32.5,0,7.4,8.2,WNW,37,13:42,28.9,71,5,NNW,11,1010.5,31.0,58,6,WNW,24,1007.4
,2013-09-19,25.0,33.8,0,7.6,11.2,WNW,33,12:58,29.2,67,5,NNW,9,1010.8,32.9,38,4,WNW,20,1007.4
,2013-09-20,23.5,34.0,0,6.6,10.7,WNW,30,12:00,29.2,70,2,NE,11,1011.5,33.0,49,2,NNW,17,1007.6
,2013-09-21,23.9,34.4,0,6.4,8.7,NW,33,17:43,28.3,78,4,ENE,9,1012.1,32.7,40,5,NNW,20,1008.4
,2013-09-22,26.5,33.9,0,8.4,5.9,NW,30,14:49,28.2,74,7,W,13,1012.5,33.0,39,1,NW,20,1008.5
,2013-09-23,24.2,35.1,0,6.4,10.4,NW,31,16:10,30.0,59,1,WSW,11,1012.4,33.4,33,1,WNW,24,1008.2
,2013-09-24,23.4,34.9,0,8.8,10.7,WNW,31,12:46,31.4,26,3,NW,11,1012.9,33.9,29,3,NW,19,1009.1
,2013-09-25,24.3,35.1,0,8.8,11.2,NNE,35,15:50,29.0,64,5,NNE,22,1014.3,33.5,33,5,NNE,24,1010.2
,2013-09-26,22.7,33.5,0,8.2,11.0,WNW,37,17:27,29.6,49,1,NNW,11,1013.6,32.7,24,1,NW,17,1009.7
,2013-09-27,23.0,33.1,0,9.8,11.2,NW,35,13:00,29.0,62,2,NW,13,1012.7,31.7,42,2,WNW,24,1008.8
,2013-09-28,23.5,33.1,0,8.6,8.2,NNW,31,12:31,28.6,73,7,NNE,11,1011.9,31.7,46,5,N,20,1007.8
,2013-09-29,24.4,32.7,0,8.0,9.8,NNW,37,16:46,29.6,62,4,NE,13,1012.3,31.9,48,2,N,24,1007.4
,2013-09-30,23.9,33.8,0,6.8,11.0,N,39,15:51,28.4,66,6,NE,13,1012.4,33.0,36,1,NNW,28,1008.3
