"Daily Weather Observations for Darwin, Northern Territory for January 2014"
"Prepared at 16:09 UTC on Thursday  7 August 2014   IDCJDW8014.201401"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2014-01-1,25.7,33.3,1.0,5.4,10.2,WNW,31,15:22,28.9,80,7,SSE,6,1009.2,32.8,61,6,WNW,22,1006.3
,2014-01-2,26.7,33.7,0,7.6,12.1,WNW,30,14:01,30.4,74,2,WNW,13,1010.1,32.8,64,2,WNW,22,1006.9
,2014-01-3,26.9,34.1,0,6.4,12.2,NW,33,14:48,31.2,69,3,NW,19,1009.6,33.3,58,1,WNW,24,1006.9
,2014-01-4,27.0,33.4,0,7.8,9.3,W,37,10:22,30.1,73,7,WNW,22,1008.9,32.7,58,5,W,20,1005.7
,2014-01-5,25.2,33.9,0,6.4,7.9,ENE,56,20:13,29.5,63,7,NE,9,1008.3,33.6,62,7,WNW,24,1005.8
,2014-01-6,24.9,36.0,5.6,8.0,11.4,ENE,52,22:12,28.3,67,4,SE,13,1008.3,34.2,50,5,SSW,17,1005.6
,2014-01-7,26.2,36.1,0,7.6,11.5,WNW,43,16:12,31.2,75,3,W,17,1007.6,34.2,64,1,WNW,31,1004.3
,2014-01-8,28.0,34.8,0,7.4,11.8,WNW,39,14:36,31.0,73,3,WSW,17,1006.4,33.6,65,5,WNW,31,1003.1
,2014-01-9,28.6,34.8,0,7.8,10.5,WNW,41,16:07,30.9,76,6,W,15,1006.7,34.0,61,5,WNW,31,1003.9
,2014-01-10,22.9,32.8,22.8,12.0,3.3,SE,87,22:36,28.3,82,7,WNW,17,1008.1,32.0,65,7,W,17,1005.5
,2014-01-11,22.6,32.9,12.2,7.0,5.0,SE,48,23:23,27.2,84,7,WSW,13,1009.6,32.0,56,7,WNW,19,1005.3
,2014-01-12,24.8,32.9,8.0,4.4,6.6,SE,52,19:32,27.6,77,7,SSE,19,1006.6,29.1,75,7,N,15,1002.5
,2014-01-13,23.8,29.2,15.8,4.4,0.0,SE,43,19:23,26.4,86,7,S,17,1003.0,28.4,80,8,SSW,15,999.1
,2014-01-14,24.4,28.0,30.0,1.0,0.0,WNW,72,23:43,24.8,96,7,S,20,998.8,25.3,96,7,WSW,28,996.0
,2014-01-15,24.6,30.6,64.2,3.0,1.1,NW,80,22:00,27.9,85,8,WNW,37,1000.2,30.1,71,7,NW,35,999.4
,2014-01-16,24.0,30.6,38.6,3.8,0.8,N,72,04:01,25.8,89,8,WNW,44,1006.0,29.1,77,8,NNW,30,1003.0
,2014-01-17,23.6,31.2,14.6,5.2,1.5,NW,70,18:23,26.6,87,7,N,24,1005.4,28.7,81,8,NW,20,1002.5
,2014-01-18,24.1,30.1,41.8,1.6,0.2,WNW,56,07:33,25.5,94,8,NNW,28,1006.0,25.2,94,8,W,24,1004.0
,2014-01-19,23.9,30.8,74.6,9.2,0.9,W,70,12:41,27.0,89,8,WNW,15,1005.6,27.2,77,8,W,30,1003.8
,2014-01-20,24.1,30.5,40.6,3.4,3.5,W,50,11:40,29.5,79,7,W,15,1006.2,29.3,80,8,W,19,1004.1
,2014-01-21,25.2,31.8,13.6,3.0,4.8,W,56,11:39,29.0,81,6,W,13,1006.5,28.1,67,7,WSW,30,1004.6
,2014-01-22,24.6,32.0,9.0,7.4,5.7,W,54,06:35,27.2,81,7,WSW,13,1007.0,31.9,58,7,WSW,19,1004.0
,2014-01-23,24.0,30.7,14.0,6.0,4.0,N,37,00:01,25.1,91,8,SSW,7,1007.4,30.2,70,7,WNW,26,1004.0
,2014-01-24,25.0,30.0,1.4,5.8,0.6,WSW,39,11:59,28.0,86,7,WNW,9,1006.2,26.7,82,8,W,13,1004.6
,2014-01-25,23.5,31.6,33.0,2.0,8.8,WNW,37,15:34,29.2,76,7,WNW,15,1006.8,31.1,64,6,WNW,26,1004.7
,2014-01-26,27.2,31.2,0,6.4,4.5,WNW,44,13:56,29.2,75,7,W,17,1007.6,28.7,76,7,W,24,1004.4
,2014-01-27,24.2,31.4,3.6,5.4,3.6,W,33,00:14,26.7,83,7,WSW,7,1005.7,30.3,67,7,WNW,22,1003.8
,2014-01-28,24.1,29.1,4.4,2.8,2.1,W,37,19:11,26.5,82,7,SW,11,1005.7,28.4,77,7,WNW,24,1002.9
,2014-01-29,23.8,28.5,82.2,,0.1,WNW,59,04:58,24.9,96,7,SSW,11,1004.4,25.6,96,8,SW,15,1001.9
,2014-01-30,24.1,28.4,42.0,4.2,0.0,WNW,63,18:05,25.7,91,7,WNW,28,1005.3,26.2,94,8,NW,31,1002.5
,2014-01-31,24.3,28.1,35.6,3.6,0.0,NW,80,18:58,25.4,93,8,WNW,13,1003.8,26.8,85,7,NW,31,1001.9
