"Daily Weather Observations for Darwin, Northern Territory for April 2014"
"Prepared at 13:09 UTC on Monday 18 August 2014   IDCJDW8014.201404"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2014-04-1,23.2,34.2,9.0,6.8,10.7,,,,28.3,85,6,S,13,1010.9,33.8,60,3,NW,17,1006.3
,2014-04-2,25.8,33.2,4.4,5.6,8.9,NNE,33,17:15,29.7,77,7,NE,7,1009.7,31.5,69,6,NNW,20,1006.5
,2014-04-3,25.1,33.1,0,5.2,10.9,NE,15,04:08,30.0,68,2,NE,6,1011.2,32.3,59,2,NNW,17,1007.7
,2014-04-4,25.8,32.6,0,6.8,9.9,NNW,31,13:39,29.3,80,5,NE,11,1011.3,31.3,65,6,N,17,1007.7
,2014-04-5,25.5,33.0,2.4,,8.4,NW,30,15:08,30.3,72,2,NNW,4,1011.4,31.0,68,5,NW,20,1007.6
,2014-04-6,25.1,32.7,6.6,4.8,10.1,ESE,65,23:32,29.7,71,4,ENE,7,1011.2,32.1,59,4,NW,19,1008.1
,2014-04-7,23.1,32.2,12.4,6.4,4.5,,,,28.4,81,7,E,15,1010.6,30.4,72,7,NNW,13,1007.8
,2014-04-8,26.3,31.7,0,3.4,2.7,NNW,35,12:35,27.3,90,7,SE,9,1009.9,26.5,85,7,NE,9,1007.4
,2014-04-9,24.5,31.9,11.6,2.0,3.5,N,31,15:00,25.4,90,7,ESE,7,1010.6,24.9,91,8,ENE,24,1008.1
,2014-04-10,24.4,32.2,17.6,4.0,6.3,WSW,35,13:49,28.1,84,7,SSE,6,1010.8,24.5,95,8,SE,20,1008.4
,2014-04-11,24.3,32.5,18.2,6.4,7.1,WNW,28,14:59,28.4,78,7,S,9,1009.3,32.5,62,7,WNW,22,1006.3
,2014-04-12,26.2,33.8,0,3.6,7.0,ESE,48,17:07,27.0,75,7,SE,19,1008.1,32.4,61,7,WNW,15,1004.9
,2014-04-13,24.7,34.2,2.2,5.4,6.2,ENE,59,14:54,29.1,79,7,WSW,13,1009.0,24.5,89,8,ESE,46,1007.0
,2014-04-14,24.2,32.9,11.8,6.0,4.8,ESE,30,12:49,28.4,79,5,E,13,1009.4,30.6,66,7,NW,15,1007.1
,2014-04-15,25.9,33.2,0,3.4,6.8,ESE,33,11:07,26.9,80,7,ESE,11,1011.2,32.0,43,4,E,19,1008.0
,2014-04-16,24.1,34.0,0,4.8,11.2,E,30,12:50,28.2,80,4,SE,7,1011.4,32.9,38,6,E,13,1007.7
,2014-04-17,24.3,32.3,0,5.2,5.2,SE,46,14:27,27.9,61,6,SE,11,1010.7,24.6,96,7,SSE,9,1008.5
,2014-04-18,23.4,32.5,33.2,8.4,6.2,E,46,04:15,27.8,77,7,E,13,1011.4,31.3,61,7,NE,19,1008.2
,2014-04-19,23.6,33.1,3.8,5.0,11.0,SE,59,18:13,26.9,75,1,ESE,17,1011.3,32.6,48,2,ENE,22,1007.1
,2014-04-20,23.1,32.7,8.6,6.2,11.0,ESE,37,10:51,26.8,72,3,ESE,19,1010.6,32.1,46,6,E,22,1007.4
,2014-04-21,24.2,33.1,0,7.0,9.9,E,43,10:44,27.0,74,7,ESE,15,1010.6,32.5,43,6,ENE,24,1008.3
,2014-04-22,24.4,33.7,0,7.0,10.6,ESE,37,12:23,28.2,67,7,E,19,1011.3,33.0,43,7,SE,20,1006.7
,2014-04-23,24.2,34.1,0,7.0,10.1,S,35,12:41,27.9,67,7,SE,17,1009.6,33.3,46,7,SSE,19,1005.3
,2014-04-24,25.5,34.2,0,7.2,8.8,S,33,12:39,28.1,75,7,SSE,15,1009.4,33.7,42,7,S,15,1005.5
,2014-04-25,26.6,32.2,0,6.0,2.9,ESE,24,12:27,27.7,81,7,S,15,1009.4,31.1,61,7,NNW,13,1006.1
,2014-04-26,26.1,33.3,0,4.4,10.2,WNW,33,15:31,28.4,73,7,S,15,1009.9,32.9,51,7,WNW,28,1006.0
,2014-04-27,25.5,33.4,0,5.8,8.3,SE,31,00:00,27.6,81,6,SSE,13,1010.2,33.0,58,7,NNW,11,1006.5
,2014-04-28,24.6,30.2,35.2,6.6,3.7,SE,31,00:01,26.1,91,8,E,15,1012.0,29.7,71,7,E,15,1008.6
,2014-04-29,25.1,32.8,0,4.4,10.1,ENE,41,17:29,28.1,78,5,E,24,1011.3,32.6,57,5,NE,17,1008.3
,2014-04-30,25.5,33.9,0.2,4.8,10.9,E,30,10:29,28.8,79,4,ENE,17,1012.2,33.7,51,4,SSW,7,1008.9
