"Daily Weather Observations for Darwin, Northern Territory for May 2014"
"Prepared at 13:09 UTC on Sunday 17 August 2014   IDCJDW8014.201405"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2014-05-1,24.9,33.0,0,4.4,10.1,NNW,31,14:17,28.4,80,2,E,11,1013.5,30.7,67,4,NNW,20,1010.4
,2014-05-2,24.7,32.4,3.2,4.8,8.9,NNW,31,15:02,28.9,80,1,ENE,11,1013.4,31.5,64,4,N,22,1009.7
,2014-05-3,25.2,32.0,0,4.8,4.9,NNW,35,13:00,29.1,76,5,NNW,11,1012.4,26.8,82,7,SW,20,1009.7
,2014-05-4,24.3,30.5,0.2,3.4,8.2,E,41,14:46,25.7,88,7,E,22,1012.8,28.0,73,7,ENE,30,1010.2
,2014-05-5,23.2,31.2,0,6.0,10.7,E,50,11:54,26.0,63,3,E,31,1014.6,30.8,48,5,E,19,1011.8
,2014-05-6,22.3,30.6,0,6.2,11.2,E,41,09:58,24.9,63,3,E,30,1015.4,30.3,41,2,ENE,15,1011.0
,2014-05-7,19.8,31.5,0,6.0,11.1,E,28,08:48,24.6,51,0,E,20,1013.6,30.5,41,1,E,9,1010.2
,2014-05-8,22.8,32.7,0,6.6,11.1,E,41,11:28,25.9,63,1,SE,15,1013.1,32.0,30,1,ESE,19,1008.7
,2014-05-9,22.0,33.1,0,8.6,11.2,ENE,33,09:45,26.7,65,2,ENE,17,1012.5,32.1,36,1,NE,11,1009.2
,2014-05-10,21.4,32.8,0,4.8,10.5,E,28,12:30,25.3,78,2,ENE,9,1013.3,31.3,60,2,WNW,19,1009.6
,2014-05-11,22.3,33.0,0,6.0,9.0,NNE,33,15:44,27.2,79,2,SSE,11,1013.3,31.3,51,4,ENE,17,1010.8
,2014-05-12,23.9,33.6,0,4.4,10.4,ESE,37,12:51,27.8,76,2,SE,17,1014.3,33.3,38,4,E,17,1010.9
,2014-05-13,23.8,32.9,0,7.2,11.2,ESE,37,11:41,27.4,68,2,ESE,19,1013.5,32.5,40,2,ESE,24,1009.9
,2014-05-14,23.8,33.3,0,6.0,10.8,ENE,41,10:31,27.5,53,5,E,22,1012.3,32.7,35,7,ENE,19,1008.1
,2014-05-15,23.3,32.5,0,6.2,9.4,E,37,10:56,26.7,71,7,E,15,1012.7,31.5,46,7,ESE,19,1009.3
,2014-05-16,23.7,32.7,0,8.8,6.9,E,41,12:17,25.9,75,7,SSE,15,1013.0,32.1,47,3,ENE,17,1010.1
,2014-05-17,24.2,33.4,0,5.4,10.7,E,37,10:10,27.6,71,5,E,24,1013.0,32.6,44,6,E,20,1009.5
,2014-05-18,24.7,33.1,0,6.0,7.7,NE,43,09:42,28.1,67,2,ENE,24,1012.8,32.3,50,6,NNE,19,1009.9
,2014-05-19,23.8,31.2,2.8,5.4,5.1,E,37,04:41,26.3,75,7,E,24,1013.9,29.6,59,6,NE,20,1010.9
,2014-05-20,24.1,32.3,0,5.2,10.5,ESE,39,10:08,26.3,63,3,E,26,1013.9,31.6,39,1,E,22,1009.9
,2014-05-21,22.9,32.9,0,7.0,11.1,ENE,35,12:35,26.3,69,1,SE,15,1012.7,32.2,38,1,ENE,20,1009.3
,2014-05-22,23.9,32.9,0.2,5.2,10.8,E,30,09:38,26.9,65,1,ENE,19,1013.0,32.4,41,1,WNW,20,1009.2
,2014-05-23,23.7,33.4,0,6.0,11.2,E,43,14:06,27.4,73,1,ESE,19,1014.1,32.9,35,1,E,22,1010.3
,2014-05-24,22.8,33.5,0,7.0,11.0,ESE,52,13:22,26.8,64,1,ESE,20,1014.7,33.1,21,0,ESE,33,1010.4
,2014-05-25,21.9,33.6,0,8.0,11.3,ENE,46,12:30,26.1,75,1,SE,13,1014.7,33.3,26,2,NE,13,1011.4
,2014-05-26,23.7,33.7,0,6.2,11.1,ENE,39,10:39,28.3,63,1,ESE,13,1014.9,33.0,40,2,NNE,24,1011.1
,2014-05-27,23.9,33.2,0,6.0,10.6,ENE,37,08:48,27.6,77,4,ENE,26,1014.3,32.5,43,3,SE,17,1009.7
,2014-05-28,22.9,32.4,0,7.0,10.9,ENE,35,12:33,25.9,68,1,E,20,1013.6,31.4,40,1,ESE,13,1009.6
,2014-05-29,22.4,33.1,0,6.2,10.5,ESE,31,10:28,26.5,71,4,ESE,20,1013.6,32.1,40,6,ESE,13,1009.3
,2014-05-30,24.1,32.9,2.2,6.6,8.8,E,35,11:39,26.2,83,7,ESE,17,1012.2,32.7,37,5,NE,17,1009.3
,2014-05-31,23.1,32.9,0,5.4,6.2,E,33,14:48,27.5,70,5,ESE,13,1013.0,32.3,41,7,SE,17,1009.0
