"Daily Weather Observations for Darwin, Northern Territory for June 2014"
"Prepared at 16:09 UTC on Saturday 16 August 2014   IDCJDW8014.201406"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2014-06-1,23.6,33.3,0,3.8,10.9,E,46,14:34,27.2,75,1,E,20,1012.1,32.4,41,3,ENE,22,1009.1
,2014-06-2,23.6,33.0,0,5.4,10.9,E,37,11:16,27.0,65,1,ESE,17,1012.1,32.8,40,2,ESE,19,1008.8
,2014-06-3,23.6,32.9,0,6.6,10.9,ESE,43,10:51,27.0,48,1,ESE,24,1012.4,32.3,37,1,ENE,28,1008.8
,2014-06-4,23.3,32.5,0,6.8,9.6,ESE,50,09:56,26.0,62,4,ESE,24,1013.1,32.0,41,2,E,24,1008.9
,2014-06-5,23.4,33.0,0,7.2,11.0,ESE,52,11:58,26.6,48,1,SE,24,1011.9,32.2,39,1,ENE,24,1008.4
,2014-06-6,22.8,33.7,0,9.8,10.5,ESE,57,11:20,26.2,46,1,SE,26,1011.1,33.0,39,3,E,24,1007.8
,2014-06-7,24.8,32.6,0,8.8,10.8,ESE,57,09:37,27.3,50,3,ESE,39,1011.3,32.2,36,1,SE,35,1008.3
,2014-06-8,22.4,31.4,0,10.4,11.0,SE,50,09:54,24.1,40,0,SE,31,1012.9,31.0,27,5,ESE,26,1009.3
,2014-06-9,19.0,30.2,0,8.8,11.0,ESE,52,10:11,22.5,38,1,SE,28,1013.4,29.6,19,1,E,17,1009.2
,2014-06-10,18.1,29.7,0,10.2,10.9,E,48,10:37,22.5,42,1,ESE,24,1012.1,29.1,36,1,E,17,1008.2
,2014-06-11,17.8,30.0,0,6.0,11.0,E,37,09:40,22.4,45,0,ESE,19,1011.4,28.9,33,0,WNW,15,1007.7
,2014-06-12,16.1,30.4,0,6.4,10.5,SE,26,09:52,22.3,53,1,SSE,15,1010.5,29.6,28,4,WNW,13,1007.7
,2014-06-13,18.6,31.2,0,7.2,10.1,N,24,13:18,24.0,64,2,SSE,11,1011.9,30.4,33,4,WNW,15,1008.7
,2014-06-14,20.0,30.9,0,5.8,7.5,E,33,11:07,23.4,64,7,ESE,15,1013.1,30.1,45,7,ESE,17,1010.1
,2014-06-15,21.0,29.1,0,7.2,8.9,SE,50,10:03,22.1,35,7,SE,31,1015.4,28.4,24,3,SE,24,1012.2
,2014-06-16,17.2,28.2,0,8.0,10.9,ESE,50,09:20,19.9,31,2,SE,31,1016.9,27.9,19,7,ESE,19,1012.7
,2014-06-17,16.0,29.7,0,7.6,10.8,SE,39,09:35,19.5,43,2,SE,22,1016.2,28.8,31,1,ESE,17,1012.1
,2014-06-18,19.4,31.6,0,7.0,10.6,E,37,11:43,22.6,58,6,SE,24,1015.6,30.8,44,3,NNE,20,1012.5
,2014-06-19,20.9,31.3,0,5.8,6.1,ESE,37,10:33,24.4,65,5,SSE,15,1014.4,28.5,68,7,N,13,1011.4
,2014-06-20,24.3,32.7,0,3.6,9.7,ENE,41,12:12,25.7,67,2,E,20,1015.2,31.9,42,2,ENE,19,1011.9
,2014-06-21,22.4,32.9,0,7.4,10.4,E,50,11:11,25.5,65,1,E,22,1016.0,32.2,28,1,E,28,1012.3
,2014-06-22,21.0,32.0,0,8.0,10.6,E,44,12:09,24.7,64,1,E,20,1017.3,31.3,27,1,SE,20,1013.2
,2014-06-23,19.7,31.6,0,6.8,11.0,ESE,48,14:32,23.3,42,1,ESE,20,1016.9,30.9,15,0,SE,28,1011.8
,2014-06-24,15.0,30.6,0,7.0,10.9,E,41,11:15,22.6,34,2,E,19,1016.3,29.6,18,7,SE,17,1012.6
,2014-06-25,16.0,29.9,0,5.0,11.0,ESE,48,12:14,20.1,38,0,SE,20,1018.1,29.4,17,0,ESE,30,1013.3
,2014-06-26,17.1,29.6,0,10.8,11.0,ESE,44,10:12,21.0,43,0,SE,20,1017.9,29.0,28,0,ESE,11,1013.5
,2014-06-27,18.6,30.6,0,7.6,10.5,ENE,33,10:14,22.8,58,2,E,17,1016.2,29.3,39,0,WSW,20,1012.3
,2014-06-28,17.6,30.3,0,5.6,9.6,NW,26,13:27,23.6,77,5,S,11,1014.7,28.7,55,6,NNW,15,1011.1
,2014-06-29,18.2,31.1,0,4.2,10.5,ESE,39,12:17,22.3,68,4,SE,17,1015.4,30.4,27,4,ENE,17,1012.3
,2014-06-30,17.8,29.2,0,7.8,10.9,ESE,50,10:03,20.4,26,1,SE,24,1017.9,28.2,15,1,E,15,1013.9
