"Daily Weather Observations for Darwin, Northern Territory for September 2014"
"Prepared at 13:10 UTC on Tuesday 11 August 2015   IDCJDW8014.201409"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2014-09-1,18.6,31.0,0,7.2,11.0,N,31,14:41,25.4,65,2,ENE,9,1015.6,29.7,44,3,NNW,20,1011.1
,2014-09-2,17.7,31.5,0,6.4,10.9,N,33,14:07,26.2,63,3,NNE,6,1015.5,29.9,38,7,NNW,20,1011.8
,2014-09-3,18.5,33.9,0,6.2,8.6,E,41,12:49,23.2,79,6,SSE,15,1016.7,29.2,47,7,NW,22,1012.4
,2014-09-4,18.1,33.7,0,6.2,11.1,N,37,16:18,26.5,55,7,N,7,1014.1,30.2,40,4,NNW,20,1009.2
,2014-09-5,19.0,31.5,0,7.0,10.9,WNW,35,14:55,26.0,56,1,N,6,1014.8,29.7,45,1,NW,24,1009.7
,2014-09-6,19.4,32.2,0,6.2,10.8,N,33,12:57,25.1,70,6,NE,15,1015.2,31.8,39,6,NW,22,1011.6
,2014-09-7,18.8,32.0,0,6.0,10.9,NNE,39,17:27,25.6,69,0,ESE,9,1016.4,30.5,47,1,N,26,1012.5
,2014-09-8,20.3,31.0,0,8.0,10.7,N,31,17:11,25.8,74,1,S,9,1017.2,30.0,51,1,NW,19,1013.3
,2014-09-9,21.5,32.4,0,6.0,11.0,N,33,13:50,26.5,72,0,S,13,1016.0,31.4,40,1,NNW,22,1011.8
,2014-09-10,20.0,32.4,0,7.2,11.1,N,31,15:56,27.4,59,1,NNE,7,1015.4,31.4,40,1,NNW,19,1011.7
,2014-09-11,21.0,33.9,0,7.8,10.0,NE,46,16:20,27.1,67,1,S,9,1015.2,32.7,23,1,N,26,1011.7
,2014-09-12,19.5,32.6,0,8.4,10.7,N,39,14:44,27.0,69,3,N,9,1015.4,30.1,57,3,NNW,24,1011.4
,2014-09-13,21.5,33.6,0,6.4,10.6,NW,33,13:36,26.7,78,1,S,15,1015.8,30.6,54,1,NW,24,1010.7
,2014-09-14,20.7,35.4,0,6.4,11.0,E,48,12:48,27.3,64,5,SSE,9,1014.1,30.6,54,3,NNW,26,1009.3
,2014-09-15,21.4,31.6,0,7.8,9.8,N,33,14:57,27.4,63,2,NNW,4,1014.1,31.2,43,5,N,26,1010.0
,2014-09-16,21.9,33.4,0,6.8,10.5,NNW,39,14:08,28.1,64,2,N,9,1013.9,32.4,31,1,N,26,1010.1
,2014-09-17,21.7,34.0,0,7.8,10.7,NE,37,11:01,27.1,68,2,SSW,9,1014.6,31.3,39,2,N,24,1010.9
,2014-09-18,20.6,33.5,0,7.2,10.6,WNW,33,13:31,28.0,54,5,NNE,9,1016.6,31.4,40,5,NNW,20,1011.6
,2014-09-19,21.9,37.4,0,8.8,10.9,NNW,48,14:27,27.9,57,3,SSE,9,1015.8,32.4,36,6,NNW,26,1010.8
,2014-09-20,21.2,34.9,0,10.4,10.8,N,41,15:32,27.7,70,5,SSW,7,1015.3,31.7,45,2,N,28,1010.3
,2014-09-21,23.3,32.7,0,9.2,11.0,NW,35,15:23,27.4,69,2,SSW,11,1015.2,31.2,51,1,NW,26,1010.9
,2014-09-22,21.6,31.5,0,7.2,10.8,NNW,31,15:02,27.3,70,1,SSW,7,1015.7,30.4,56,1,NNW,20,1010.8
,2014-09-23,22.4,32.9,0,6.4,10.7,NNW,33,13:25,27.8,69,3,NNW,17,1014.7,31.9,46,1,WNW,26,1011.6
,2014-09-24,23.2,32.5,0,8.0,8.7,WNW,35,15:05,27.9,70,5,W,7,1015.0,30.7,57,8,NW,26,1010.9
,2014-09-25,22.9,35.1,0,5.8,10.5,NNW,41,14:44,28.1,65,2,NE,17,1014.8,33.3,34,1,NNW,31,1010.3
,2014-09-26,23.2,35.1,0,8.0,11.0,ENE,37,11:54,28.4,67,1,SSE,9,1014.4,32.0,47,1,NNW,22,1010.8
,2014-09-27,23.8,34.1,0,5.4,11.2,WNW,41,15:35,28.0,73,6,SSW,19,1015.2,31.9,52,3,NW,28,1011.2
,2014-09-28,22.7,34.4,0,7.0,10.8,WNW,35,16:11,29.0,66,2,W,13,1014.8,32.2,40,1,NW,24,1009.7
,2014-09-29,21.9,34.1,0,7.8,10.6,N,37,14:02,29.5,50,1,N,13,1013.6,33.1,25,1,NNW,28,1009.7
,2014-09-30,22.5,32.6,0,7.8,9.8,N,41,14:17,28.7,58,1,NE,17,1014.6,30.7,47,2,NNE,28,1010.0
