"Daily Weather Observations for Darwin, Northern Territory for February 2015"
"Prepared at 13:09 UTC on Thursday 20 August 2015   IDCJDW8014.201502"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2015-02-1,26.0,32.2,0,4.6,5.2,NW,41,12:44,29.6,73,7,W,24,1009.1,28.2,85,8,W,13,1006.6
,2015-02-2,26.4,32.8,10.4,4.8,10.8,E,67,23:34,29.7,81,7,SW,13,1009.3,32.3,64,7,WNW,30,1006.7
,2015-02-3,22.1,33.4,24.2,8.4,7.5,WNW,39,14:10,29.7,83,3,WNW,17,1009.6,29.8,76,5,WSW,19,1006.5
,2015-02-4,25.9,34.2,0,4.8,9.0,NE,37,03:10,29.8,77,7,WSW,11,1010.1,32.9,50,7,NW,15,1006.8
,2015-02-5,26.4,33.2,0,6.4,10.0,WNW,39,13:53,29.5,80,5,SW,15,1009.6,31.9,54,6,W,26,1006.7
,2015-02-6,23.5,33.4,0,6.4,11.7,WNW,39,14:04,30.1,71,6,W,15,1010.9,33.1,57,2,WNW,30,1008.3
,2015-02-7,26.3,33.2,0,7.2,7.4,SSW,31,17:42,27.9,87,6,ENE,13,1012.4,31.4,56,4,N,20,1009.2
,2015-02-8,26.1,34.0,0.2,4.6,9.7,SE,70,19:36,29.8,71,1,WSW,13,1012.3,31.3,68,7,WNW,33,1008.4
,2015-02-9,23.3,33.7,34.0,7.6,5.9,SSE,50,16:43,27.2,86,7,S,13,1011.0,33.3,58,7,NW,15,1006.6
,2015-02-10,23.3,31.5,36.6,8.2,7.3,N,41,14:17,27.5,80,7,E,24,1009.6,27.4,90,7,N,19,1007.6
,2015-02-11,25.5,33.5,5.6,3.8,9.0,ESE,43,19:42,27.4,83,7, ,Calm,1010.2,32.3,58,4,NNW,19,1006.5
,2015-02-12,23.9,32.7,3.8,7.6,10.8,NW,26,13:50,28.5,65,5,ESE,11,1010.0,32.2,56,6,WNW,17,1006.6
,2015-02-13,25.6,33.5,0,5.4,8.5,ESE,46,16:11,28.6,79,7,S,13,1009.1,33.3,55,7,WNW,31,1005.4
,2015-02-14,23.6,33.9,13.2,6.6,8.3,ENE,70,16:48,29.1,80,2,S,9,1009.1,33.2,57,6,WNW,20,1005.7
,2015-02-15,22.3,32.0,30.2,8.0,7.5,E,46,22:54,26.3,80,7,E,9,1009.5,31.5,67,7,NW,19,1006.7
,2015-02-16,23.2,32.2,8.6,5.6,7.9,WNW,39,16:33,28.2,86,7,N,7,1010.0,31.8,66,7,WNW,26,1006.6
,2015-02-17,28.1,33.5,0,6.0,10.5,WNW,39,14:24,30.1,76,7,W,20,1007.7,32.8,63,7,WNW,28,1004.8
,2015-02-18,28.3,33.8,0,7.8,5.8,WNW,39,02:55,30.0,80,7,W,19,1006.3,33.5,64,7,W,30,1003.6
,2015-02-19,28.3,34.3,1.6,5.6,4.5,WNW,52,15:57,30.6,83,7,WSW,15,1005.7,32.0,67,7,NW,30,1002.6
,2015-02-20,22.0,28.0,49.2,9.2,0.0,SSE,56,05:24,24.1,92,8,NNW,4,1005.4,24.7,92,8,NNE,7,1003.8
,2015-02-21,23.2,30.8,46.4,4.8,5.8,WNW,52,01:39,27.8,74,7,NW,22,1005.8,29.9,64,7,NNW,26,1004.6
,2015-02-22,25.0,30.9,2.6,5.4,3.6,NNW,41,10:59,29.5,76,7,NNW,26,1008.9,28.5,74,8,NNW,13,1008.1
,2015-02-23,25.0,31.5,4.0,2.8,3.7,N,31,16:36,26.1,94,7,S,15,1011.4,28.6,82,7,NNE,6,1009.1
,2015-02-24,24.8,31.4,10.0,4.6,5.5,SSW,41,15:08,28.3,84,7,SW,6,1011.0,28.0,82,8,W,17,1008.6
,2015-02-25,26.0,31.3,2.2,2.8,3.2,NW,35,15:20,28.1,92,7,SE,6,1010.8,30.7,66,7,WNW,24,1006.4
,2015-02-26,24.6,31.9,0,4.4,6.5,WNW,33,13:59,28.8,82,7,WSW,9,1009.1,30.7,70,7,WNW,24,1005.0
,2015-02-27,26.6,32.9,1.8,5.8,2.3,NW,35,12:34,29.1,83,7,WSW,9,1007.9,26.2,93,8,NW,15,1005.8
,2015-02-28,23.0,31.8,68.6,,7.1,WNW,43,03:05,26.9,84,7,SW,7,1007.5,30.9,75,6,WNW,28,1005.1
