"Daily Weather Observations for Darwin, Northern Territory for June 2015"
"Prepared at 16:10 UTC on Sunday 16 August 2015   IDCJDW8014.201506"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2015-06-1,24.0,31.6,0.2,1.8,5.8,ESE,43,12:12,26.7,75,7,ESE,22,1013.1,31.4,48,7,ENE,24,1009.8
,2015-06-2,25.1,33.2,0.2,5.8,10.4,ESE,48,10:40,27.7,60,3,SE,20,1014.4,33.1,37,1,SE,24,1010.5
,2015-06-3,23.2,33.0,0,7.6,10.7,ENE,54,12:59,26.4,56,3,ESE,20,1014.1,32.5,43,2,E,24,1011.3
,2015-06-4,22.2,33.2,0,8.0,11.0,,,,25.5,53,3,SE,24,1014.8,32.2,24,1,ESE,30,1011.4
,2015-06-5,20.8,32.2,0,8.0,11.0,ESE,48,11:00,23.5,36,1,SE,24,1015.5,31.6,23,1,E,24,1011.8
,2015-06-6,22.2,31.7,0,10.0,10.0,E,50,10:32,25.6,44,3,E,24,1014.9,30.5,44,4,E,19,1011.5
,2015-06-7,22.6,32.7,0,8.0,10.9,E,46,09:54,25.2,50,0,ESE,20,1015.0,32.3,25,0,ENE,17,1011.5
,2015-06-8,22.5,32.3,0,7.0,10.9,E,41,10:54,25.6,65,1,E,20,1013.9,31.6,30,0,ENE,20,1009.9
,2015-06-9,21.0,31.7,0,6.6,10.7,ESE,39,10:59,25.4,65,6,E,26,1014.4,31.2,28,3,E,17,1010.0
,2015-06-10,20.6,30.9,0,6.6,10.1,E,48,12:21,24.9,54,5,ESE,17,1014.2,30.2,37,3,E,22,1010.0
,2015-06-11,22.2,32.0,0,6.4,10.0,ENE,46,10:29,27.4,54,6,SE,20,1014.1,31.6,39,3,E,24,1010.5
,2015-06-12,22.2,32.7,0,5.4,10.8,E,43,13:19,25.2,60,1,SE,17,1013.6,31.9,36,2,ESE,15,1009.0
,2015-06-13,21.2,32.0,0,5.4,9.8,E,43,13:01,26.4,65,1,SE,15,1013.3,28.9,63,5,NW,17,1009.5
,2015-06-14,23.7,32.1,0,5.6,8.4,ENE,33,11:56,26.0,72,4,E,19,1013.7,31.3,51,2,NNE,20,1009.5
,2015-06-15,23.4,32.7,0,5.0,10.2,E,33,10:05,26.2,79,3,E,17,1013.8,30.1,58,2,NNW,17,1009.6
,2015-06-16,22.0,32.6,0,4.2,10.9,NNE,35,18:32,27.5,76,1,NE,9,1013.1,31.4,47,2,N,24,1009.7
,2015-06-17,21.7,32.8,0,6.2,10.6,ENE,30,11:08,26.3,74,1,SE,9,1012.8,29.9,59,1,NW,19,1008.8
,2015-06-18,22.2,34.2,0.2,4.8,11.1,E,48,11:21,25.7,66,1,SE,19,1013.3,33.4,27,1,E,19,1009.4
,2015-06-19,22.2,33.3,0,7.2,11.1,ESE,39,09:47,24.9,45,1,SE,26,1014.9,33.0,22,1,S,20,1011.1
,2015-06-20,19.7,31.9,0,10.8,10.6,SE,37,09:19,22.3,28,2,SE,28,1015.8,31.2,12,2,S,17,1011.4
,2015-06-21,18.1,30.2,0,7.4,11.0,ESE,46,11:52,22.1,30,6,SE,20,1015.1,29.5,18,7,NE,15,1012.1
,2015-06-22,17.1,31.8,0,4.8,11.0,E,35,12:27,22.1,35,0,SE,17,1015.5,31.5,13,0,SE,9,1011.8
,2015-06-23,17.4,31.1,0,7.0,10.9,NNW,30,16:48,24.0,65,1,SSE,11,1015.9,30.6,41,4,NW,17,1012.2
,2015-06-24,19.9,32.3,0,4.6,10.6,E,31,11:22,25.9,68,0,E,15,1016.4,31.2,33,2,WNW,11,1012.4
,2015-06-25,20.1,31.4,0,5.2,10.8,ESE,54,11:28,24.2,49,1,SE,20,1018.6,30.7,26,2,ESE,24,1013.8
,2015-06-26,19.3,30.5,0,9.8,9.8,SE,54,09:37,21.6,23,2,SE,33,1019.2,29.4,19,0,SE,22,1014.4
,2015-06-27,19.3,31.0,0,10.6,11.1,E,41,10:51,21.9,38,1,SE,13,1019.1,29.7,23,0,ESE,20,1014.9
,2015-06-28,18.1,30.5,0,6.8,11.0,E,35,10:07,23.7,46,1,E,19,1019.3,29.7,26,0,NW,20,1015.4
,2015-06-29,17.5,30.9,0,5.2,10.8,E,35,05:47,24.5,55,1,SSE,11,1017.9,30.7,35,1,WNW,22,1013.9
,2015-06-30,18.3,32.6,0,6.0,11.0,ESE,37,11:39,24.0,67,1,E,11,1017.7,31.6,20,1,SE,17,1013.3
