"Daily Weather Observations for Darwin, Northern Territory for November 2015"
"Prepared at 13:10 GMT on Tuesday  9 August 2016   IDCJDW8014.201511"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2015-11-1,25.6,33.6,0,7.4,10.5,N,39,13:27,29.3,67,3,N,13,1013.2,32.7,51,2,N,30,1008.4
,2015-11-2,25.1,33.6,0,7.4,11.4,NNW,33,11:41,28.8,68,2,NE,11,1013.3,32.7,48,1,NNW,24,1008.7
,2015-11-3,25.4,34.7,0.2,8.0,10.0,N,35,15:48,30.5,60,2,NE,13,1013.2,33.8,47,2,N,24,1008.4
,2015-11-4,26.4,34.4,0,6.4,6.7,N,41,14:20,29.0,71,5,NNE,17,1012.4,33.3,47,5,NNE,26,1008.0
,2015-11-5,26.3,32.6,0,8.0,2.1,NNW,26,11:33,28.8,75,7,NNW,7,1012.4,29.2,71,6,WSW,13,1009.3
,2015-11-6,26.3,34.2,0.4,4.4,10.0,NNW,35,14:05,30.7,62,4,N,17,1011.8,33.7,48,7,NW,19,1007.8
,2015-11-7,27.5,33.9,0,6.8,8.3,WNW,31,11:56,30.1,67,7,N,11,1012.9,33.0,53,7,WNW,20,1009.1
,2015-11-8,27.2,36.9,0,6.6,11.4,NW,41,16:01,31.0,58,3,SSE,11,1012.3,35.9,46,2,WNW,30,1007.4
,2015-11-9,28.6,35.3,0,8.4,10.7,WNW,48,15:11,31.6,67,4,SW,17,1011.0,33.3,62,2,WNW,35,1005.8
,2015-11-10,25.3,35.4,0,9.6,12.0,W,44,16:08,31.1,61,1,W,13,1010.2,33.8,53,1,WNW,33,1005.7
,2015-11-11,28.6,35.5,0,9.4,11.7,E,54,23:42,31.5,64,1,W,17,1010.4,33.1,62,1,NW,37,1006.5
,2015-11-12,24.5,34.8,5.4,12.6,10.4,E,33,00:17,30.5,59,2,N,17,1012.3,34.6,34,1,N,20,1008.9
,2015-11-13,27.2,35.1,0,7.4,11.5,NW,37,17:18,30.3,68,3,NNW,15,1012.5,33.9,46,1,NW,20,1008.4
,2015-11-14,26.5,33.7,0,9.4,8.9,E,76,13:21,30.6,67,2,NNW,17,1010.5,30.5,57,2,WNW,13,1007.4
,2015-11-15,22.0,33.0,44.6,12.6,4.8,E,50,02:02,26.5,75,7,ENE,9,1010.0,32.6,47,7,NW,17,1007.7
,2015-11-16,25.7,34.6,0,4.0,9.3,E,67,16:22,30.4,59,4,S,13,1010.5,33.8,58,2,WNW,30,1005.4
,2015-11-17,24.5,34.8,0.6,6.0,11.9,WNW,35,15:31,30.2,72,6,SSW,7,1011.6,33.9,59,2,NW,24,1007.7
,2015-11-18,26.9,35.0,0,7.4,11.7,NW,31,13:30,30.6,75,2,SE,6,1011.7,34.2,49,2,NNW,20,1007.8
,2015-11-19,25.1,34.9,0,6.4,11.6,N,35,16:10,31.0,55,1,NE,9,1012.8,34.2,48,1,N,22,1008.3
,2015-11-20,22.7,34.2,5.0,9.0,11.7,ENE,56,02:44,30.4,71,3,E,9,1011.6,33.2,56,2,NNW,24,1006.5
,2015-11-21,26.5,34.6,0,8.0,11.3,NW,35,13:06,31.2,61,3,SE,4,1011.4,33.0,55,2,NW,24,1006.8
,2015-11-22,25.6,34.5,0,7.2,11.8,NW,33,13:57,31.0,60,1,ENE,11,1011.0,32.9,55,2,NW,26,1006.3
,2015-11-23,25.8,35.5,0,8.6,12.0,N,31,13:26,31.8,50,1,W,6,1010.7,34.2,43,2,N,24,1007.1
,2015-11-24,28.2,36.6,0,8.0,12.0,WNW,33,13:14,30.5,64,3,NNE,19,1010.7,35.4,31,1,NNW,19,1006.8
,2015-11-25,26.6,35.3,0,7.6,11.9,,,,31.0,61,1,SSW,11,1010.1,34.2,53,1,NW,30,1006.6
,2015-11-26,28.1,35.7,0,11.2,8.0,ESE,72,15:56,31.8,65,2,W,13,1010.7,34.1,55,7,WNW,31,1007.3
,2015-11-27,22.8,34.5,27.4,8.6,11.4,WNW,35,16:19,31.0,68,6,NNW,13,1011.1,34.1,56,2,NW,24,1007.9
,2015-11-28,25.2,32.7,0,8.0,1.5,S,46,05:34,26.2,82,8,SSE,9,1012.3,31.8,63,7,NNW,9,1008.4
,2015-11-29,25.8,34.8,0,5.0,11.0,WNW,35,14:00,31.1,71,4,W,7,1011.4,34.5,56,6,WNW,26,1007.3
,2015-11-30,26.1,35.5,0.6,7.6,6.8,NNW,41,16:28,29.4,64,5,E,9,1009.9,27.3,77,8,SW,20,1007.9
