"Daily Weather Observations for Darwin, Northern Territory for May 2018"
"Prepared at 13:04 UTC on Friday 17 August 2018   IDCJDW8014.201805"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-05-1,23.7,33.4,0,4.8,9.7,E,31,10:06,28.0,67,7,ENE,19,1013.9,31.8,47,6,ENE,13,1010.0
,2018-05-2,25.0,33.1,0,5.8,5.0,E,30,12:36,26.9,77,7,E,11,1013.5,32.3,46,6,NE,15,1010.0
,2018-05-3,25.7,33.4,0,5.2,8.7,ENE,31,10:38,27.4,77,7,ENE,13,1014.3,32.9,44,2,NE,15,1010.5
,2018-05-4,24.5,34.9,0,6.0,11.1,E,31,13:56,29.0,66,1,ENE,15,1014.5,34.1,35,1,WNW,15,1011.0
,2018-05-5,24.2,34.0,0,6.4,11.1,ESE,50,12:07,28.5,65,7,E,13,1016.3,33.3,35,7,E,20,1013.2
,2018-05-6,22.0,33.2,0,7.0,11.1,ESE,44,11:34,26.4,51,0,ESE,15,1016.5,32.0,35,1,E,28,1012.7
,2018-05-7,21.7,34.0,0,8.0,11.2,ESE,43,11:12,25.8,53,1,SE,13,1014.8,33.2,32,1,E,19,1010.3
,2018-05-8,21.8,34.6,0,8.0,11.2,E,41,13:18,26.4,63,0,SSE,9,1013.4,33.9,27,1,E,19,1010.2
,2018-05-9,22.5,33.9,0,7.8,9.6,E,39,12:55,27.9,60,2,E,9,1014.6,33.3,25,3,E,17,1011.1
,2018-05-10,22.9,34.0,0,7.0,10.3,E,43,13:12,27.3,61,2,E,13,1015.9,32.9,27,6,E,17,1012.1
,2018-05-11,23.5,33.5,0,7.0,10.7,E,46,12:17,27.6,46,2,E,15,1014.5,32.8,26,1,E,26,1010.3
,2018-05-12,23.3,30.9,0,10.8,7.1,SE,41,08:31,25.0,29,7,SE,26,1014.3,29.9,22,7,SSE,20,1011.4
,2018-05-13,20.6,31.3,0,10.2,10.4,ESE,44,10:43,22.5,22,3,SE,31,1015.1,30.2,21,4,ESE,19,1011.7
,2018-05-14,19.7,31.0,0,8.8,10.8,ESE,41,10:31,22.6,36,1,SE,22,1015.3,30.6,25,1,E,17,1011.4
,2018-05-15,19.8,30.8,0,8.0,11.1,E,44,11:08,22.9,26,1,SE,22,1014.3,30.5,20,1,ESE,15,1011.4
,2018-05-16,18.5,30.5,0,8.0,10.3,ESE,43,13:47,21.0,33,8,SE,20,1014.3,29.3,22,1,ESE,20,1010.6
,2018-05-17,18.1,30.2,0,10.4,10.6,SE,43,09:41,21.6,28,0,SE,28,1013.3,29.6,16,0,ESE,22,1010.1
,2018-05-18,17.9,30.9,0,11.0,10.5,ESE,46,11:33,21.6,28,1,SE,22,1013.0,30.1,23,2,ENE,22,1009.3
,2018-05-19,19.4,30.9,0,6.6,10.9,ESE,43,11:34,22.7,52,1,SE,24,1012.7,30.3,27,1,E,19,1009.3
,2018-05-20,19.7,32.3,0,7.2,11.0,E,44,11:17,23.8,60,2,SE,17,1012.5,31.7,36,1,E,24,1009.4
,2018-05-21,22.0,33.2,0,8.0,10.5,ENE,46,11:41,25.9,50,1,ESE,19,1013.3,32.6,35,3,E,26,1010.2
,2018-05-22,22.6,32.2,0,6.4,9.4,E,50,14:26,25.4,52,3,SE,24,1014.5,31.7,27,1,ESE,20,1011.1
,2018-05-23,22.4,33.0,0,8.6,10.8,E,43,10:22,25.5,45,2,SE,19,1014.4,32.2,33,1,E,20,1010.1
,2018-05-24,21.5,33.0,0,8.2,11.1,ESE,37,10:11,25.7,35,0,SE,13,1013.1,32.7,36,0,NNW,15,1008.7
,2018-05-25,21.9,33.5,0,8.6,11.1,E,39,11:30,26.6,59,1,E,9,1011.9,32.3,38,1,NE,19,1008.7
,2018-05-26,21.3,33.8,0,6.0,10.9,ENE,33,11:47,26.8,68,0,E,13,1012.8,32.3,39,1,E,9,1009.0
,2018-05-27,22.0,33.2,0,5.6,10.8,NNW,26,14:24,26.5,74,1,S,7,1013.3,31.0,50,6,NNW,17,1009.7
,2018-05-28,22.3,33.1,0,1.6,10.8,SE,31,12:43,26.3,79,2,ESE,9,1013.3,31.8,37,2,ESE,13,1009.2
,2018-05-29,20.8,33.3,0,5.4,10.9,E,41,13:17,27.1,73,1,E,7,1013.2,33.3,24,1,ESE,17,1009.2
,2018-05-30,21.0,32.4,0,7.2,11.0,ESE,65,12:32,25.2,45,2,ESE,13,1014.2,31.8,28,2,E,26,1010.3
,2018-05-31,22.5,32.9,0,7.4,9.7,ESE,57,10:21,26.0,47,1,E,24,1014.3,32.3,27,5,E,17,1010.3
