"Daily Weather Observations for Darwin, Northern Territory for July 2018"
"Prepared at 13:04 UTC on Tuesday 21 August 2018   IDCJDW8014.201807"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-07-1,22.0,33.5,0,6.0,10.5,E,50,10:29,26.0,56,1,ESE,19,1014.4,32.9,38,2,E,24,1011.3
,2018-07-2,24.2,33.7,0,8.0,10.5,E,63,11:07,27.2,45,1,ESE,24,1014.8,33.0,32,1,E,30,1010.4
,2018-07-3,22.1,33.1,0,8.4,11.0,E,52,11:57,25.0,56,1,SE,19,1015.1,32.5,32,1,ESE,24,1010.5
,2018-07-4,21.1,32.9,0,6.2,11.2,E,46,10:45,25.2,49,1,ESE,17,1014.6,32.3,18,1,ESE,17,1010.4
,2018-07-5,20.7,32.6,0,7.4,11.0,E,31,09:54,25.2,72,1,SE,11,1014.3,31.0,40,0,NW,20,1010.2
,2018-07-6,19.7,31.6,0,6.8,10.2,ESE,24,12:22,25.7,70,5,NE,7,1013.6,29.7,58,1,NW,17,1009.2
,2018-07-7,20.8,32.1,0,6.2,9.5,ESE,35,12:35,24.7,81,7,NE,2,1013.8,29.3,56,8,NW,17,1010.2
,2018-07-8,19.7,30.9,0,6.2,11.0,ESE,41,11:05,22.8,36,6,SE,22,1015.5,30.0,15,6,ESE,19,1011.2
,2018-07-9,19.3,31.0,0,9.0,10.9,ESE,39,10:39,22.4,39,0,ESE,15,1015.6,30.4,32,1,E,13,1011.9
,2018-07-10,21.4,32.3,0,5.0,10.7,ESE,43,10:32,24.2,45,0,E,26,1014.3,31.0,31,1,ENE,17,1010.4
,2018-07-11,19.5,31.7,0,7.0,11.1,ESE,33,10:13,23.9,22,0,ESE,20,1014.9,30.7,16,0,SSE,11,1011.2
,2018-07-12,18.1,31.0,0,8.4,11.1,ESE,30,12:23,23.2,30,1,ESE,20,1014.6,30.2,16,1,SE,9,1010.6
,2018-07-13,17.0,30.8,0,6.8,11.1,E,30,11:05,22.7,54,0,E,15,1013.5,29.7,37,0,WNW,17,1010.4
,2018-07-14,16.8,29.9,0,5.4,10.7,NW,24,15:08,23.0,73,1,ESE,6,1013.8,29.2,47,1,NW,13,1010.1
,2018-07-15,17.9,30.0,0,4.6,10.4,WNW,24,13:03,22.9,73,3,ENE,7,1013.3,29.1,45,1,WNW,15,1010.7
,2018-07-16,18.9,32.0,0,7.2,10.8,E,43,12:41,24.3,46,2,SSE,13,1013.9,31.7,27,1,SE,20,1009.8
,2018-07-17,19.1,32.3,0,6.4,10.3,E,26,12:42,25.0,67,5,NE,11,1014.2,29.1,40,2,NNW,17,1010.4
,2018-07-18,18.2,32.6,0,6.0,11.0,NE,31,12:31,24.4,60,0,E,9,1013.5,31.7,29,1,NNE,22,1010.6
,2018-07-19,20.9,32.9,0,4.4,10.5,ESE,37,12:41,25.6,62,3,SSE,7,1014.8,30.1,51,2,NNW,19,1011.0
,2018-07-20,22.9,33.8,0,4.2,8.8,SE,39,13:39,25.8,81,6,ENE,9,1015.3,32.9,24,0,E,19,1011.2
,2018-07-21,22.7,33.3,0,8.2,11.0,ENE,44,11:28,25.1,73,1,E,22,1016.2,32.0,15,0,E,20,1011.7
,2018-07-22,17.8,33.0,0,7.8,11.3,ESE,39,12:22,24.1,28,0,ESE,13,1017.3,32.3,10,1,SSE,13,1012.3
,2018-07-23,15.3,32.2,0,7.4,11.2,SE,30,12:19,21.9,24,1,SE,17,1016.0,31.7,12,0,ESE,7,1011.6
,2018-07-24,16.1,31.3,0,6.0,10.8,WNW,39,14:41,22.2,72,0,SSE,7,1014.9,28.6,55,1,NW,19,1011.8
,2018-07-25,19.7,30.9,0,4.0,10.4,NNW,30,17:13,24.7,79,0,SE,4,1015.8,29.8,55,1,NW,17,1011.7
,2018-07-26,20.6,31.0,0,4.8,9.8,NNW,26,17:08,24.1,82,0,SSE,7,1014.7,29.6,58,1,NW,17,1011.1
,2018-07-27,21.7,29.9,0,4.0,7.4,NNW,26,14:57,24.3,82,6,E,7,1014.5,29.4,57,2,NNW,17,1011.1
,2018-07-28,21.1,30.2,0,3.2,9.3,NNW,30,13:58,25.9,81,1,NNE,7,1013.8,29.3,58,1,NNW,17,1010.4
,2018-07-29,22.0,31.4,0,4.0,10.0,NNW,26,15:52,26.3,74,3,ENE,6,1014.7,30.2,48,1,NW,15,1010.9
,2018-07-30,21.1,32.0,0,5.2,10.7,NNE,33,15:26,26.1,73,1,ENE,11,1015.4,30.9,52,2,N,20,1011.5
,2018-07-31,22.1,32.3,0,5.0,10.6,NNE,41,13:48,25.0,62,3,ENE,19,1015.2,31.7,24,1,NE,26,1011.8
