"Daily Weather Observations for Darwin, Northern Territory for September 2018"
"Prepared at 13:03 UTC on Sunday 11 August 2019   IDCJDW8014.201809"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-09-1,21.4,31.1,0,5.4,10.8,WNW,33,15:21,27.0,72,1,NNE,6,1014.6,30.7,55,2,WNW,26,1011.1
,2018-09-2,22.2,31.7,0,5.6,11.1,WNW,33,15:43,26.9,70,1,N,2,1014.7,30.6,53,2,WNW,22,1010.2
,2018-09-3,22.8,34.5,0,6.6,10.5,NNE,35,16:55,28.2,60,1,SE,2,1014.3,31.7,46,5,NNW,19,1010.0
,2018-09-4,21.9,34.7,0,6.6,11.0,N,43,13:33,27.7,67,0,NNE,11,1014.6,32.8,34,1,N,30,1010.3
,2018-09-5,23.4,33.6,0,7.8,11.0,WNW,31,12:37,26.9,75,1,SSE,7,1014.1,32.1,37,1,WNW,19,1010.0
,2018-09-6,21.7,31.8,0,9.4,11.0,WNW,31,15:34,28.3,56,0,NNE,7,1014.1,30.8,48,1,NW,24,1009.3
,2018-09-7,22.6,31.8,0,10.2,10.7,WNW,33,14:38,28.7,65,2,NW,7,1014.4,30.8,57,5,WNW,22,1010.2
,2018-09-8,23.0,33.2,0,5.2,10.9,N,30,15:39,27.5,69,1,NNE,11,1014.9,32.5,49,1,NNW,17,1010.8
,2018-09-9,23.0,33.0,0,6.0,10.7,NNW,35,12:38,27.8,69,2,NE,9,1015.3,30.9,53,1,NNW,20,1011.7
,2018-09-10,23.8,35.0,0,5.8,10.9,ESE,33,11:58,27.5,77,2,S,13,1016.7,31.2,52,1,NW,22,1012.9
,2018-09-11,22.4,33.2,0,6.6,10.8,WNW,33,14:34,29.0,42,1,NW,7,1014.6,31.5,40,2,WNW,24,1010.2
,2018-09-12,22.8,32.9,0,7.6,10.7,NW,35,13:52,27.5,58,2,NE,17,1012.9,31.2,34,1,NW,19,1009.1
,2018-09-13,22.5,31.5,0,7.4,10.8,NNW,30,14:38,27.7,57,1,NNW,6,1013.6,30.6,51,1,N,20,1009.6
,2018-09-14,23.0,33.0,0,6.8,11.0,WNW,30,13:29,28.0,65,2,SW,6,1014.3,32.1,41,1,NNW,17,1009.7
,2018-09-15,22.6,32.9,0,7.2,9.9,WNW,31,15:04,28.1,67,1,NNE,4,1014.1,31.0,49,1,WNW,22,1010.3
,2018-09-16,23.3,33.2,0,6.8,10.3,WNW,35,19:39,29.0,62,0,NE,6,1013.1,31.9,47,1,N,22,1009.3
,2018-09-17,24.0,35.7,0,6.0,11.0,E,37,12:50,28.4,59,1,E,11,1013.7,32.0,44,1,NNW,20,1009.4
,2018-09-18,22.5,35.5,0,7.2,10.7,NNW,37,14:26,28.6,61,0,NE,9,1014.4,33.4,29,1,NW,20,1009.0
,2018-09-19,22.0,32.8,0,8.4,10.7,NW,33,14:12,28.0,74,2,S,6,1013.5,31.1,55,1,NW,26,1008.5
,2018-09-20,22.6,33.7,0,6.8,10.7,N,43,15:21,28.4,56,1,ENE,9,1013.2,31.2,44,2,NNE,28,1009.0
,2018-09-21,24.1,34.9,0,7.6,10.8,E,35,11:42,27.7,64,1,S,13,1014.6,31.5,44,1,NNW,20,1011.1
,2018-09-22,21.8,34.8,0,7.4,11.0,W,41,14:45,29.2,67,1,ENE,4,1016.0,32.1,47,2,SW,15,1012.0
,2018-09-23,22.9,36.0,0,6.8,10.6,NW,35,13:51,27.4,75,3,S,15,1015.8,31.6,54,1,NNW,26,1011.8
,2018-09-24,23.8,33.3,0,8.0,10.4,NNW,33,15:34,29.2,63,1,E,7,1014.7,31.4,53,1,NNW,20,1010.4
,2018-09-25,23.7,34.3,29.2,10.4,9.7,NNE,37,00:45,28.1,67,5,ENE,17,1014.2,30.8,50,3,NNW,20,1009.3
,2018-09-26,23.5,34.0,0,7.2,11.0,WNW,43,13:19,28.2,58,2,E,20,1013.4,32.5,37,2,NNW,20,1009.5
,2018-09-27,22.8,32.6,3.2,8.0,9.6,NNW,35,14:10,27.4,72,6,E,6,1014.6,31.8,43,2,N,20,1009.8
,2018-09-28,24.3,34.7,0,5.6,9.2,NE,39,12:50,27.8,71,6,NE,9,1014.7,32.9,38,2,N,24,1009.6
,2018-09-29,23.7,34.9,0.4,7.8,11.3,NNE,44,16:43,28.5,60,1,ENE,17,1014.6,31.9,41,1,NNW,26,1009.4
,2018-09-30,22.9,32.9,0,8.8,11.4,E,56,10:09,28.9,33,1,E,30,1015.2,31.9,31,1,NE,30,1010.6
