"Daily Weather Observations for Darwin, Northern Territory for December 2018"
"Prepared at 13:03 UTC on Thursday  8 August 2019   IDCJDW8014.201812"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-12-1,26.2,34.4,0,7.0,11.8,NW,30,10:21,30.9,70,3,WNW,9,1010.0,33.9,52,1,WNW,17,1006.6
,2018-12-2,28.9,34.2,0,7.0,10.9,WNW,35,14:43,31.1,74,3,S,15,1010.2,33.2,57,1,WNW,24,1006.4
,2018-12-3,27.8,34.2,0,6.8,10.8,NW,28,14:53,31.1,71,4,WNW,7,1011.2,33.2,56,2,WNW,22,1007.5
,2018-12-4,28.8,34.4,0,7.6,8.8,WNW,35,13:39,31.4,71,2,WSW,13,1011.2,34.0,62,3,WNW,28,1006.7
,2018-12-5,26.4,35.1,0,6.0,9.5,E,39,00:24,29.6,72,7,SSW,2,1008.2,34.4,55,6,WNW,24,1005.0
,2018-12-6,29.4,34.6,0,8.0,9.5,WNW,37,15:53,31.9,68,6,W,11,1007.4,33.0,66,1,WNW,24,1003.7
,2018-12-7,28.6,34.9,0,8.0,11.2,SE,43,22:03,32.0,71,5,WNW,17,1007.1,33.5,63,1,WNW,24,1003.8
,2018-12-8,27.2,33.5,0,7.0,2.9,NNW,41,15:35,28.0,79,7,SE,11,1008.7,32.1,68,6,NW,15,1005.8
,2018-12-9,27.0,34.3,0,4.0,5.7,WNW,37,15:49,32.4,66,5,W,17,1008.5,33.4,61,5,WNW,20,1005.4
,2018-12-10,28.9,35.1,0,6.0,10.1,W,37,13:57,31.4,69,4,W,17,1007.2,34.0,55,3,W,26,1004.4
,2018-12-11,29.7,35.2,0,8.4,11.8,WSW,41,11:50,31.8,66,3,W,22,1008.0,34.1,53,7,W,26,1004.7
,2018-12-12,30.0,33.7,0,9.6,2.8,S,72,23:09,31.9,65,7,W,26,1006.2,32.3,61,7,WNW,28,1004.1
,2018-12-13,22.5,33.5,4.8,8.2,9.8,W,50,09:19,31.0,69,7,WNW,31,1006.3,31.2,64,7,W,19,1003.5
,2018-12-14,27.3,33.8,0,8.4,8.0,W,41,03:35,28.5,60,7,SSW,19,1006.8,32.9,63,7,WNW,26,1003.4
,2018-12-15,28.4,35.1,0,7.6,11.1,WNW,39,13:46,31.4,71,7,W,20,1007.1,33.6,61,7,WNW,30,1004.0
,2018-12-16,28.5,34.6,0,7.6,9.7,NW,35,13:36,31.0,67,7,WSW,13,1008.0,32.8,62,7,WNW,26,1005.6
,2018-12-17,28.5,34.4,0,7.8,10.4,WNW,39,17:26,30.4,70,6,WNW,11,1007.4,33.6,51,5,WNW,22,1005.1
,2018-12-18,28.8,34.5,0,7.6,11.2,WNW,37,15:33,31.7,66,5,W,20,1008.3,33.7,58,5,WNW,30,1006.3
,2018-12-19,28.0,34.1,0,9.2,7.8,W,35,17:42,31.1,69,7,WSW,17,1009.8,32.6,60,7,WNW,22,1005.7
,2018-12-20,28.9,33.3,0,8.4,3.8,W,37,12:35,30.5,71,8,WSW,17,1008.3,31.3,68,7,WNW,28,1004.4
,2018-12-21,29.1,32.4,0,7.2,0.6,WNW,31,15:54,31.1,68,6,W,17,1006.3,31.9,67,8,NW,20,1003.2
,2018-12-22,25.8,33.5,0,2.4,4.7,NW,26,16:44,30.1,77,7,WNW,7,1007.0,32.6,67,7,WSW,7,1004.5
,2018-12-23,26.5,34.1,5.2,4.0,8.5,E,72,22:55,30.4,77,7,NW,11,1006.4,32.9,65,7,NW,19,1003.9
,2018-12-24,22.6,33.9,6.4,6.8,10.9,WNW,35,15:08,28.8,77,4,SSW,11,1007.6,33.2,64,6,WNW,26,1003.9
,2018-12-25,27.6,35.5,0,7.0,6.8,SSE,52,16:05,31.9,69,6,WSW,13,1007.3,32.2,65,7,W,26,1003.9
,2018-12-26,24.8,29.0,5.6,5.4,0.0,SE,31,19:07,27.6,85,7,S,4,1007.6,28.3,85,8,N,6,1003.8
,2018-12-27,24.3,34.3,5.0,1.8,8.6,E,65,21:16,28.5,81,1,ESE,7,1005.2,33.4,59,4,NNE,22,1001.5
,2018-12-28,23.8,34.0,7.0,7.2,7.6,NW,22,14:39,27.5,81,7,E,11,1005.7,33.1,58,4,WNW,13,1002.4
,2018-12-29,26.8,34.0,0,6.4,9.7,N,33,15:51,30.7,74,3,ENE,4,1006.3,32.3,66,5,NNW,17,1003.2
,2018-12-30,25.4,33.7,0,5.6,2.4,ESE,46,04:51,29.3,68,8,SW,6,1007.7,32.5,61,5,W,13,1005.0
,2018-12-31,22.5,32.1,33.2,6.6,3.8,NE,87,00:54,28.4,82,7,W,19,1008.7,31.4,66,6,WNW,20,1004.9
