"Daily Weather Observations for Darwin, Northern Territory for March 2019"
"Prepared at 13:03 UTC on Monday 19 August 2019   IDCJDW8014.201903"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-03-1,23.5,34.7,20.4,7.2,10.8,E,28,14:12,28.7,79,5,SE,7,1010.8,34.0,46,4,NE,19,1007.2
,2019-03-2,24.3,33.0,0,7.0,2.0,NE,37,01:26,26.9,82,7,ESE,9,1010.3,30.5,69,7,N,19,1007.8
,2019-03-3,25.9,34.3,0,3.2,10.8,NE,33,20:43,28.5,71,2,ESE,15,1010.2,33.9,49,3,E,15,1006.2
,2019-03-4,24.9,34.3,0.8,7.2,9.2,ENE,43,00:40,28.5,72,2,E,17,1010.1,33.4,47,5,NE,17,1006.3
,2019-03-5,24.8,33.6,0,6.6,10.3,NNE,33,19:56,27.6,77,7,SE,9,1010.6,33.1,53,7,ENE,17,1006.8
,2019-03-6,25.8,34.4,0.4,6.0,9.7,NE,35,16:20,28.3,82,7,E,7,1010.1,34.0,51,5,ENE,20,1006.7
,2019-03-7,26.4,33.6,0,6.6,9.9,ENE,24,11:43,29.9,73,5,NE,9,1010.9,32.6,59,2,NNW,15,1007.3
,2019-03-8,26.8,33.9,0,6.4,10.4,SE,81,20:12,30.0,77,3,SE,7,1010.8,32.6,61,6,NW,15,1007.2
,2019-03-9,21.7,35.2,14.2,7.6,10.1,NNE,94,17:27,28.3,75,6,SE,9,1011.0,34.7,40,3,E,11,1006.7
,2019-03-10,21.7,33.7,12.2,8.2,9.0,ENE,44,22:09,27.6,79,2,E,17,1010.5,33.1,52,6,NE,19,1008.0
,2019-03-11,23.6,32.5,10.6,7.0,7.2,NE,30,12:22,27.0,88,8,ENE,13,1011.5,31.8,62,7,NNE,17,1008.4
,2019-03-12,25.8,32.8,0,4.0,10.0,NW,28,15:19,29.5,79,5,E,4,1011.3,31.5,69,5,WNW,19,1007.7
,2019-03-13,26.8,35.0,0.4,5.4,9.5,NNW,30,16:34,29.9,81,6,S,7,1011.0,33.4,61,5,NW,17,1006.8
,2019-03-14,26.3,34.0,0,4.8,7.8,WNW,28,13:49,30.1,74,7,ENE,6,1011.4,32.0,66,7,WNW,17,1006.5
,2019-03-15,26.6,33.0,0,5.4,7.7,N,30,11:03,29.5,76,7,NNW,11,1009.6,32.1,61,7,NW,15,1006.3
,2019-03-16,26.3,33.4,0,30.6,6.2,SE,33,16:45,29.8,76,6,SW,4,1010.1,32.6,50,3,NW,15,1006.0
,2019-03-17,25.7,33.5,2.6,3.6,10.2,WNW,33,16:00,30.0,75,4,NNW,13,1009.7,32.4,64,7,WNW,20,1006.6
,2019-03-18,26.1,34.1,0,6.2,7.7,WNW,35,14:55,30.5,73,6,SW,13,1009.8,32.3,56,5,WNW,26,1006.4
,2019-03-19,26.4,34.4,0,6.6,8.4,WNW,37,14:51,30.4,68,3,W,15,1008.9,33.5,59,7,WNW,30,1005.9
,2019-03-20,26.1,34.2,0.4,7.0,9.1,WSW,37,15:27,30.9,72,7,WSW,17,1009.0,33.5,59,7,W,24,1006.4
,2019-03-21,28.9,35.0,0,7.2,10.9,WSW,39,14:32,31.3,74,7,W,17,1008.7,33.4,58,7,W,26,1005.2
,2019-03-22,22.5,29.4,24.8,4.0,3.2,ESE,72,08:43,22.6,98,8,E,44,1010.0,27.6,78,7,NW,24,1005.9
,2019-03-23,22.3,32.3,12.6,7.6,1.7,WSW,59,18:45,28.5,80,7,W,11,1007.2,26.5,83,7,SW,17,1005.7
,2019-03-24,24.1,31.0,15.2,5.8,0.7,WNW,52,02:57,27.3,91,7,NW,20,1008.3,24.6,93,8,S,24,1007.2
,2019-03-25,24.1,31.8,38.4,7.0,3.8,W,37,00:24,29.2,86,7,SW,7,1010.4,31.1,71,7,WSW,19,1007.8
,2019-03-26,28.1,31.1,0,3.4,1.0,S,50,14:47,29.8,80,7,W,15,1010.8,26.1,87,8,S,30,1009.4
,2019-03-27,24.6,32.5,20.8,3.0,9.0,W,31,16:34,28.1,85,6,SE,6,1011.5,31.5,74,7,NW,20,1007.7
,2019-03-28,26.0,33.9,0.2,3.8,8.1,W,31,16:36,29.7,85,4,SW,11,1009.2,33.4,53,7,NW,11,1005.5
,2019-03-29,25.8,34.4,0,5.4,9.8,WSW,30,15:34,30.3,73,7,WSW,9,1008.0,32.0,60,7,W,17,1005.0
,2019-03-30,26.5,33.3,0,6.4,9.8,WNW,28,13:45,29.7,80,2,WSW,11,1009.6,32.1,56,5,WNW,19,1006.4
,2019-03-31,25.1,34.6,0,5.0,8.8,NNE,35,16:18,29.1,75,2,S,6,1010.7,32.1,53,6,SW,20,1007.4
