"Daily Weather Observations for Darwin, Northern Territory for May 2019"
"Prepared at 13:03 UTC on Saturday 17 August 2019   IDCJDW8014.201905"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-05-1,25.5,31.7,2.6,6.6,1.3,ENE,33,15:14,26.5,89,7,SSW,7,1011.6,31.3,59,6,E,13,1008.2
,2019-05-2,25.1,32.4,0.4,1.4,2.2,NE,44,18:51,26.5,80,7,SE,11,1012.9,31.0,62,7,NNE,15,1009.9
,2019-05-3,24.6,32.6,0,3.6,2.3,ENE,44,22:57,26.2,87,7,SE,9,1013.9,31.4,62,7,NW,13,1010.6
,2019-05-4,23.2,32.0,23.4,4.6,7.2,ESE,35,00:01,26.2,80,3,SE,15,1012.7,31.2,56,7,ESE,20,1009.6
,2019-05-5,25.6,32.7,0,4.6,11.2,ESE,41,09:55,28.4,62,3,SE,19,1012.9,32.2,48,4,ESE,20,1008.9
,2019-05-6,23.4,32.6,0,7.0,11.2,ESE,37,10:41,26.0,59,1,ESE,20,1012.7,31.6,44,2,NE,6,1009.3
,2019-05-7,23.2,31.4,0,7.4,5.5,E,41,11:03,25.9,54,7,E,24,1011.9,30.8,39,7,ESE,17,1009.6
,2019-05-8,23.2,32.0,0,5.4,8.9,E,43,10:02,25.3,69,7,E,20,1011.5,31.2,31,7,ESE,19,1008.5
,2019-05-9,23.6,30.1,0,8.0,1.5,ESE,44,12:40,24.9,65,8,SE,17,1013.0,29.1,30,7,ESE,22,1009.2
,2019-05-10,23.0,29.2,0,7.2,1.0,ESE,44,10:12,24.1,38,7,SE,20,1014.1,28.6,32,7,E,24,1012.1
,2019-05-11,22.7,29.7,0,7.6,6.2,E,44,10:34,24.5,34,7,SE,24,1016.9,28.4,25,6,ESE,22,1013.1
,2019-05-12,21.4,30.2,0,10.6,10.2,E,37,10:23,23.2,26,5,SE,20,1016.1,29.2,32,0,ESE,15,1012.4
,2019-05-13,20.7,31.8,0,6.6,10.8,NW,24,15:21,25.1,51,0,ESE,17,1014.7,30.7,49,1,NNW,15,1011.6
,2019-05-14,22.0,33.3,0,4.6,11.0,E,35,14:58,26.8,62,1,E,13,1014.7,32.5,29,1,E,17,1010.8
,2019-05-15,21.4,34.1,0,7.2,11.2,ESE,33,12:08,25.7,73,0,S,15,1014.8,33.0,23,0,S,9,1011.1
,2019-05-16,21.6,34.1,0,5.8,11.1,E,28,12:40,25.8,61,1,SE,7,1012.6,32.4,45,3,NW,17,1009.1
,2019-05-17,23.3,32.7,0,8.0,8.7,NE,30,11:45,27.8,67,1,ESE,15,1012.5,31.3,57,6,ENE,13,1009.6
,2019-05-18,23.8,32.9,5.4,4.4,11.1,NNE,33,14:36,26.9,77,1,ESE,13,1013.5,31.9,53,3,NNE,22,1010.7
,2019-05-19,24.6,32.7,0,5.2,11.0,ESE,31,10:02,27.7,72,6,SE,17,1014.6,31.9,45,4,E,17,1011.7
,2019-05-20,24.3,33.2,0,4.8,10.2,E,44,10:54,26.9,67,6,E,24,1014.2,32.0,43,7,E,22,1011.6
,2019-05-21,24.5,33.7,0,5.6,11.2,E,46,11:19,27.2,69,2,E,20,1014.8,33.1,27,1,ESE,26,1010.7
,2019-05-22,23.2,33.3,0,7.8,11.1,E,43,10:37,27.0,55,1,E,22,1015.8,32.6,36,1,E,22,1012.1
,2019-05-23,22.3,32.9,0,7.2,11.2,E,41,12:37,25.9,59,1,ESE,15,1015.6,32.0,34,1,NE,19,1012.2
,2019-05-24,22.0,33.2,0,7.0,11.2,ESE,35,13:01,26.1,70,1,ESE,7,1014.8,32.6,29,0,ESE,20,1011.0
,2019-05-25,22.9,33.5,0,6.8,10.8,ENE,33,12:48,27.4,69,1,E,19,1014.5,32.1,36,3,W,15,1010.5
,2019-05-26,23.4,33.7,0,5.4,10.5,E,33,12:22,27.0,77,1,E,13,1014.4,33.2,34,3,E,19,1009.9
,2019-05-27,22.1,33.2,0,5.4,11.2,ESE,43,14:52,27.2,59,1,E,17,1014.9,32.1,25,1,SE,19,1010.8
,2019-05-28,21.3,31.9,0,7.2,9.6,ESE,48,13:35,22.9,57,4,SE,17,1015.4,30.5,28,6,E,26,1011.3
,2019-05-29,20.2,31.5,0,7.6,10.9,ESE,41,10:37,23.5,50,4,SE,17,1014.1,30.6,31,1,E,17,1010.1
,2019-05-30,21.2,31.8,0,6.8,10.3,SE,33,10:15,23.7,45,1,SE,20,1014.5,31.4,31,2,SSE,15,1010.8
,2019-05-31,20.6,30.7,0,11.4,10.4,ESE,43,10:08,23.0,25,1,SE,24,1014.7,30.6,19,1,SE,17,1011.0
