"Daily Weather Observations for Darwin, Northern Territory for June 2019"
"Prepared at 16:03 UTC on Friday 16 August 2019   IDCJDW8014.201906"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-06-1,19.7,30.2,0,10.2,9.5,SE,41,12:47,21.4,27,7,SE,24,1014.6,29.5,28,2,E,17,1010.9
,2019-06-2,20.0,31.0,0,8.0,8.2,ESE,48,10:25,21.5,34,2,SE,31,1014.2,29.7,24,6,ESE,24,1011.3
,2019-06-3,21.4,29.0,0,10.0,6.4,SE,52,10:09,22.6,19,6,SE,28,1014.4,27.8,24,7,SE,19,1010.7
,2019-06-4,21.1,26.2,0,9.0,1.7,SE,43,10:14,22.6,21,7,SE,22,1014.6,25.7,20,8,SE,17,1012.1
,2019-06-5,20.3,28.3,0,7.4,7.1,E,44,10:58,21.2,22,7,SE,19,1014.9,27.7,14,2,SE,17,1012.3
,2019-06-6,17.4,28.6,0,10.0,10.1,ESE,48,10:02,19.6,27,2,SE,17,1017.1,27.8,18,3,E,13,1014.1
,2019-06-7,19.4,30.3,0,10.2,9.9,ESE,35,09:38,21.8,30,6,SE,19,1017.5,29.1,27,0,ENE,15,1013.0
,2019-06-8,20.3,32.0,0,7.2,11.0,E,37,08:59,23.6,59,0,ESE,22,1016.6,30.1,53,1,NNW,17,1011.9
,2019-06-9,21.9,32.4,0,4.8,10.2,E,39,11:54,24.8,67,5,ESE,19,1014.6,30.8,52,5,N,15,1011.4
,2019-06-10,22.2,33.9,0,5.0,11.0,E,44,13:51,26.3,67,0,E,9,1012.9,30.6,56,1,NNW,22,1008.9
,2019-06-11,22.5,33.9,0,6.8,11.1,E,39,11:25,26.6,63,5,E,17,1015.2,33.2,35,7,SSE,6,1010.9
,2019-06-12,22.8,33.2,0,5.6,10.5,NNE,35,16:10,26.5,69,1,E,20,1015.8,32.8,42,5,ENE,13,1011.8
,2019-06-13,22.4,32.5,0,4.8,9.7,NE,30,12:06,24.1,88,7,ESE,9,1015.2,30.2,53,1,NNW,17,1010.6
,2019-06-14,20.4,32.8,0,6.4,10.3,E,31,11:03,25.2,77,1,SSE,7,1014.8,32.3,35,2,SSE,9,1010.0
,2019-06-15,20.3,32.0,0,5.6,10.4,E,30,11:13,25.7,71,0,SSE,7,1014.8,29.5,47,1,NNW,17,1011.1
,2019-06-16,19.7,32.5,0,5.0,10.5,N,37,15:01,25.9,67,1,SE,6,1015.4,29.7,53,2,NNW,19,1011.3
,2019-06-17,20.7,32.5,0,5.2,10.7,ESE,41,11:15,24.7,83,1,SSE,9,1015.8,32.0,25,1,E,28,1011.4
,2019-06-18,19.4,32.5,0,6.6,11.0,SE,41,14:37,24.0,59,1,SSE,15,1016.1,31.8,21,1,ESE,22,1011.7
,2019-06-19,18.6,30.3,0,8.0,11.0,E,37,10:22,22.0,38,5,SE,19,1016.3,29.5,17,6,SSE,11,1011.6
,2019-06-20,17.6,31.1,0,6.8,11.0,ESE,41,10:19,20.8,25,1,SE,19,1016.5,30.1,21,1,SE,13,1012.3
,2019-06-21,17.5,30.1,0,7.6,10.7,ESE,39,10:39,20.7,29,0,SE,17,1016.2,28.9,20,0,SE,11,1011.3
,2019-06-22,18.0,30.4,0,7.6,10.7,E,35,11:13,20.9,40,1,SE,15,1015.8,29.2,24,1,ESE,9,1011.4
,2019-06-23,15.7,30.1,0,6.8,10.9,E,43,09:58,20.4,31,1,ESE,17,1016.1,28.6,16,6,SE,11,1012.3
,2019-06-24,15.6,30.1,0,7.0,10.9,E,35,12:42,19.9,24,1,ESE,15,1017.6,29.0,8,0,ESE,11,1014.3
,2019-06-25,12.7,30.3,0,5.6,10.9,E,44,10:56,18.8,23,0,SE,17,1018.8,29.7,10,0,SSE,6,1014.6
,2019-06-26,14.9,29.8,0,5.8,11.0,ESE,37,10:55,19.3,21,1,SE,17,1017.9,29.0,10,0,SSE,11,1012.9
,2019-06-27,14.5,30.3,0,6.8,10.8,ENE,33,01:07,20.6,56,1,E,11,1016.4,29.6,19,0,SSE,11,1011.7
,2019-06-28,17.0,29.0,0,6.4,10.8,NW,28,14:44,22.5,61,0,SE,9,1016.4,27.5,46,1,NNW,17,1012.9
,2019-06-29,17.6,32.0,0,3.0,10.5,ENE,41,12:08,23.0,61,1,E,11,1015.7,31.1,29,4,SE,19,1011.5
,2019-06-30,19.3,33.4,0,6.6,10.4,E,39,11:00,25.1,52,5,ESE,11,1014.7,33.1,34,6,NE,13,1010.4
