"Daily Weather Observations for Darwin, Northern Territory for August 2019"
"Prepared at 13:04 UTC on Wednesday 12 August 2020   IDCJDW8014.201908"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-08-1,18.5,32.9,0,5.6,10.8,ESE,57,11:25,24.0,74,1,SE,13,1017.6,31.6,20,1,ESE,24,1013.1
,2019-08-2,19.2,31.3,0,11.6,11.2,ESE,41,10:18,22.7,45,1,SE,24,1018.3,31.0,12,1,ESE,20,1013.7
,2019-08-3,15.7,31.1,0,7.4,10.7,E,43,14:43,21.4,27,4,SSE,15,1017.8,30.5,14,2,ESE,20,1013.0
,2019-08-4,18.2,31.9,0,8.4,11.1,ENE,48,12:10,24.0,43,0,ESE,13,1016.5,31.0,29,3,ENE,17,1011.6
,2019-08-5,19.5,32.4,0,6.4,10.6,S,26,13:43,24.5,70,5,S,6,1015.7,31.2,29,3,WNW,15,1011.6
,2019-08-6,21.0,32.7,0,5.0,10.8,E,35,10:50,26.4,65,3,ENE,9,1014.1,32.0,34,3,NW,15,1009.3
,2019-08-7,20.8,30.3,0,6.8,10.3,NW,30,14:12,26.7,65,2,NNE,2,1013.8,28.4,56,1,NW,19,1009.8
,2019-08-8,21.3,30.5,0,5.0,10.7,NW,28,14:08,25.0,77,1,N,6,1014.0,29.2,51,1,NW,15,1010.3
,2019-08-9,21.7,32.7,0,5.0,9.7,NW,30,16:01,27.7,66,1,NNE,6,1013.7,31.4,40,5,WNW,17,1010.2
,2019-08-10,21.9,34.0,0,5.6,10.6,ESE,35,13:11,27.5,64,1,E,11,1014.8,32.5,33,1,NNW,19,1011.4
,2019-08-11,20.4,33.8,0,6.8,10.1,ESE,44,09:38,26.6,28,1,ESE,24,1016.7,32.2,12,0,ESE,17,1011.9
,2019-08-12,20.6,32.2,0,9.8,11.1,ESE,37,09:35,23.7,19,2,ESE,19,1018.7,30.7,8,0,SE,15,1013.7
,2019-08-13,17.0,30.9,0,9.6,11.1,ESE,46,10:14,21.7,16,1,ESE,20,1018.6,30.1,9,0,ESE,15,1014.1
,2019-08-14,15.3,31.1,0,9.0,10.9,E,41,12:54,23.0,21,0,E,19,1018.6,28.9,22,0,NW,19,1014.4
,2019-08-15,16.1,30.5,0,6.4,10.3,NW,41,14:53,23.8,51,1,SSE,7,1018.1,29.0,52,1,WNW,20,1014.4
,2019-08-16,19.8,30.0,0,6.4,9.1,NW,26,13:27,23.2,74,7,SE,11,1017.3,29.0,54,1,NNW,17,1013.5
,2019-08-17,21.2,30.5,0,4.8,10.2,NW,24,13:26,26.5,54,2,SW,6,1016.0,29.8,50,4,WNW,17,1013.3
,2019-08-18,21.2,32.1,0,4.4,9.4,WNW,28,14:39,26.5,58,1,SSE,9,1015.9,29.7,55,1,NNW,19,1011.9
,2019-08-19,23.1,31.7,0,4.4,9.3,NNW,26,16:13,27.5,64,3,NW,6,1014.7,30.0,60,2,N,20,1011.6
,2019-08-20,23.0,33.8,0.2,6.0,11.0,ESE,44,08:42,25.8,24,1,ESE,28,1017.5,32.6,13,0,E,20,1012.6
,2019-08-21,19.2,31.7,0,11.0,11.2,SE,41,08:38,23.3,13,0,SE,26,1016.6,31.7,14,0,ENE,19,1012.1
,2019-08-22,19.8,32.3,0,8.4,11.1,NE,44,13:49,24.0,31,1,SE,17,1016.5,31.7,29,1,NE,28,1012.8
,2019-08-23,18.3,30.9,0,7.6,11.2,NNW,30,14:35,26.3,61,0,NE,6,1016.9,28.5,43,1,NNW,19,1013.0
,2019-08-24,19.3,31.3,0,6.8,11.1,NNW,31,14:58,25.5,65,3,ENE,11,1016.6,29.7,41,1,NNW,20,1011.5
,2019-08-25,19.4,30.7,0,4.6,10.8,NW,28,13:49,25.1,70,5,ENE,9,1015.6,28.6,51,4,NNW,20,1011.0
,2019-08-26,19.7,32.4,0,5.6,11.0,SE,33,13:24,25.8,67,2,NNE,11,1015.4,29.7,36,1,NNW,22,1011.1
,2019-08-27,19.9,34.9,0,6.6,11.3,E,48,11:44,25.3,65,2,ESE,9,1016.6,33.5,15,1,E,17,1011.8
,2019-08-28,19.4,34.8,0,7.6,10.5,E,43,10:00,24.3,65,1,ESE,13,1018.0,34.2,6,0,NNW,17,1013.0
,2019-08-29,17.9,32.5,0,9.0,11.4,E,50,09:26,25.1,18,3,ESE,26,1017.6,30.9,6,0,E,20,1012.9
,2019-08-30,16.4,31.6,0,9.0,11.3,E,43,12:06,23.3,34,0,ESE,15,1015.9,30.7,13,0,NW,20,1011.4
,2019-08-31,15.6,31.6,0,8.0,11.3,N,31,14:35,25.7,44,0,E,11,1015.3,30.0,29,0,NW,17,1010.7
