"Daily Weather Observations for Darwin, Northern Territory for April 2020"
"Prepared at 13:03 UTC on Tuesday 18 August 2020   IDCJDW8014.202004"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-04-1,25.4,34.0,1.6,8.6,11.1,N,26,17:04,29.0,68,2,SE,7,1010.6,33.2,57,2,NNW,15,1007.5
,2020-04-2,26.9,33.5,0,5.6,10.1,N,24,13:36,30.4,71,4,E,6,1011.8,32.7,61,4,NNW,15,1007.3
,2020-04-3,25.7,33.2,24.6,6.2,7.7,ENE,30,01:37,28.8,81,7, ,Calm,1011.0,32.3,62,4,NW,19,1007.5
,2020-04-4,26.7,33.7,0.2,5.3,8.0,WNW,37,16:49,30.0,80,6,SSE,2,1010.5,33.0,59,2,WNW,24,1007.2
,2020-04-5,24.7,29.3,29.6,5.6,0.0,ESE,43,08:30,24.9,94,7,NW,9,1010.7,28.7,80,8,WNW,4,1008.7
,2020-04-6,24.7,33.9,0,1.4,10.5,NNE,46,23:35,28.4,83,3,SE,13,1011.9,33.1,50,6,ESE,17,1008.1
,2020-04-7,24.4,34.1,0,6.4,10.2,ESE,30,00:59,28.9,72,7,ESE,11,1011.6,33.2,46,7,E,9,1007.5
,2020-04-8,25.4,33.6,0,5.6,7.2,E,26,09:32,28.6,72,7,ESE,17,1011.0,31.9,59,7,NW,17,1008.1
,2020-04-9,23.4,31.1,5.4,5.8,7.2,ESE,33,06:20,24.7,88,7,E,19,1012.7,30.0,58,7,ENE,17,1010.6
,2020-04-10,24.5,31.9,0,5.8,6.2,S,37,22:27,28.1,65,1,E,20,1013.3,26.0,83,7,E,17,1010.2
,2020-04-11,20.5,29.2,19.0,6.2,3.1,S,37,01:00,23.8,87,7,SSE,17,1012.6,28.1,73,7,ENE,24,1009.9
,2020-04-12,23.8,32.9,0,3.0,5.8,ENE,30,10:53,26.3,80,8,ENE,19,1011.7,31.8,61,5,NNE,9,1008.9
,2020-04-13,23.8,34.1,23.0,6.2,8.2,ENE,46,01:19,28.3,78,7,ENE,11,1012.2,33.5,49,7,ENE,15,1008.7
,2020-04-14,25.9,34.1,4.2,5.0,11.1,ESE,28,10:44,28.8,75,2,E,17,1013.1,34.0,39,2,E,15,1009.8
,2020-04-15,25.8,34.2,0,8.0,11.1,E,37,11:14,29.2,75,2,E,13,1013.6,33.6,42,1,ENE,15,1010.6
,2020-04-16,25.9,34.3,0,6.8,10.3,NE,28,17:42,28.8,74,7,SE,13,1013.5,33.7,48,3,ENE,15,1009.8
,2020-04-17,25.8,34.0,0,6.8,11.4,NNE,33,13:40,29.4,77,5,E,9,1014.1,32.9,60,5,N,20,1009.9
,2020-04-18,25.5,33.3,0,6.0,9.8,ESE,52,19:29,29.3,76,3,SE,6,1013.2,32.0,63,6,NNW,13,1008.7
,2020-04-19,23.7,33.1,7.4,5.0,10.8,NNW,26,15:30,29.6,80,4,ENE,4,1012.2,32.7,66,5,NW,15,1009.1
,2020-04-20,25.9,34.2,0.6,4.0,11.2,NNW,28,14:33,29.8,73,1,ESE,7,1013.4,32.8,56,1,N,19,1009.6
,2020-04-21,26.5,34.3,0,6.6,11.0,SSW,31,12:34,29.7,77,3,E,6,1013.3,32.2,65,2,NNW,17,1009.3
,2020-04-22,25.7,35.0,0,5.6,11.2,NNW,26,15:30,29.2,80,2,ESE,7,1013.3,32.9,57,2,NNW,15,1009.2
,2020-04-23,25.5,35.3,0,7.0,9.9,ESE,44,14:32,29.7,71,1,SSW,7,1013.0,35.2,34,3,ESE,24,1009.3
,2020-04-24,24.2,34.2,0,7.4,11.2,E,35,09:25,29.2,63,1,E,20,1012.3,33.5,44,1,ESE,19,1009.3
,2020-04-25,25.7,35.4,0,6.6,11.2,E,35,12:14,29.3,63,1,E,15,1012.0,34.8,35,3,SE,19,1009.0
,2020-04-26,25.4,34.7,0,6.4,11.0,NW,28,13:47,30.0,68,4,E,9,1011.9,33.6,51,3,NW,17,1008.2
,2020-04-27,25.1,34.9,0,6.1,11.1,E,37,14:11,29.5,72,1,E,9,1012.2,34.2,29,1,SE,24,1008.2
,2020-04-28,24.6,34.7,0,7.2,10.5,ENE,24,13:30,28.9,73,6,SSE,9,1011.9,32.1,49,5,WNW,9,1008.5
,2020-04-29,25.0,34.4,0,6.8,10.8,WNW,28,14:05,27.8,77,7,SSE,7,1011.7,33.8,49,6,WNW,20,1008.0
,2020-04-30,25.6,35.8,0,6.4,10.2,NW,28,16:27,30.5,68,2,SSW,4,1011.7,33.9,54,2,NW,17,1008.1
