"Daily Weather Observations for Darwin, Northern Territory for August 2021"
"Prepared at 13:04 UTC on Saturday  4 December 2021   IDCJDW8014.202108"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-08-1,23.3,32.2,0,4.0,10.1,NNE,30,17:22,26.2,76,6,SE,7,1014.9,30.4,58,1,N,19,1010.6
,2021-08-2,22.3,34.0,0,3.4,10.8,ESE,31,14:03,27.4,71,1,ENE,7,1014.7,33.4,33,1,NNW,22,1010.8
,2021-08-3,22.4,31.7,0,6.6,10.7,NW,26,12:51,27.0,72,1,NE,7,1015.6,30.7,56,1,N,17,1012.5
,2021-08-4,22.1,33.5,0,5.0,10.7,ESE,43,12:01,27.2,71,6,ENE,13,1017.1,31.3,48,3,NNW,20,1013.1
,2021-08-5,20.9,32.9,0,7.6,11.2,ESE,48,09:59,24.0,33,1,SE,24,1017.7,32.3,18,1,SE,13,1014.0
,2021-08-6,20.4,31.2,0,9.6,11.0,SE,44,10:43,22.6,22,7,SE,26,1019.4,29.5,11,1,SE,20,1015.0
,2021-08-7,17.4,31.5,0,9.6,11.2,ESE,44,10:18,21.9,28,0,SE,19,1018.6,30.5,15,0,ENE,17,1014.0
,2021-08-8,18.0,32.4,0,8.0,9.0,E,37,11:46,22.5,49,6,ESE,20,1017.9,31.3,23,0,E,13,1013.6
,2021-08-9,18.8,32.7,0,6.8,11.2,ENE,31,11:16,24.7,48,0,E,13,1016.5,32.1,22,0,NW,19,1012.2
,2021-08-10,20.7,34.0,0,5.2,11.1,E,41,13:14,26.2,66,1,E,15,1015.1,32.1,37,1,NNE,26,1012.1
,2021-08-11,23.4,33.4,0,7.2,9.0,NE,35,13:14,26.4,78,7,ENE,11,1017.5,33.0,40,3,NNE,17,1013.0
,2021-08-12,23.2,35.2,0,5.4,10.9,E,41,14:21,27.1,78,2,ENE,17,1016.5,34.5,30,1,SE,24,1012.0
,2021-08-13,22.2,34.9,0,7.8,11.0,E,50,11:35,26.6,69,0,SSE,15,1015.7,34.3,19,0,ESE,24,1010.5
,2021-08-14,20.2,33.5,0,9.4,10.4,NE,37,12:57,26.7,45,1,SE,11,1015.6,31.5,49,2,NNE,24,1010.8
,2021-08-15,23.1,34.6,0,6.8,8.2,ENE,44,12:05,26.3,66,7,SE,11,1015.4,33.1,35,3,E,20,1011.7
,2021-08-16,22.4,35.5,0,6.2,10.5,ESE,54,10:58,26.7,71,1,SSE,13,1016.8,34.7,22,0,ESE,13,1012.2
,2021-08-17,21.8,33.8,0,9.6,11.2,ESE,41,12:19,25.7,33,0,SE,20,1015.8,33.3,23,1,ENE,17,1011.4
,2021-08-18,19.9,33.4,0,8.0,10.8,NNW,33,15:42,27.0,54,1,NE,7,1013.4,30.7,42,1,N,20,1009.4
,2021-08-19,22.6,34.2,0,6.6,10.8,NE,35,11:36,26.5,69,2,E,15,1013.9,32.7,34,1,N,22,1010.0
,2021-08-20,22.1,32.9,0,7.6,7.8,E,30,10:41,25.5,79,6,ESE,7,1014.9,31.9,45,4,N,19,1011.0
,2021-08-21,21.6,34.3,0,4.2,10.9,SE,37,13:41,27.4,66,3,NNE,13,1014.6,32.2,34,2,NW,24,1010.9
,2021-08-22,21.3,32.9,0,6.6,10.7,WNW,30,17:31,26.0,82,1,SSW,7,1014.7,32.1,40,1,NNW,15,1010.1
,2021-08-23,21.1,32.6,0,6.0,10.6,NNW,28,15:45,27.4,68,1,SSW,6,1013.7,30.7,58,2,NNW,19,1009.6
,2021-08-24,24.9,32.1,0,6.6,9.0,N,31,14:13,27.9,75,3,S,6,1013.2,31.0,53,3,NNE,22,1009.3
,2021-08-25,20.4,31.5,19.0,7.4,4.7,E,41,01:41,24.0,45,7,SE,17,1014.0,30.9,26,7,E,9,1010.4
,2021-08-26,21.1,33.6,0,7.0,11.4,ESE,33,09:56,26.0,61,1,E,17,1013.9,31.6,30,2,NNW,17,1009.9
,2021-08-27,21.8,35.1,0,6.6,10.9,E,41,12:31,26.9,67,1,E,11,1013.6,34.6,17,1,NW,15,1009.5
,2021-08-28,21.9,35.5,0,7.6,10.8,ESE,39,13:14,26.7,74,1,S,2,1013.2,32.0,34,2,NW,24,1009.9
,2021-08-29,21.8,35.2,0,7.0,11.1,E,30,13:41,26.7,65,1,S,6,1013.3,32.1,40,1,NNW,17,1008.6
,2021-08-30,21.9,33.3,0,5.8,10.5,NW,26,14:06,27.6,62,2, ,Calm,1013.9,32.4,37,1,NNW,15,1009.3
,2021-08-31,22.8,33.2,0,6.2,10.8,N,30,16:12,27.6,71,3,SE,4,1014.1,32.2,48,2,NNW,19,1010.1
