"Daily Weather Observations for Darwin, Northern Territory for December 2021"
"Prepared at 13:03 UTC on Monday 12 December 2022   IDCJDW8014.202112"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-12-1,27.5,35.2,2.0,7.4,5.0,SE,63,15:41,31.3,67,5,W,7,1009.6,32.9,60,7,NW,20,1005.8
,2021-12-2,23.7,35.9,10.8,5.0,8.5,N,43,16:20,31.3,78,7,SW,11,1009.2,34.2,65,6,WNW,28,1006.1
,2021-12-3,27.3,35.1,0,7.0,3.9,ESE,44,15:14,32.3,75,6,SW,6,1009.6,31.5,75,7,WNW,6,1006.6
,2021-12-4,26.4,35.5,2.0,4.8,9.5,N,24,12:26,31.0,75,4,ENE,6,1009.3,34.2,56,3,NW,19,1004.8
,2021-12-5,27.1,34.5,0,6.6,6.1,E,59,15:27,31.7,66,7,NW,9,1008.1,33.6,63,7,NW,26,1004.4
,2021-12-6,23.0,33.2,21.8,9.4,6.1,SSE,35,01:47,29.8,81,7,N,15,1005.9,32.3,60,5,N,9,1004.4
,2021-12-7,24.6,33.6,0,4.0,4.0,E,48,07:59,26.1,74,7,E,13,1009.0,31.5,65,6,NNW,19,1005.6
,2021-12-8,25.6,33.9,0,5.4,7.8,E,30,07:14,29.3,73,7,NNE,11,1010.0,31.9,65,6,NNW,11,1006.0
,2021-12-9,26.9,33.0,0.2,4.4,3.1,W,43,12:17,30.2,73,6,SSE,9,1009.5,25.9,93,7,WSW,20,1006.0
,2021-12-10,24.2,33.7,33.4,3.6,7.5,ESE,37,13:08,29.5,72,5,SE,6,1008.8,31.2,63,7,W,11,1005.4
,2021-12-11,22.3,34.2,9.2,5.4,7.0,SSE,50,03:20,26.9,82,7,SSE,15,1009.0,32.8,61,5,NW,15,1005.7
,2021-12-12,26.9,34.0,0,6.0,8.0,NW,72,16:29,31.1,73,3,SSW,7,1009.0,33.4,62,3,WNW,28,1005.2
,2021-12-13,27.8,35.0,2.6,6.6,9.3,E,46,16:18,31.7,70,7,W,17,1007.9,34.3,61,4,WNW,30,1004.4
,2021-12-14,25.8,34.7,12.6,8.0,10.8,E,43,19:46,32.0,69,7,W,9,1007.8,34.0,63,5,WNW,24,1004.6
,2021-12-15,27.4,35.1,0,7.4,10.4,NNE,37,03:12,31.7,70,5,W,9,1008.9,34.8,61,3,WNW,26,1005.6
,2021-12-16,27.7,35.3,0,7.8,11.7,WNW,30,14:50,32.3,70,7,WNW,15,1008.8,34.6,48,6,WNW,24,1005.5
,2021-12-17,27.6,34.1,0,7.4,7.4,SSE,31,09:08,29.5,76,7,SSE,20,1009.3,33.2,59,7,WNW,9,1005.5
,2021-12-18,26.5,36.2,0.6,5.4,11.0,NNW,28,12:49,30.4,79,5,SE,4,1009.1,35.0,40,7,N,15,1006.9
,2021-12-19,27.7,36.5,0,7.0,10.8,NNW,30,15:54,31.3,68,5,N,11,1010.5,34.6,56,5,NNW,11,1008.0
,2021-12-20,29.4,34.1,0,8.8,3.7,SSE,69,14:12,31.5,66,7,NW,11,1011.0,22.7,98,8,S,24,1012.0
,2021-12-21,21.8,33.5,74.4,,11.3,NW,30,15:15,28.5,72,7,E,6,1011.0,32.9,62,7,WNW,20,1007.2
,2021-12-22,27.5,33.6,0,6.4,4.9,ENE,74,15:19,31.5,73,6,S,7,1008.5,32.5,60,6,NNW,17,1005.2
,2021-12-23,22.4,33.0,14.0,6.8,4.3,ENE,46,13:39,30.4,75,6,E,7,1007.1,25.7,93,7,N,6,1004.1
,2021-12-24,24.0,28.5,34.6,5.6,0.0,E,56,19:42,26.1,92,7,SE,9,1006.9,25.8,93,8,ENE,11,1003.8
,2021-12-25,23.1,27.3,51.2,7.6,0.0,NNW,50,20:50,25.4,91,8,ESE,30,1002.5,25.9,93,8,ESE,28,999.3
,2021-12-26,24.9,28.2,57.8,,0.0,WNW,65,18:19,25.8,95,8,NNW,20,1000.9,27.1,88,8,NW,31,999.5
,2021-12-27,25.2,29.9,48.2,4.6,0.0,NNW,57,10:27,26.5,91,8,NNW,28,1000.8,27.8,89,8,NW,30,998.0
,2021-12-28,23.5,32.2,3.2,3.6,9.2,SSW,46,21:51,26.5,73,7,SW,24,1003.9,31.5,56,7,SW,24,1002.8
,2021-12-29,24.2,32.8,1.4,6.0,9.1,WNW,44,11:03,29.8,80,7,WNW,22,1007.0,31.8,69,7,WNW,28,1005.1
,2021-12-30,28.3,33.6,0,8.0,11.3,W,41,13:11,30.7,72,6,WNW,20,1008.8,33.4,58,3,W,26,1005.8
,2021-12-31,28.2,33.8,0,6.8,8.8,WNW,37,11:02,30.5,73,5,WNW,20,1009.4,33.0,62,5,WNW,22,1006.6
