"Daily Weather Observations for Darwin, Northern Territory for July 2022"
"Prepared at 13:03 UTC on Monday  5 December 2022   IDCJDW8014.202207"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-07-1,18.4,26.9,0,6.0,4.2,SSE,48,12:55,19.9,85,8,SE,33,1014.9,25.2,63,5,SE,28,1011.5
,2022-07-2,16.7,28.0,0,4.4,7.6,SSE,39,01:08,17.1,75,7,SE,22,1015.2,26.5,48,3,ESE,20,1010.6
,2022-07-3,17.0,28.9,0,6.4,10.9,SSE,43,08:53,20.4,62,2,SE,30,1013.2,28.4,42,1,SSW,17,1009.4
,2022-07-4,17.9,27.9,0,7.0,10.9,SE,43,07:22,19.6,48,1,SE,28,1013.7,26.8,34,1,S,22,1010.4
,2022-07-5,15.2,26.4,0,8.4,11.1,SE,43,09:06,17.6,40,0,SE,24,1014.4,25.5,31,0,E,11,1010.8
,2022-07-6,15.5,27.6,0,6.2,10.9,SE,33,10:21,18.4,42,1,SE,20,1016.3,26.6,27,0,SSE,13,1012.0
,2022-07-7,15.0,28.5,0,6.6,11.0,ESE,39,10:30,20.3,44,0,SE,13,1015.9,27.6,28,0,SSE,9,1012.0
,2022-07-8,17.0,29.5,0,8.0,11.1,ESE,35,10:51,20.3,44,1,SSE,19,1015.0,28.8,25,2,SE,7,1011.0
,2022-07-9,17.2,30.0,0,6.8,11.0,ESE,37,10:35,20.6,44,0,SE,20,1014.1,29.3,28,0,E,6,1010.8
,2022-07-10,17.4,29.4,0,6.8,11.1,ESE,37,09:49,20.3,42,1,SE,20,1015.6,28.5,27,0,NE,7,1012.0
,2022-07-11,16.1,29.5,0,5.2,11.2,E,31,10:36,20.9,42,1,ESE,15,1015.5,29.4,28,0,WNW,15,1012.4
,2022-07-12,16.3,29.1,0,5.4,10.7,SE,39,09:35,19.5,43,1,SE,20,1015.1,28.1,21,2,SSE,13,1011.3
,2022-07-13,15.7,28.4,0,7.2,8.0,ESE,37,10:22,19.1,30,7,SE,24,1014.7,27.8,19,7,ESE,17,1011.6
,2022-07-14,15.0,29.1,0,7.2,11.1,ESE,44,10:29,18.9,32,1,SE,19,1015.7,28.0,20,1,NNE,11,1012.3
,2022-07-15,16.3,28.2,0,6.6,11.2,E,50,09:54,19.7,50,0,ESE,28,1016.6,27.0,37,0,ESE,11,1012.5
,2022-07-16,18.0,29.9,0,6.0,10.8,E,43,09:37,21.4,67,0,E,26,1016.8,28.6,37,1,SE,13,1013.1
,2022-07-17,17.2,29.5,0,5.6,10.6,E,35,09:56,22.1,65,3,E,24,1016.9,28.1,47,2,NNW,20,1012.9
,2022-07-18,16.2,30.3,0,5.8,10.6,E,31,10:40,21.9,57,2,SE,11,1015.4,28.3,51,3,NW,19,1011.6
,2022-07-19,18.2,30.4,0,4.8,10.6,N,26,12:32,22.4,70,3,SE,17,1014.6,29.7,41,3,NW,13,1011.1
,2022-07-20,18.4,30.5,0,6.0,10.9,NNW,24,15:33,23.5,64,1,NE,11,1014.5,29.5,46,1,NW,15,1011.4
,2022-07-21,18.3,32.1,0,5.2,11.4,E,35,11:28,23.7,77,2,E,7,1015.1,31.3,27,1,NW,17,1011.2
,2022-07-22,16.5,30.3,0,7.8,11.4,ESE,26,11:54,24.2,73,0,N,4,1016.2,28.2,37,1,NNW,15,1012.1
,2022-07-23,14.9,30.0,0,4.2,10.8,ESE,28,12:51,21.4,47,1,ESE,11,1015.1,27.9,47,0,NNW,17,1011.1
,2022-07-24,14.1,29.3,0,6.8,10.5,N,24,18:39,20.0,79,0,E,11,1014.8,28.9,33,0,WNW,11,1010.5
,2022-07-25,16.4,30.8,0,5.0,11.0,NNW,31,14:08,22.7,53,0,SSE,7,1014.0,29.1,48,1,NNW,17,1010.8
,2022-07-26,16.9,32.9,0,4.2,10.0,ESE,35,13:06,24.4,78,2,ENE,7,1013.8,31.9,33,6,N,7,1010.7
,2022-07-27,19.7,32.1,0,5.6,10.7,ESE,46,12:35,22.8,84,4,SE,15,1015.0,31.1,29,0,SE,22,1010.9
,2022-07-28,18.3,31.9,0,6.8,11.2,E,48,13:30,21.6,51,0,SE,15,1015.6,31.3,31,0,E,11,1011.0
,2022-07-29,19.9,33.0,0,9.0,11.1,ESE,43,11:37,24.6,45,0,E,17,1014.5,31.8,30,0,ESE,15,1010.6
,2022-07-30,18.9,32.0,0,6.6,11.1,E,33,11:49,25.9,60,0,NNE,4,1013.8,29.9,43,0,NW,17,1010.8
,2022-07-31,18.9,31.6,0,5.2,10.6,WNW,26,13:43,24.9,65,0,SE,4,1013.0,30.2,50,1,NNW,13,1009.8
