"Daily Weather Observations for Darwin, Northern Territory for August 2022"
"Prepared at 13:03 UTC on Sunday  4 December 2022   IDCJDW8014.202208"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-08-1,21.0,32.2,0,5.6,10.6,NE,31,14:03,25.9,78,1,E,11,1012.9,31.1,50,2,NNE,20,1009.1
,2022-08-2,20.8,31.2,0,5.8,10.5,N,30,17:36,25.9,68,1,NE,9,1013.8,29.7,55,1,NNW,17,1010.3
,2022-08-3,22.1,30.0,0,5.2,7.8,NNW,26,15:54,25.8,76,4,S,9,1013.1,29.3,63,5,WNW,15,1010.6
,2022-08-4,22.6,31.8,0,4.4,10.4,NNW,22,14:28,26.5,69,1,SSW,6,1013.0,29.8,59,3,NNW,13,1009.3
,2022-08-5,23.1,31.3,0,4.0,8.2,NW,26,13:08,26.0,77,7,SSW,15,1012.3,29.3,62,4,NW,17,1008.6
,2022-08-6,22.4,32.5,0,5.0,9.5,NW,30,15:44,27.0,71,1,SSE,6,1012.0,32.0,50,1,WNW,22,1008.4
,2022-08-7,23.7,33.8,0,5.4,9.0,NNW,28,15:53,26.6,85,7,N,6,1012.5,30.9,60,4,NNW,15,1009.1
,2022-08-8,23.2,34.9,0,5.0,10.6,ENE,43,11:58,27.7,74,6,E,7,1013.6,32.1,52,2,NNW,20,1008.8
,2022-08-9,22.1,34.6,0,6.4,10.7,ESE,39,12:47,26.6,80,1,SSE,7,1013.7,33.8,27,1,ENE,13,1009.6
,2022-08-10,20.9,31.9,0,7.0,10.6,NW,28,14:15,27.2,70,2,ENE,7,1014.7,30.5,50,1,NNW,20,1010.6
,2022-08-11,21.5,31.7,0,6.4,9.6,NNW,33,13:49,26.9,71,1,E,11,1014.4,30.8,58,2,N,17,1010.7
,2022-08-12,22.8,32.1,0,4.4,9.9,NNW,30,14:38,26.9,75,1,NE,15,1014.0,30.9,58,3,NNW,22,1010.6
,2022-08-13,21.6,31.5,0,5.8,10.9,E,26,11:14,26.8,78,3,ENE,7,1014.5,30.2,59,2,NW,17,1011.0
,2022-08-14,21.6,33.7,0,5.4,10.4,SE,30,11:31,26.8,71,1,SSE,9,1014.7,30.9,53,3,NNW,17,1010.2
,2022-08-15,21.7,33.2,0,6.2,11.0,E,39,11:28,24.6,54,1,SE,15,1014.8,32.2,14,0,S,9,1010.9
,2022-08-16,15.3,34.1,0,7.4,11.1,ESE,41,11:03,22.6,43,0,SSE,6,1015.5,32.9,10,0,ENE,19,1011.3
,2022-08-17,17.1,32.6,0,7.6,11.1,N,35,17:34,24.9,39,0,E,11,1016.7,30.3,28,0,NW,17,1013.2
,2022-08-18,18.0,32.7,0,7.8,11.0,N,30,15:34,24.1,72,0,SSE,9,1015.9,31.4,34,1,NNW,15,1011.7
,2022-08-19,18.9,31.8,0,7.4,11.1,N,35,15:13,25.0,64,0,ENE,9,1015.3,29.1,54,1,N,19,1011.7
,2022-08-20,18.8,33.5,0,5.6,11.0,E,48,13:06,24.9,69,0,E,17,1017.5,32.5,26,0,E,20,1012.9
,2022-08-21,18.8,32.9,0,7.8,11.0,E,50,11:48,23.7,36,0,SE,20,1015.6,32.6,30,0,ESE,20,1010.9
,2022-08-22,20.4,34.3,0,8.0,11.0,ESE,43,11:31,25.2,35,0,SE,13,1015.1,33.5,17,0,NW,7,1010.5
,2022-08-23,18.9,34.5,0,7.6,11.1,SE,44,12:58,27.0,63,0,E,7,1014.9,33.8,24,0,ESE,20,1010.0
,2022-08-24,21.5,32.1,0,8.0,11.2,SE,43,09:00,24.4,28,0,SE,28,1016.1,31.0,19,0,SSE,20,1012.4
,2022-08-25,18.6,32.3,0,11.4,11.2,SE,46,09:02,21.4,18,1,SE,31,1015.8,31.2,14,0,SSW,7,1011.9
,2022-08-26,18.3,33.3,0,8.8,11.2,E,41,11:33,23.6,21,0,SE,17,1013.7,30.5,25,1,NW,17,1010.0
,2022-08-27,17.5,34.0,0,7.4,11.2,NNE,41,14:02,26.8,61,0,NNE,9,1013.4,33.0,35,1,NNE,22,1009.1
,2022-08-28,21.6,32.7,0,7.4,11.1,ENE,28,10:16,26.9,65,1,SSE,7,1013.5,31.1,51,1,NNW,19,1009.0
,2022-08-29,22.8,33.1,0,6.8,10.6,NNW,30,15:53,28.3,72,1,ENE,7,1012.7,31.6,58,3,NNW,19,1009.1
,2022-08-30,22.9,32.9,0,6.4,10.4,NNW,28,14:47,28.0,55,1,S,4,1012.1,30.7,59,1,N,20,1007.7
,2022-08-31,25.1,34.0,0,6.2,10.8,N,30,14:28,28.4,74,1,S,7,1012.4,32.5,58,3,NNW,20,1008.4
